year,analysis,outcome_name,outcome_definition,conclusion,a,b,c,d,n,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,ic,ic025,ic975,ebgm,eb05,eb95,chi_square_yates,expected_a,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm
2004,primary_ps_ss,strict_fall,Narrow fall definition,signal_detected,21,120,1944,55201,57286,4.969225823045267,3.118772942680037,7.917602766939629,4.378064530251291,2.943566795834564,6.511640591328955,2.0103649585306944,1.3274737479560172,2.561159252843007,3.684032595678084,2.5518174194996552,5.181243765916246,52.65892291179457,4.83652201235904,True,True,True,True
2004,sensitivity_ps_only,strict_fall,Narrow fall definition,signal_detected,14,64,1951,55258,57287,6.195636852895951,3.4687368866887978,11.06625185676883,5.263086648530011,3.2681346923662566,8.475807663202195,2.191008078135245,1.337265233123389,2.847852708217196,3.945848380368483,2.515682379766924,5.954734910217407,45.41156399805869,2.67547611150872,True,True,True,True
2004,primary_ps_ss,broad_fall,Broad fall-related definition,signal_detected,22,119,4564,52581,57286,2.1298985852009515,1.3501378755498932,3.3600034969712795,1.9536023520490304,1.3294641567041594,2.87075219793292,0.9326452780988016,0.2668907471164469,1.4722349982381178,1.8312531295312804,1.2792893734216824,2.5566105101830408,10.068212297926513,11.287679363195195,False,True,True,False
2004,sensitivity_ps_only,broad_fall,Broad fall-related definition,signal_detected,14,64,4572,52637,57287,2.518447889326334,1.411367142229832,4.493926195016533,2.2459059604728897,1.3962591909583268,3.612576816647935,1.104346689884533,0.2506038448726779,1.7611913199664844,2.0020144758978944,1.276387751265881,3.0212680116402524,9.177708580414834,6.244139158971494,True,True,True,False
2005,primary_ps_ss,strict_fall,Narrow fall definition,signal_detected,12,120,2170,58780,61082,2.708755760368664,1.4941018337792902,4.910881978352686,2.553414327607876,1.486432732906411,4.38628979576144,1.2610876257706178,0.3308964640295251,1.9622895645140697,2.187669093286258,1.3454217951263978,3.4018063849085083,10.145533362306615,4.715366229003634,True,True,True,False
2005,sensitivity_ps_only,strict_fall,Narrow fall definition,signal_detected,9,52,2173,58850,61084,4.687334064922652,2.307012021665608,9.523617748780394,4.143301170097998,2.263397686109786,7.584590499268876,1.8262332496413565,0.733167011171682,2.6162293883296184,2.989738999715039,1.706639415823615,4.94030177215917,19.034693578596837,2.178999410647633,True,True,True,False
2005,primary_ps_ss,broad_fall,Broad fall-related definition,signal_detected,22,110,4966,55984,61082,2.254691904953685,1.4252353526689971,3.566874465149702,2.045576587461404,1.3955449778505866,2.998386753263242,0.9962583597786,0.3305038287962452,1.5358480799179164,1.910301460748849,1.3345114989064517,2.666969799755965,11.635965824900982,10.779214825971644,True,True,True,False
2005,sensitivity_ps_only,broad_fall,Broad fall-related definition,signal_detected,12,49,4976,56047,61084,2.7583995012796114,1.4662238068644948,5.189363160683419,2.41248484529018,1.451870645478483,4.008678835735189,1.1893800144807398,0.2591888527396472,1.890581953224192,2.0904591001032,1.2856374136886606,3.2506456922325038,9.299163604400352,4.981140724248576,True,True,True,False
2006,primary_ps_ss,strict_fall,Narrow fall definition,signal_detected,25,137,2368,57159,59689,4.404761170842376,2.87036826558863,6.759383875846301,3.879335064230897,2.699382911666589,5.5750669812457225,1.8661498503959923,1.2451743277711274,2.3759399122290104,3.402593036720088,2.430836425406045,4.658729441411402,52.14161842702185,6.494764529477793,True,True,True,True
2006,sensitivity_ps_only,strict_fall,Narrow fall definition,signal_detected,14,72,2379,57225,59690,4.677210312456214,2.6346106161816207,8.303426765452114,4.0785946801959,2.521454948387136,6.597355457793502,1.8769393286699203,1.0231964836580651,2.533783958751872,3.260698779408723,2.078864080509858,4.920766076580771,30.57597045004556,3.447780197688055,True,True,True,True
2006,primary_ps_ss,broad_fall,Broad fall-related definition,signal_detected,35,127,5578,53949,59689,2.665441851141859,1.831578653670658,3.878938121265109,2.305624167253186,1.7176425427628976,3.0948830552782547,1.1739277383825717,0.6562206976239916,1.611976187583384,2.186832283907908,1.6466097308273968,2.858442433086505,26.967119419739603,15.234063227730402,True,True,True,False
2006,sensitivity_ps_only,broad_fall,Broad fall-related definition,signal_detected,16,70,5597,54007,59690,2.2055488909875187,1.2803825292370536,3.799212969138894,1.981260725222399,1.2724645469221996,3.084874993808995,0.9422259386131392,0.1492980585850271,1.5624591513272492,1.8160418857039544,1.192037097288598,2.6742556416514773,7.511064489111765,8.087083263528228,False,True,True,False
