metric,value
broad_fall_cases,298906
feature_dataset_cases,4155023
global_total_cases,4155023
group_ps_only_both_zolpidem_and_other_zdrug,0
group_ps_only_no_suspect_drug,790
group_ps_only_no_target_zdrug_suspect,4146994
group_ps_only_other_zdrug_only,2925
group_ps_only_zolpidem_only,4314
group_ps_ss_both_zolpidem_and_other_zdrug,213
group_ps_ss_no_suspect_drug,137
group_ps_ss_no_target_zdrug_suspect,4140076
group_ps_ss_other_zdrug_only,6799
group_ps_ss_zolpidem_only,7798
other_zdrug_suspect_cases_ps_only,2925
other_zdrug_suspect_cases_ps_ss,7012
signal_dataset_cases,4155023
strict_fall_cases,132266
suspect_any_cases_ps_only,4154233
suspect_any_cases_ps_ss,4154886
zolpidem_any_cases,38709
zolpidem_suspect_cases_ps_only,4314
zolpidem_suspect_cases_ps_ss,8011
