year,analysis,comparison,exposure_definition,outcome_name,outcome_definition,zolpidem_cases,zolpidem_fall_cases,zolpidem_fall_reporting_rate,a,b,c,d,n,exposed_n,unexposed_n,reporting_rate_exposed,reporting_rate_unexposed,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,chi_square_yates,p_value,expected_a,ic,ic025,ic975,ebgm,eb05,eb95,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm,stability_status
2004,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,123,19,0.15447154471544716,19,104,1524,47195,48842,123,48719,0.15447154471544716,0.031281430242821075,5.657587573187967,3.4602369031770523,9.250319571732838,4.938122826110152,3.2562408142616173,7.48871426798317,56.89977673396822,4.5859790439006426e-14,3.8857745383071944,2.152570570285922,1.4312004120084914,2.7281326320569357,3.991616013831848,2.7129069289674956,5.7062067479485075,True,True,True,True,stable
2005,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,115,12,0.10434782608695652,12,103,1786,50103,52004,115,51889,0.10434782608695652,0.03441962651043574,3.268332989051849,1.7942105039184342,5.953593797380981,3.03163737280296,1.771270391385759,5.188832379784297,14.780350028278496,0.00012078760940378191,3.9760403045919546,1.4816331626263823,0.5514420008852894,2.182835101369834,2.5127067488711945,1.5453207411794514,3.9072371081828203,True,True,True,False,stable
2006,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,146,24,0.1643835616438356,24,122,1975,48661,50782,146,50636,0.1643835616438356,0.039003870763883404,4.84691429757211,3.1216629411799,7.525661370451933,4.2145448239986125,2.9161682775462316,6.091002432973244,57.24926003949208,3.839335283461622e-14,5.747193887597968,1.9715015381055974,1.3365845929355076,2.490651371830766,3.631391160836816,2.576200733419117,5.002435655037417,True,True,True,True,stable
2007,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,162,39,0.24074074074074073,39,123,1485,47865,49512,162,49350,0.24074074074074073,0.030091185410334346,10.220004927322,7.102705917640717,14.705451967970582,8.000374111485222,6.058504511152704,10.564651029952772,233.15947590823396,1.2199261557590894e-52,4.986427532719341,2.8479136988488816,2.3594240861280666,3.2648594522554015,6.598435299221828,5.044033194974347,8.509204647396526,True,True,True,True,stable
2008,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,163,30,0.18404907975460122,30,133,1715,48170,50048,163,49885,0.18404907975460122,0.03437907186529017,6.335518095530371,4.250773876338384,9.442701660095908,5.353520900033983,3.8619956465815606,7.421081909418822,103.75242967254965,2.292437877150787e-24,5.6832440856777495,2.30237337995966,1.739815527356514,2.7721131316399883,4.563856340263853,3.358325910948531,6.0884365545842725,True,True,True,True,stable
2009,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,186,26,0.13978494623655913,26,160,1737,43926,45849,186,45663,0.13978494623655913,0.03803955062085277,4.109369602763385,2.7075959463009394,6.236868006537777,3.6747265400115134,2.565097110013614,5.264368000396414,49.150792798684805,2.3702255065895856e-12,7.152129817444219,1.792059105527065,1.1841723792986922,2.292993202987379,3.2508770806654224,2.3378073531727224,4.425421195613633,True,True,True,True,stable
2010,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,191,28,0.14659685863874344,28,163,2882,81029,84102,191,83911,0.14659685863874344,0.0343459141232973,4.829664130652282,3.2287668788381576,7.224323244824286,4.2682473994571835,3.025716538076582,6.021031922096036,68.56285323503242,1.228974394223507e-16,6.6087607904687165,2.0032919251023897,1.4193443053567751,2.4878541829900698,3.745874327749596,2.7265908088242683,5.045355299659238,True,True,True,True,stable
2011,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,258,28,0.10852713178294573,28,230,4238,103972,108468,258,108210,0.10852713178294573,0.03916458737639775,2.9866590065042984,2.015063241249813,4.426725592791153,2.7710526026976305,1.9508314787727485,3.9361331875513605,30.964818844269185,2.627482329374759e-08,10.147029538665782,1.4205109364874327,0.8365633167418183,1.9050731943751127,2.5568660791775297,1.8611215809443005,3.4438682919849533,True,True,True,False,stable
2012,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,280,45,0.16071428571428573,45,235,4930,118643,123853,280,123573,0.16071428571428573,0.039895446416288345,4.608290535583272,3.34563815175144,6.3474711541142455,4.02838669950739,3.078058405659895,5.272121987980602,102.65963654052307,3.97970906958865e-24,11.247204347088887,1.9535490867747882,1.5010518332710672,2.343985640928328,3.715208335978776,2.8937857705752945,4.71086243186979,True,True,True,True,stable
2013,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,382,61,0.15968586387434555,61,321,5323,144804,150509,382,150127,0.15968586387434555,0.035456646705789095,5.1695042322069105,3.9261268406626635,6.806650699623001,4.50369334695921,3.5727842291096232,5.677156095289712,166.90185414566218,3.514536997759052e-38,13.664883827545196,2.118267640865179,1.733331040171715,2.457351251456313,4.193737789019932,3.385046645221619,5.147992707991995,True,True,True,True,stable
2014,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,407,47,0.11547911547911548,47,360,5747,167908,174062,407,173655,0.11547911547911548,0.033094353747372664,3.8143939833343,2.8113397438146315,5.175326636386872,3.4893902555291105,2.663513540474152,4.571346895880245,83.10341787166041,7.787093085833457e-20,13.54780480518436,1.7575828096243191,1.3154609026230222,2.140270057479351,3.265157717550069,2.557105215382977,4.119897843826206,True,True,True,True,stable
2015,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,463,53,0.11447084233261338,53,410,7901,244975,253339,463,252876,0.11447084233261338,0.031244562552397222,4.008036957347171,3.0081538291179175,5.340272194846939,3.663704433072009,2.8411180642464253,4.724453496610224,102.54461631358586,4.217611274609161e-24,14.536656416895937,1.831055089593665,1.4163193035844843,2.1930511380951447,3.443519463819601,2.7359458701688566,4.288466518347952,True,True,True,True,stable
2016,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,403,64,0.1588089330024814,64,339,7728,230653,238784,403,238381,0.1588089330024814,0.032418691086957434,5.63471909220274,4.309663345757696,7.367178524347589,4.8986842984037935,3.908656023538926,6.139478048442008,199.6089594575522,2.541944732277922e-45,13.150696864111499,2.240324558347858,1.8650430297294194,2.5718935919192347,4.5581250584542445,3.6981299303803152,5.568980970916486,True,True,True,True,stable
2017,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,484,25,0.05165289256198347,25,459,8367,247220,256071,484,255587,0.05165289256198347,0.032736406781252565,1.6093153594120277,1.075392615462676,2.4083259349193034,1.577842458615952,1.0765218434441273,2.3126208161705963,4.872999599326223,0.0272800424669649,15.861725849471435,0.6401723140152266,0.019196791390361727,1.149962375848245,1.5123975936696448,1.080467490738317,2.0707299170694666,False,True,True,False,stable
