event_name,event_year,period_label,start_year,end_year,interpretation_scope,analysis,comparison,exposure_definition,outcome_name,outcome_definition,zolpidem_cases,zolpidem_fall_cases,zolpidem_fall_reporting_rate,a,b,c,d,n,exposed_n,unexposed_n,reporting_rate_exposed,reporting_rate_unexposed,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,chi_square_yates,p_value,expected_a,ic,ic025,ic975,ebgm,eb05,eb95,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm,stability_status
2013_fda_dose_reduction,2013,pre_2013,2004,2012,main,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,1624,251,0.1545566502463054,251,1373,22272,589564,613460,1624,611836,0.1545566502463054,0.0364019116233762,4.839215059940896,4.227205176858569,5.539831027024283,4.245838840701262,3.7865622150354032,4.760821673450013,636.0186731436067,2.4537193734454287e-140,59.62467316532455,2.064529348431278,1.880464132817161,2.237414480644331,4.148478705796591,3.735599642738971,4.596598425101157,True,True,True,True,stable
2013_fda_dose_reduction,2013,post_2013,2013,2025,main,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,6174,792,0.1282798833819242,792,5382,108939,3426100,3541213,6174,3535039,0.1282798833819242,0.03081691602270866,4.628051027052941,4.294341240237351,4.987693131676223,4.1626450643989195,3.899557900960954,4.443481638750561,1946.515134734318,0.0,191.31274904954884,2.046712321364764,1.9444645572995074,2.1454143609748777,4.120891914305882,3.8856287370256757,4.367266399917531,True,True,True,True,stable
2019_fda_boxed_warning,2019,pre_2019,2004,2018,main,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,4518,606,0.1341301460823373,606,3912,67177,1924196,1995891,4518,1991373,0.1341301460823373,0.03373401165929236,4.437133345467441,4.071856007998221,4.8351789176204285,3.9761101477354197,3.6908039828421364,4.2834710216039085,1381.8386539073606,1.8575757629501144e-302,153.43703338508968,1.9781672957212646,1.860986744188881,2.0907143042005436,3.927167308296138,3.671733050083436,4.196437562783772,True,True,True,True,stable
2019_fda_boxed_warning,2019,post_2019,2019,2025,main,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,3280,437,0.13323170731707318,437,2843,64034,2091468,2158782,3280,2155502,0.13323170731707318,0.029707232932282134,5.020479172760962,4.538111250200297,5.554119265589649,4.4848238683412855,4.1085737544920535,4.895529770654042,1207.896346384997,1.172755422292934e-264,97.95564350638462,2.1517372076321326,2.0132625121221497,2.283787520883326,4.421173767717363,4.084189317739776,4.779750700196535,True,True,True,True,stable
2023_ags_beers_criteria,2023,pre_2023,2004,2022,exploratory,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,6556,871,0.13285539963392312,871,5685,104714,3106777,3218047,6556,3211491,0.13285539963392312,0.03260603875271642,4.545618853541335,4.231599950498195,4.882940496120807,4.074564243804528,3.829116957862852,4.335744757756498,2068.8670746012644,0.0,215.10414857209977,2.015115726210389,1.9176935067827403,2.109313722346413,4.032777961777614,3.8129910198038734,4.262453019399624,True,True,True,True,stable
2023_ags_beers_criteria,2023,post_2023,2023,2025,exploratory,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,1242,172,0.13848631239935588,172,1070,26497,908887,936626,1242,935384,0.13848631239935588,0.028327403504870726,5.5138869186037285,4.6916962572664165,6.4801613923880454,4.888775364658607,4.253406235569713,5.619055233009422,540.1384362837287,1.7592031506437437e-119,35.36405993427473,2.2659856413130477,2.0422330977719665,2.47343092942623,4.743701386930486,4.178537184770669,5.367610120822802,True,True,True,True,stable
2013_fda_dose_reduction,2013,pre_2013,2004,2012,main,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,broad_fall,Broad fall-related definition,1624,329,0.2025862068965517,329,1295,51629,560207,613460,1624,611836,0.2025862068965517,0.0843837237429638,2.756645673157711,2.4416418013865466,3.1122891830504353,2.4007734893714505,2.179171293782408,2.6449106427354954,290.39249290507735,4.083531031252863e-65,137.54734130994686,1.255115362283012,1.094959408575358,1.4067397066962133,2.3782493647201286,2.1703698344363227,2.6015502629796567,True,True,True,True,stable
2013_fda_dose_reduction,2013,post_2013,2013,2025,main,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,broad_fall,Broad fall-related definition,6174,1119,0.18124392614188534,1119,5055,245809,3289230,3541213,6174,3535039,0.18124392614188534,0.06953501785977467,2.9621386936538854,2.776048178809152,3.1607036604838266,2.6065129731811454,2.4715832931950676,2.748808789113874,1183.929844843111,1.895883889568716e-259,430.5116557518568,1.3770557387564737,1.2912718043941622,1.4603298547758077,2.5943680136945533,2.4692890779343535,2.7243990743662416,True,True,True,True,stable
2019_fda_boxed_warning,2019,pre_2019,2004,2018,main,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,broad_fall,Broad fall-related definition,4518,829,0.18348826914563968,829,3689,152788,1838585,1995891,4518,1991373,0.18348826914563968,0.07672495308513272,2.704209548530963,2.5075194172155624,2.9163280779242653,2.391507088209545,2.248410035657317,2.543711361475253,721.7443551719776,5.589247056122717e-159,347.7352250198032,1.2521798379535987,1.1522789454542246,1.3486932087921213,2.378595538159209,2.245794109712036,2.5175244072755913,True,True,True,True,stable
2019_fda_boxed_warning,2019,post_2019,2019,2025,main,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,broad_fall,Broad fall-related definition,3280,619,0.18871951219512195,619,2661,144650,2010852,2158782,3280,2155502,0.18871951219512195,0.0671073374091047,3.2337574622256184,2.962457010170334,3.529903485046221,2.8122038435921866,2.6191161884340897,3.0195263932307546,769.7801046377484,2.0070976363457362e-169,220.71812716615202,1.4856346739125852,1.3697153023432478,1.597017772903378,2.7940884905376793,2.614219353951445,2.983595067488975,True,True,True,True,stable
2023_ags_beers_criteria,2023,pre_2023,2004,2022,exploratory,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,broad_fall,Broad fall-related definition,6556,1186,0.18090298962782184,1186,5370,237264,2974227,3218047,6556,3211491,0.18090298962782184,0.07387970260542533,2.768551887231384,2.5994520983723954,2.9486519705793754,2.4486155635193,2.325345522646281,2.5784203334589666,1090.735130262185,3.4084663221786846e-239,485.78476324304773,1.2868388070876702,1.2035480636178324,1.3677614864138041,2.4374222956622784,2.3232121188612727,2.5560223118447567,True,True,True,True,stable
2023_ags_beers_criteria,2023,post_2023,2023,2025,exploratory,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,broad_fall,Broad fall-related definition,1242,262,0.2109500805152979,262,980,60174,875210,936626,1242,935384,0.2109500805152979,0.06433079890184139,3.8884686789263516,3.392093886156106,4.457479413733246,3.2791459785409214,2.9439257974010933,3.652537152286141,439.3134990198452,1.5270580634531699e-97,80.14032495361009,1.7027440652368098,1.5226999594643904,1.8720770083058769,3.235138124969074,2.919700534867492,3.5769063637261436,True,True,True,True,stable
2013_fda_dose_reduction,2013,pre_2013,2004,2012,main,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,strict_fall,Narrow fall definition,969,156,0.1609907120743034,156,813,22369,590134,613472,969,612503,0.1609907120743034,0.03652063744993902,5.062186252422674,4.262935946291563,6.011286582081908,4.4082119950667025,3.8158173889250793,5.0925741493421075,420.27091396942103,2.1304859855109428e-93,35.57900768087215,2.1169310928746934,1.8815578405880669,2.334327376518285,4.278417490282074,3.744607157185303,4.870624811797841,True,True,True,True,stable
2013_fda_dose_reduction,2013,post_2013,2013,2025,main,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect_ps,strict_fall,Narrow fall definition,3345,309,0.09237668161434978,309,3036,109429,3427987,3540761,3345,3537416,0.09237668161434978,0.03093472749600273,3.1883313388503174,2.8357481575488177,3.5847530039768905,2.986180551494638,2.6848086008288283,3.3213817489157194,418.0329812240293,6.540237646053371e-93,103.67082387091362,1.570988144786531,1.4055905775296458,1.7273023658922908,2.956890212378743,2.6905197643420307,3.2436728541903173,True,True,True,True,stable
