window_label,window_years,start_year,end_year,center_year,analysis,comparison,exposure_definition,outcome_name,outcome_definition,zolpidem_cases,zolpidem_fall_cases,zolpidem_fall_reporting_rate,a,b,c,d,n,exposed_n,unexposed_n,reporting_rate_exposed,reporting_rate_unexposed,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,chi_square_yates,p_value,expected_a,ic,ic025,ic975,ebgm,eb05,eb95,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm,stability_status
2004-2006,3,2004,2006,2005.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,384,55,0.14322916666666666,55,329,5285,145959,151628,384,151244,0.14322916666666666,0.034943534950146786,4.616923506051709,3.4656103600862704,6.150715298589477,4.098874566382844,3.20481488365931,5.2423535588915975,129.01671566894086,6.7249630332321e-30,13.523623605138893,1.9846285917505768,1.5779720717064507,2.3404539771029853,3.821412081592682,3.049183341120626,4.740602882831795,True,True,True,True,stable
2005-2007,3,2005,2007,2006.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,423,75,0.1773049645390071,75,348,5246,146629,152298,423,151875,0.1773049645390071,0.03454156378600823,6.023842467824418,4.686517060550259,7.742781602699305,5.133090257217252,4.173328108857199,6.313573939422135,250.76691082872176,1.767043367516184e-56,14.778808651459638,2.304944589260282,1.9597980087090479,2.6127672787583642,4.784933611224888,3.945234027655645,5.759948350591748,True,True,True,True,stable
2006-2008,3,2006,2008,2007.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,471,93,0.19745222929936307,93,378,5175,144696,150342,471,149871,0.19745222929936307,0.03452969553816282,6.879190246146768,5.473627701008943,8.645684549199029,5.718331025570018,4.757129605559064,6.873747917186247,363.7892139369208,4.2121647052159247e-81,16.50389112822764,2.459101438105851,2.1508451601043537,2.7372373073397136,5.341694880297621,4.492770247980986,6.3126198624044,True,True,True,True,stable
2007-2009,3,2007,2009,2008.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,511,95,0.18590998043052837,95,416,4937,139961,145409,511,144898,0.18590998043052837,0.03407224392331157,6.47402219893738,5.171301024986319,8.104916582852548,5.456346839056654,4.541607351698662,6.555326896973658,346.86628147391576,2.0396697953691638e-77,17.683582171667503,2.3928642942203333,2.0880265271820195,2.668214005911416,5.111462856283542,4.307096744708577,6.030127887005812,True,True,True,True,stable
2008-2010,3,2008,2010,2009.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,540,84,0.15555555555555556,84,456,6334,173125,179999,540,179459,0.15555555555555556,0.0352949698817,5.034961693782926,3.9842160434874145,6.362817422840266,4.407300985861137,3.6156136004524955,5.372339007006056,222.96675620277978,2.0383447648787577e-50,19.254106967260928,2.0967987141643114,1.7716285193935413,2.3886314452082704,4.172017715843468,3.477053561696007,4.97240819336576,True,True,True,True,stable
2009-2011,3,2009,2011,2010.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,635,82,0.12913385826771653,82,553,8857,228927,238419,635,237784,0.12913385826771653,0.03724809070416849,3.832649403695976,3.0363262738999293,4.837820486526294,3.466858457076968,2.829868175283035,4.247232315054386,145.63459842208684,1.5603570942937933e-33,23.80793896459594,1.7629665448568905,1.4336520604744127,2.05813307217113,3.3255686881850535,2.7654184304658416,3.9717911717655325,True,True,True,True,stable
2010-2012,3,2010,2012,2011.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,729,101,0.13854595336076816,101,628,12050,303644,316423,729,315694,0.13854595336076816,0.03816987335837868,4.05265269445252,3.2820185454589286,5.004235544182972,3.629720016620278,3.026166967387881,4.353648539897374,195.7397831213749,1.776460582625825e-44,27.994422023683487,1.8327282927178816,1.5375117361333102,2.1002039852157837,3.5006874915450976,2.965239978006247,4.109790648559201,True,True,True,True,stable
2011-2013,3,2011,2013,2012.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,920,134,0.14565217391304347,134,786,14491,367419,382830,920,381910,0.14565217391304347,0.03794349454059857,4.322604554235032,3.5963665507847407,5.195496584800657,3.8386599778573207,3.2798845316875007,4.492630848203138,286.8575069793907,2.4059675465046047e-64,35.14614842097014,1.9157880662919462,1.661065397421249,2.1495881293853234,3.721013597915542,3.222298855328016,4.278820462675383,True,True,True,True,stable
2012-2014,3,2012,2014,2013.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,1069,153,0.1431244153414406,153,916,16000,431355,448424,1069,447355,0.1431244153414406,0.03576577885571861,4.503091907751092,3.7918691493180274,5.3477153169434555,4.001713926566885,3.4530442897471376,4.63756413366248,350.8989098786789,2.700162817369503e-78,38.50720969439637,1.9764259488399993,1.7386682158335198,2.1958548309057004,3.885373647739007,3.3961401709060497,4.428675377667562,True,True,True,True,stable
2013-2015,3,2013,2015,2014.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,Narrow fall definition,1252,161,0.12859424920127796,161,1091,18971,557687,577910,1252,576658,0.12859424920127796,0.032898182284820464,4.338118613286013,3.674195043489428,5.1220125442947815,3.908855756465687,3.381675070215207,4.518220410774885,354.4304801427595,4.595754829950538e-79,41.44808707238151,1.9448572377973332,1.713305467635198,2.1589894161944505,3.8046533809880385,3.336974047188613,4.322656125533557,True,True,True,True,stable
