报告国家,报告数,百分比,65-74岁报告数,75-84岁报告数,≥85岁报告数
US,213271,59.36,116914,77249,19108
JP,27577,7.68,11474,12226,3877
EU,27007,7.52,14057,10083,2867
CA,24297,6.76,13438,8594,2265
GB,12166,3.39,6079,4684,1403
FR,9486,2.64,4469,3605,1412
CN,8494,2.36,5156,2636,702
DE,3292,0.92,1833,1174,285
IT,3033,0.84,1527,1153,353
ES,2906,0.81,1440,1128,338
AU,2496,0.69,1301,972,223
CO,1984,0.55,1133,662,189
IN,1978,0.55,1431,471,76
BR,1546,0.43,926,471,149
ZA,1348,0.38,609,563,176
KR,1245,0.35,718,433,94
CH,1236,0.34,547,544,145
PT,1036,0.29,585,343,108
NL,968,0.27,478,409,81
PL,903,0.25,581,258,64
PR,893,0.25,491,326,76
AR,756,0.21,442,268,46
TW,746,0.21,444,225,77
IL,710,0.2,363,269,78
TR,633,0.18,406,197,30
SE,593,0.17,242,251,100
COUNTRY NOT SPECIFIED,560,0.16,299,195,66
MX,537,0.15,237,204,96
RU,526,0.15,353,138,35
GR,458,0.13,226,191,41
SG,457,0.13,237,180,40
TH,430,0.12,274,122,34
AT,424,0.12,236,162,26
BE,399,0.11,233,134,32
PK,298,0.08,223,63,12
CL,282,0.08,189,80,13
EG,259,0.07,184,61,14
RO,253,0.07,173,77,3
CZ,239,0.07,154,69,16
IE,223,0.06,123,85,15
BG,209,0.06,120,61,28
DK,187,0.05,79,80,28
MY,175,0.05,127,43,5
NZ,164,0.05,95,50,19
HR,135,0.04,87,40,8
FI,133,0.04,74,52,7
SA,131,0.04,78,48,5
VN,129,0.04,87,32,10
SK,128,0.04,83,41,4
HU,114,0.03,77,33,4
PH,112,0.03,59,44,9
NO,104,0.03,52,42,10
SI,102,0.03,63,27,12
PE,96,0.03,69,26,1
ID,95,0.03,68,25,2
RS,89,0.02,65,22,2
UY,73,0.02,50,18,5
PA,65,0.02,33,16,16
CR,64,0.02,38,19,7
AE,61,0.02,38,19,4
NP,59,0.02,36,15,8
IR,58,0.02,37,17,4
TN,55,0.02,45,10,0
LB,52,0.01,31,19,2
UA,50,0.01,36,11,3
MA,46,0.01,38,6,2
HK,42,0.01,23,13,6
GT,39,0.01,22,14,3
DO,38,0.01,16,14,8
HN,33,0.01,21,10,2
LT,33,0.01,22,9,2
KE,27,0.01,19,8,0
DZ,24,0.01,10,13,1
BY,22,0.01,13,7,2
EE,20,0.01,14,6,0
EC,17,0.0,11,6,0
LV,17,0.0,7,7,3
GE,16,0.0,14,2,0
LU,16,0.0,9,4,3
BA,15,0.0,8,7,0
IQ,15,0.0,8,7,0
KW,15,0.0,12,3,0
CY,14,0.0,8,4,2
AZ,13,0.0,12,1,0
IS,11,0.0,5,6,0
JM,11,0.0,7,3,1
SY,11,0.0,6,5,0
BH,10,0.0,8,1,1
BD,9,0.0,8,1,0
JO,9,0.0,7,2,0
AL,8,0.0,5,3,0
ME,8,0.0,6,2,0
SV,8,0.0,5,1,2
TT,8,0.0,3,3,2
AF,7,0.0,5,2,0
AM,7,0.0,7,0,0
QA,7,0.0,6,1,0
UM,7,0.0,6,1,0
BF,6,0.0,1,5,0
OM,6,0.0,4,1,1
PY,6,0.0,2,4,0
SD,6,0.0,3,1,2
VE,6,0.0,3,3,0
BN,5,0.0,3,2,0
KG,5,0.0,4,1,0
KP,5,0.0,2,3,0
LK,5,0.0,4,1,0
MD,5,0.0,4,0,1
NC,5,0.0,5,0,0
MT,4,0.0,2,2,0
UZ,4,0.0,2,1,1
AS,3,0.0,2,0,1
KY,3,0.0,2,1,0
KZ,3,0.0,2,1,0
LY,3,0.0,3,0,0
MK,3,0.0,2,1,0
NG,3,0.0,1,2,0
PS,3,0.0,1,2,0
RW,3,0.0,3,0,0
TZ,3,0.0,3,0,0
UG,3,0.0,1,1,1
AD,2,0.0,0,2,0
BB,2,0.0,1,1,0
BT,2,0.0,1,1,0
CI,2,0.0,0,2,0
ET,2,0.0,1,1,0
GH,2,0.0,1,1,0
GU,2,0.0,1,1,0
MM,2,0.0,0,1,1
MS,2,0.0,2,0,0
MU,2,0.0,1,1,0
NI,2,0.0,1,1,0
SN,2,0.0,1,0,1
XI,2,0.0,1,0,1
ZM,2,0.0,2,0,0
BJ,1,0.0,0,1,0
CD,1,0.0,1,0,0
CU,1,0.0,0,1,0
GD,1,0.0,1,0,0
MC,1,0.0,0,1,0
MQ,1,0.0,0,0,1
VC,1,0.0,1,0,0
VI,1,0.0,1,0,0
ZW,1,0.0,0,1,0
