年龄段,报告国家,报告数,百分比,年龄段总报告数
65-74岁,US,83769,59.16,141597
65-74岁,CA,9937,7.02,141597
65-74岁,UNKNOWN,7024,4.96,141597
65-74岁,GB,5804,4.1,141597
65-74岁,FR,5679,4.01,141597
65-74岁,DE,4037,2.85,141597
65-74岁,JP,3634,2.57,141597
65-74岁,IT,2653,1.87,141597
65-74岁,BR,2016,1.42,141597
65-74岁,AR,1402,0.99,141597
65-74岁,ES,1314,0.93,141597
65-74岁,AU,1266,0.89,141597
65-74岁,NL,1103,0.78,141597
65-74岁,CO,950,0.67,141597
65-74岁,CN,823,0.58,141597
65-74岁,EU,751,0.53,141597
65-74岁,CH,674,0.48,141597
65-74岁,SE,498,0.35,141597
65-74岁,PT,483,0.34,141597
65-74岁,IN,465,0.33,141597
65-74岁,DK,450,0.32,141597
65-74岁,BE,411,0.29,141597
65-74岁,MX,328,0.23,141597
65-74岁,PL,323,0.23,141597
65-74岁,IL,318,0.22,141597
65-74岁,GR,291,0.21,141597
65-74岁,IE,270,0.19,141597
65-74岁,TW,264,0.19,141597
65-74岁,AT,238,0.17,141597
65-74岁,KR,213,0.15,141597
65-74岁,ZA,208,0.15,141597
65-74岁,CZ,206,0.15,141597
65-74岁,TR,199,0.14,141597
65-74岁,RO,195,0.14,141597
65-74岁,FI,180,0.13,141597
65-74岁,HU,166,0.12,141597
65-74岁,CL,151,0.11,141597
65-74岁,HR,138,0.1,141597
65-74岁,PR,138,0.1,141597
65-74岁,NO,131,0.09,141597
65-74岁,MEXICO,131,0.09,141597
65-74岁,EG,118,0.08,141597
65-74岁,SWEDEN,109,0.08,141597
65-74岁,RU,106,0.07,141597
65-74岁,SI,105,0.07,141597
65-74岁,TH,94,0.07,141597
65-74岁,PE,86,0.06,141597
65-74岁,NZ,86,0.06,141597
65-74岁,"KOREA, REPUBLIC OF",66,0.05,141597
65-74岁,LB,59,0.04,141597
65-74岁,SG,57,0.04,141597
65-74岁,AUSTRIA,49,0.03,141597
65-74岁,BG,46,0.03,141597
65-74岁,CR,46,0.03,141597
65-74岁,MY,46,0.03,141597
65-74岁,GREECE,45,0.03,141597
65-74岁,PH,42,0.03,141597
65-74岁,NORWAY,42,0.03,141597
65-74岁,SK,42,0.03,141597
65-74岁,FINLAND,40,0.03,141597
65-74岁,IRELAND,36,0.03,141597
65-74岁,TURKEY,36,0.03,141597
65-74岁,VENEZUELA,35,0.02,141597
65-74岁,"TAIWAN, PROVINCE OF CHINA",34,0.02,141597
65-74岁,UY,33,0.02,141597
65-74岁,VE,31,0.02,141597
65-74岁,VN,30,0.02,141597
65-74岁,POLAND,30,0.02,141597
65-74岁,EC,29,0.02,141597
65-74岁,ISRAEL,28,0.02,141597
65-74岁,GT,27,0.02,141597
65-74岁,PA,27,0.02,141597
65-74岁,RUSSIAN FEDERATION,27,0.02,141597
65-74岁,SINGAPORE,26,0.02,141597
65-74岁,IR,25,0.02,141597
65-74岁,NEW ZEALAND,25,0.02,141597
65-74岁,HN,23,0.02,141597
65-74岁,DO,22,0.02,141597
65-74岁,PK,22,0.02,141597
65-74岁,AE,21,0.01,141597
65-74岁,ID,20,0.01,141597
65-74岁,LU,19,0.01,141597
65-74岁,HK,19,0.01,141597
65-74岁,PUERTO RICO,16,0.01,141597
65-74岁,CHILE,16,0.01,141597
65-74岁,ECUADOR,16,0.01,141597
65-74岁,RS,16,0.01,141597
65-74岁,CROATIA (LOCAL NAME: HRVATSKA),13,0.01,141597
65-74岁,NG,13,0.01,141597
65-74岁,HUNGARY,13,0.01,141597
65-74岁,LV,13,0.01,141597
65-74岁,CZECH REPUBLIC,13,0.01,141597
65-74岁,CY,12,0.01,141597
65-74岁,BD,11,0.01,141597
65-74岁,UA,10,0.01,141597
65-74岁,SA,10,0.01,141597
65-74岁,EE,10,0.01,141597
65-74岁,IS,9,0.01,141597
65-74岁,MA,9,0.01,141597
65-74岁,LT,9,0.01,141597
65-74岁,PHILIPPINES,9,0.01,141597
65-74岁,TN,9,0.01,141597
65-74岁,HONG KONG,8,0.01,141597
65-74岁,PERU,8,0.01,141597
65-74岁,KW,8,0.01,141597
65-74岁,COSTA RICA,8,0.01,141597
65-74岁,THAILAND,7,0.0,141597
65-74岁,IRAN (ISLAMIC REPUBLIC OF),6,0.0,141597
65-74岁,SV,5,0.0,141597
65-74岁,DZ,5,0.0,141597
65-74岁,A1,5,0.0,141597
65-74岁,SLOVENIA,5,0.0,141597
65-74岁,JO,5,0.0,141597
65-74岁,JM,5,0.0,141597
65-74岁,UM,5,0.0,141597
65-74岁,SLOVAKIA (SLOVAK REPUBLIC),5,0.0,141597
65-74岁,EGYPT,4,0.0,141597
65-74岁,MK,4,0.0,141597
65-74岁,LITHUANIA,4,0.0,141597
65-74岁,AF,4,0.0,141597
65-74岁,MALAYSIA,4,0.0,141597
65-74岁,PAKISTAN,4,0.0,141597
65-74岁,SZ,4,0.0,141597
65-74岁,GE,4,0.0,141597
65-74岁,UZ,4,0.0,141597
65-74岁,ROMANIA,4,0.0,141597
65-74岁,AL,3,0.0,141597
65-74岁,AM,3,0.0,141597
65-74岁,KE,3,0.0,141597
65-74岁,GH,3,0.0,141597
65-74岁,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",3,0.0,141597
65-74岁,BY,3,0.0,141597
65-74岁,BULGARIA,3,0.0,141597
65-74岁,CYPRUS,3,0.0,141597
65-74岁,CONGO,3,0.0,141597
65-74岁,BA,3,0.0,141597
65-74岁,ALGERIA,3,0.0,141597
65-74岁,LATVIA,3,0.0,141597
65-74岁,LEBANON,3,0.0,141597
65-74岁,MD,3,0.0,141597
65-74岁,LK,3,0.0,141597
65-74岁,KP,3,0.0,141597
65-74岁,TUNISIA,2,0.0,141597
65-74岁,UKRAINE,2,0.0,141597
65-74岁,CM,2,0.0,141597
65-74岁,BT,2,0.0,141597
65-74岁,BN,2,0.0,141597
65-74岁,TT,2,0.0,141597
65-74岁,PY,2,0.0,141597
65-74岁,NP,2,0.0,141597
65-74岁,MT,2,0.0,141597
65-74岁,CI,2,0.0,141597
65-74岁,ME,2,0.0,141597
65-74岁,KZ,2,0.0,141597
65-74岁,IQ,2,0.0,141597
65-74岁,INDONESIA,2,0.0,141597
65-74岁,NI,2,0.0,141597
65-74岁,BI,1,0.0,141597
65-74岁,BRUNEI DARUSSALAM,1,0.0,141597
65-74岁,AZ,1,0.0,141597
65-74岁,FJ,1,0.0,141597
65-74岁,EUROPEAN UNION,1,0.0,141597
65-74岁,DOMINICAN REPUBLIC,1,0.0,141597
65-74岁,BOLIVIA,1,0.0,141597
65-74岁,ICELAND,1,0.0,141597
65-74岁,HONDURAS,1,0.0,141597
65-74岁,GUATEMALA,1,0.0,141597
65-74岁,KH,1,0.0,141597
65-74岁,NC,1,0.0,141597
65-74岁,MOROCCO,1,0.0,141597
65-74岁,MM,1,0.0,141597
65-74岁,MN,1,0.0,141597
65-74岁,MC,1,0.0,141597
65-74岁,ML,1,0.0,141597
65-74岁,OM,1,0.0,141597
65-74岁,PANAMA,1,0.0,141597
65-74岁,SERBIA,1,0.0,141597
65-74岁,SD,1,0.0,141597
65-74岁,QA,1,0.0,141597
65-74岁,SN,1,0.0,141597
65-74岁,SRI LANKA,1,0.0,141597
65-74岁,UNITED ARAB EMIRATES,1,0.0,141597
65-74岁,VIET NAM,1,0.0,141597
65-74岁,VI,1,0.0,141597
75-84岁,US,61743,53.95,114443
75-84岁,CA,7719,6.74,114443
75-84岁,FR,6403,5.59,114443
75-84岁,UNKNOWN,5477,4.79,114443
75-84岁,GB,5408,4.73,114443
75-84岁,DE,4805,4.2,114443
75-84岁,JP,4435,3.88,114443
75-84岁,IT,2872,2.51,114443
75-84岁,BR,1406,1.23,114443
75-84岁,ES,1301,1.14,114443
75-84岁,AU,1203,1.05,114443
75-84岁,NL,1049,0.92,114443
75-84岁,CH,915,0.8,114443
75-84岁,AR,909,0.79,114443
75-84岁,EU,814,0.71,114443
75-84岁,CO,617,0.54,114443
75-84岁,CN,609,0.53,114443
75-84岁,SE,550,0.48,114443
75-84岁,BE,367,0.32,114443
75-84岁,IL,367,0.32,114443
75-84岁,PT,352,0.31,114443
75-84岁,DK,351,0.31,114443
75-84岁,GR,281,0.25,114443
75-84岁,PL,250,0.22,114443
75-84岁,MX,246,0.21,114443
75-84岁,TW,234,0.2,114443
75-84岁,ZA,211,0.18,114443
75-84岁,IE,202,0.18,114443
75-84岁,AT,197,0.17,114443
75-84岁,FI,167,0.15,114443
75-84岁,IN,164,0.14,114443
75-84岁,CZ,147,0.13,114443
75-84岁,TR,142,0.12,114443
75-84岁,KR,137,0.12,114443
75-84岁,SWEDEN,115,0.1,114443
75-84岁,PR,114,0.1,114443
75-84岁,SI,114,0.1,114443
75-84岁,MEXICO,114,0.1,114443
75-84岁,RO,104,0.09,114443
75-84岁,CL,90,0.08,114443
75-84岁,HU,87,0.08,114443
