年龄段,报告国家,报告数,百分比,年龄段总报告数
65-74岁,US,32941,60.76,54217
65-74岁,CA,4772,8.8,54217
65-74岁,UNKNOWN,3052,5.63,54217
65-74岁,JP,1751,3.23,54217
65-74岁,FR,1679,3.1,54217
65-74岁,GB,1675,3.09,54217
65-74岁,DE,1588,2.93,54217
65-74岁,BR,806,1.49,54217
65-74岁,AR,538,0.99,54217
65-74岁,AU,479,0.88,54217
65-74岁,IT,470,0.87,54217
65-74岁,ES,405,0.75,54217
65-74岁,NL,377,0.7,54217
65-74岁,CO,354,0.65,54217
65-74岁,EU,267,0.49,54217
65-74岁,CH,216,0.4,54217
65-74岁,IL,170,0.31,54217
65-74岁,BE,153,0.28,54217
65-74岁,MX,150,0.28,54217
65-74岁,TW,147,0.27,54217
65-74岁,SE,143,0.26,54217
65-74岁,CN,140,0.26,54217
65-74岁,DK,135,0.25,54217
65-74岁,IE,126,0.23,54217
65-74岁,IN,97,0.18,54217
65-74岁,ZA,86,0.16,54217
65-74岁,GR,86,0.16,54217
65-74岁,AT,74,0.14,54217
65-74岁,MEXICO,72,0.13,54217
65-74岁,PT,68,0.13,54217
65-74岁,FI,67,0.12,54217
65-74岁,PL,67,0.12,54217
65-74岁,KR,57,0.11,54217
65-74岁,CL,56,0.1,54217
65-74岁,TR,56,0.1,54217
65-74岁,RO,55,0.1,54217
65-74岁,CZ,51,0.09,54217
65-74岁,PR,46,0.08,54217
65-74岁,HU,41,0.08,54217
65-74岁,PE,37,0.07,54217
65-74岁,"KOREA, REPUBLIC OF",35,0.06,54217
65-74岁,NO,30,0.06,54217
65-74岁,TH,29,0.05,54217
65-74岁,SI,26,0.05,54217
65-74岁,SWEDEN,26,0.05,54217
65-74岁,NZ,24,0.04,54217
65-74岁,VENEZUELA,22,0.04,54217
65-74岁,RU,21,0.04,54217
65-74岁,SG,20,0.04,54217
65-74岁,VE,18,0.03,54217
65-74岁,HR,17,0.03,54217
65-74岁,EG,16,0.03,54217
65-74岁,UY,14,0.03,54217
65-74岁,CR,14,0.03,54217
65-74岁,LB,14,0.03,54217
65-74岁,ISRAEL,13,0.02,54217
65-74岁,"TAIWAN, PROVINCE OF CHINA",13,0.02,54217
65-74岁,MY,12,0.02,54217
65-74岁,IRELAND,12,0.02,54217
65-74岁,EC,11,0.02,54217
65-74岁,BG,11,0.02,54217
65-74岁,FINLAND,11,0.02,54217
65-74岁,AUSTRIA,10,0.02,54217
65-74岁,SINGAPORE,10,0.02,54217
65-74岁,CHILE,10,0.02,54217
65-74岁,LU,10,0.02,54217
65-74岁,PH,10,0.02,54217
65-74岁,NEW ZEALAND,10,0.02,54217
65-74岁,PA,10,0.02,54217
65-74岁,ECUADOR,10,0.02,54217
65-74岁,RUSSIAN FEDERATION,10,0.02,54217
65-74岁,DO,9,0.02,54217
65-74岁,SK,7,0.01,54217
65-74岁,PK,7,0.01,54217
65-74岁,NORWAY,6,0.01,54217
65-74岁,GT,6,0.01,54217
65-74岁,GREECE,5,0.01,54217
65-74岁,AE,5,0.01,54217
65-74岁,HK,5,0.01,54217
65-74岁,HN,5,0.01,54217
65-74岁,UA,5,0.01,54217
65-74岁,PUERTO RICO,5,0.01,54217
65-74岁,POLAND,5,0.01,54217
65-74岁,CZECH REPUBLIC,5,0.01,54217
65-74岁,IR,4,0.01,54217
65-74岁,SA,4,0.01,54217
65-74岁,CY,4,0.01,54217
65-74岁,EE,4,0.01,54217
65-74岁,VN,4,0.01,54217
65-74岁,KW,4,0.01,54217
65-74岁,TURKEY,4,0.01,54217
65-74岁,JM,3,0.01,54217
65-74岁,RS,3,0.01,54217
65-74岁,MA,3,0.01,54217
65-74岁,LV,3,0.01,54217
65-74岁,AF,2,0.0,54217
65-74岁,A1,2,0.0,54217
65-74岁,SZ,2,0.0,54217
65-74岁,AM,2,0.0,54217
65-74岁,EGYPT,2,0.0,54217
65-74岁,HUNGARY,2,0.0,54217
65-74岁,UZ,2,0.0,54217
65-74岁,SLOVAKIA (SLOVAK REPUBLIC),2,0.0,54217
65-74岁,JO,2,0.0,54217
65-74岁,LEBANON,2,0.0,54217
65-74岁,UM,2,0.0,54217
65-74岁,AL,1,0.0,54217
65-74岁,LK,1,0.0,54217
65-74岁,KH,1,0.0,54217
65-74岁,GUATEMALA,1,0.0,54217
65-74岁,HONG KONG,1,0.0,54217
65-74岁,IS,1,0.0,54217
65-74岁,ICELAND,1,0.0,54217
65-74岁,BD,1,0.0,54217
65-74岁,CROATIA (LOCAL NAME: HRVATSKA),1,0.0,54217
65-74岁,BI,1,0.0,54217
65-74岁,BULGARIA,1,0.0,54217
65-74岁,DZ,1,0.0,54217
65-74岁,COSTA RICA,1,0.0,54217
65-74岁,ID,1,0.0,54217
65-74岁,EUROPEAN UNION,1,0.0,54217
65-74岁,QA,1,0.0,54217
65-74岁,PAKISTAN,1,0.0,54217
65-74岁,PERU,1,0.0,54217
65-74岁,PHILIPPINES,1,0.0,54217
65-74岁,MM,1,0.0,54217
65-74岁,MK,1,0.0,54217
65-74岁,NI,1,0.0,54217
65-74岁,NG,1,0.0,54217
65-74岁,MALAYSIA,1,0.0,54217
65-74岁,SLOVENIA,1,0.0,54217
65-74岁,SRI LANKA,1,0.0,54217
65-74岁,SV,1,0.0,54217
65-74岁,THAILAND,1,0.0,54217
65-74岁,TT,1,0.0,54217
65-74岁,TUNISIA,1,0.0,54217
65-74岁,TN,1,0.0,54217
75-84岁,US,28166,52.14,54018
75-84岁,CA,4559,8.44,54018
75-84岁,FR,3386,6.27,54018
75-84岁,UNKNOWN,2800,5.18,54018
75-84岁,JP,2650,4.91,54018
75-84岁,DE,2545,4.71,54018
75-84岁,GB,2336,4.32,54018
75-84岁,BR,722,1.34,54018
75-84岁,IT,716,1.33,54018
75-84岁,AU,703,1.3,54018
75-84岁,ES,565,1.05,54018
75-84岁,NL,490,0.91,54018
75-84岁,AR,422,0.78,54018
75-84岁,EU,352,0.65,54018
75-84岁,CH,329,0.61,54018
75-84岁,CO,291,0.54,54018
75-84岁,IL,247,0.46,54018
75-84岁,SE,211,0.39,54018
75-84岁,DK,161,0.3,54018
75-84岁,BE,158,0.29,54018
75-84岁,MX,139,0.26,54018
75-84岁,TW,136,0.25,54018
75-84岁,GR,121,0.22,54018
75-84岁,ZA,109,0.2,54018
75-84岁,CN,104,0.19,54018
75-84岁,IE,100,0.19,54018
75-84岁,PL,97,0.18,54018
75-84岁,AT,92,0.17,54018
75-84岁,FI,82,0.15,54018
75-84岁,MEXICO,76,0.14,54018
75-84岁,PT,59,0.11,54018
75-84岁,PR,53,0.1,54018
75-84岁,TR,48,0.09,54018
75-84岁,SI,47,0.09,54018
75-84岁,CZ,45,0.08,54018
75-84岁,PE,44,0.08,54018
75-84岁,CL,44,0.08,54018
75-84岁,SWEDEN,43,0.08,54018
75-84岁,IN,42,0.08,54018
75-84岁,HU,39,0.07,54018
75-84岁,KR,38,0.07,54018
75-84岁,RO,37,0.07,54018
75-84岁,TH,32,0.06,54018
75-84岁,NZ,30,0.06,54018
75-84岁,VENEZUELA,27,0.05,54018
75-84岁,NO,26,0.05,54018
75-84岁,NORWAY,23,0.04,54018
75-84岁,HR,23,0.04,54018
75-84岁,"KOREA, REPUBLIC OF",21,0.04,54018
75-84岁,"TAIWAN, PROVINCE OF CHINA",20,0.04,54018
75-84岁,NEW ZEALAND,19,0.04,54018
75-84岁,AUSTRIA,18,0.03,54018
75-84岁,SG,18,0.03,54018
75-84岁,RU,18,0.03,54018
75-84岁,CR,17,0.03,54018
75-84岁,ISRAEL,15,0.03,54018
75-84岁,SK,14,0.03,54018
75-84岁,HN,13,0.02,54018
75-84岁,VE,13,0.02,54018
75-84岁,LB,12,0.02,54018
75-84岁,FINLAND,10,0.02,54018
