feature,importance
categorical__rept_cod_EXP,0.04972868
categorical__rept_cod_PER,0.037239935
categorical__cns_coprescription_bucket_0,0.031608652
bool__indi_soc_nervous_system_disorders,0.026347814
categorical__occr_country_CA,0.020590974
bool__has_ss_drug,0.016626963
bool__indi_soc_infections_and_infestations,0.015705543
categorical__reporter_country_CN,0.014974445
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,0.014217372
categorical__sex_clean_M,0.013892953
bool__event_date_known,0.012896483
categorical__occr_country_IT,0.012560989
categorical__reporter_country_IT,0.012000841
categorical__rept_cod_DIR,0.011841
categorical__reporter_country_UNITED STATES,0.010154043
bool__has_end_dt,0.010086931
categorical__occr_country_US,0.009499103
categorical__reporter_country_ES,0.009448018
bool__indi_soc_neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,0.009336966
categorical__occr_country_AR,0.009278747
categorical__reporter_country_US,0.008958301
categorical__occr_country_DE,0.00887218
categorical__occr_country_JP,0.008610164
categorical__reporter_country_CA,0.008365324
bool__zolpidem_as_suspect,0.008011036
categorical__reporter_country_JP,0.0075587328
categorical__sex_clean_F,0.0072840312
bool__indi_soc_gastrointestinal_disorders,0.0072071436
categorical__occr_country_AU,0.00696299
bool__indi_soc_psychiatric_disorders,0.0069616707
categorical__occr_country_BR,0.0066782446
categorical__reporter_country_NL,0.006239962
categorical__e_sub_Y,0.0059836814
categorical__occr_country_IL,0.005958988
bool__has_start_dt,0.0058553265
categorical__reporter_country_FRANCE,0.005784196
categorical__reporter_country_BG,0.005718533
categorical__occr_country_FR,0.005685774
categorical__occr_country_ES,0.005587276
categorical__reporter_country_JAPAN,0.0055110296
categorical__reporter_country_PT,0.0054420093
categorical__reporter_country_FR,0.0053942306
categorical__occr_country_NL,0.0053440086
bool__is_antidepressant,0.005255276
numeric__age_years,0.005235357
categorical__reporter_country_COUNTRY NOT SPECIFIED,0.004862818
categorical__reporter_country_AU,0.004683125
numeric__cns_coprescription_count,0.004356553
categorical__reporter_country_DE,0.004198859
categorical__rpsr_cod_CSM|OTH,0.0041209916
categorical__rpsr_cod_unknown,0.0040912842
bool__indi_insomnia,0.0040343045
categorical__age_group_>=85,0.0039771018
categorical__age_group_65-74,0.00380716
categorical__drug_n_bucket_0-1,0.0038037272
categorical__occr_country_GB,0.0037790742
categorical__reporter_country_GB,0.0037706767
categorical__reporter_country_KR,0.0037292007
bool__indi_soc_blood_and_lymphatic_system_disorders,0.0036471533
categorical__e_sub_N,0.0035654383
numeric__ss_drug_n,0.0035471455
bool__indi_soc_cardiac_disorders,0.0035313542
categorical__occr_country_MX,0.0034938084
categorical__occr_country_PL,0.0034841837
categorical__occr_country_CN,0.0034805324
categorical__rept_cod_30DAY,0.0033718832
categorical__reporter_country_PL,0.003303712
numeric__log_distinct_drug_n,0.0032409492
categorical__reporter_country_NO,0.0032078833
categorical__occr_country_SE,0.0031341796
categorical__rpsr_cod_CSM|HP,0.0031004723
categorical__reporter_country_IN,0.0030902668
numeric__drug_n,0.0030182828
categorical__reporter_country_IL,0.0029708368
bool__indi_soc_eye_disorders,0.0029360042
categorical__distinct_drug_n_bucket_0-1,0.002915191
bool__other_zdrug_as_suspect,0.002888568
