feature,importance
bool__pheno_gait_balance_motor,0.07655277
categorical__rept_cod_PER,0.03590606
bool__pheno_consciousness_cognition,0.032153558
categorical__rept_cod_EXP,0.03123283
bool__pheno_dizziness_vertigo_syncope,0.027143225
categorical__cns_coprescription_bucket_0,0.024020681
bool__indi_soc_nervous_system_disorders,0.01702932
bool__indi_soc_infections_and_infestations,0.015160001
categorical__occr_country_CA,0.01497676
categorical__reporter_country_CN,0.01385538
bool__event_date_known,0.012161073
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,0.0119066015
categorical__sex_clean_M,0.011799199
categorical__occr_country_IT,0.011511895
bool__pheno_hypotension,0.0111716585
bool__has_end_dt,0.010226466
categorical__occr_country_US,0.009968795
bool__indi_soc_neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,0.008698138
categorical__reporter_country_IT,0.008299076
categorical__sex_clean_F,0.00749092
categorical__age_group_65-74,0.00711794
categorical__reporter_country_AU,0.006888825
categorical__reporter_country_ES,0.006612601
categorical__occr_country_DE,0.0065339645
categorical__occr_country_AU,0.0064666765
bool__is_antidepressant,0.0062438534
categorical__occr_country_ES,0.0061587216
categorical__occr_country_IL,0.0060979333
bool__indi_soc_gastrointestinal_disorders,0.0059868246
categorical__reporter_country_UNITED STATES,0.0059712688
bool__has_ss_drug,0.0059405947
categorical__reporter_country_US,0.005938139
bool__zolpidem_as_suspect,0.005921207
categorical__occr_country_FR,0.00570617
categorical__reporter_country_FRANCE,0.0056658546
categorical__occr_country_AR,0.005576101
bool__has_start_dt,0.005499365
categorical__reporter_country_JP,0.005402867
categorical__reporter_country_PT,0.005338843
categorical__occr_country_BR,0.0052229487
categorical__reporter_country_NL,0.004960167
categorical__occr_country_JP,0.004887001
bool__indi_soc_psychiatric_disorders,0.004881261
numeric__age_years,0.0048691006
categorical__occr_country_NL,0.004602592
categorical__reporter_country_CA,0.0045886384
categorical__reporter_country_FR,0.004409196
numeric__log_drug_n,0.004220071
categorical__reporter_country_AR,0.0041369437
categorical__occr_country_PL,0.0040628
categorical__reporter_country_JAPAN,0.004060847
bool__indi_insomnia,0.0040582847
categorical__occr_country_GB,0.004012938
categorical__rept_cod_DIR,0.0039398787
categorical__reporter_country_KR,0.0039227647
categorical__reporter_country_GB,0.00365997
bool__other_zdrug_as_suspect,0.0035544564
categorical__reporter_country_COUNTRY NOT SPECIFIED,0.0034327607
categorical__reporter_country_SE,0.003331468
categorical__rept_cod_30DAY,0.003294108
categorical__reporter_country_DE,0.0032002628
categorical__e_sub_N,0.0031581277
categorical__age_group_>=85,0.00306182
categorical__reporter_country_IN,0.0030442865
bool__indi_soc_blood_and_lymphatic_system_disorders,0.003036666
categorical__occr_country_SE,0.0029714927
categorical__reporter_country_PL,0.0029355502
categorical__drug_n_bucket_20+,0.0029107584
categorical__occr_country_MX,0.0028609126
categorical__occr_country_CN,0.0028513046
bool__indi_pain,0.0028285212
bool__indi_soc_investigations,0.0027900268
categorical__reporter_country_MEXICO,0.0027085587
categorical__occr_country_FI,0.0026869657
bool__indi_soc_cardiac_disorders,0.0026639777
categorical__rpsr_cod_CSM|HP,0.002647863
categorical__reporter_country_CANADA,0.0026353467
numeric__cns_coprescription_count,0.002634716
categorical__distinct_drug_n_bucket_0-1,0.0025948351
numeric__ss_drug_n,0.002584747
categorical__rpsr_cod_HP,0.002456533
bool__indi_epilepsy,0.0024562671
numeric__indi_mapped_n,0.0024450803
bool__duration_known,0.0024248608
"categorical__reporter_country_KOREA, REPUBLIC OF",0.0024177087
categorical__reporter_country_IL,0.002412308
numeric__drug_n,0.002387006
categorical__reporter_country_SPAIN,0.0023770044
categorical__occr_country_TW,0.0023622506
categorical__reporter_country_RU,0.0023395158
bool__indi_soc_eye_disorders,0.0023329414
categorical__reporter_country_SG,0.0023247912
categorical__reporter_country_ITALY,0.0022966224
categorical__occr_country_TH,0.0022649986
categorical__occr_country_KR,0.002251876
bool__pheno_sedation_somnolence,0.0022400627
categorical__reporter_country_SI,0.002234522
bool__is_antipsychotic,0.0022338144
bool__indi_soc_metabolism_and_nutrition_disorders,0.0022224837
bool__indi_soc_social_circumstances,0.0022163203
bool__indi_soc_respiratory_thoracic_and_mediastinal_disorders,0.0022043597
categorical__drug_n_bucket_0-1,0.0021713907
categorical__reporter_country_BR,0.0021131667
categorical__cns_coprescription_bucket_3+,0.002097884
categorical__rpsr_cod_unknown,0.0020867747
categorical__occr_country_unknown,0.002076112
categorical__reporter_country_NO,0.0020740107
categorical__rpsr_cod_FGN|HP|SDY,0.0020708274
categorical__rpsr_cod_CSM,0.002054
bool__indi_anxiety,0.0020503302
bool__has_rpsr,0.0020321612
categorical__reporter_country_DK,0.0020252368
bool__indi_soc_skin_and_subcutaneous_tissue_disorders,0.00201143
categorical__occr_country_PT,0.0019762588
categorical__rpsr_cod_HP|LIT,0.0019735252
numeric__distinct_drug_n,0.0019316325
categorical__e_sub_Y,0.0019278998
categorical__occr_country_SG,0.001925541
numeric__year,0.0018901133
categorical__reporter_country_GREECE,0.0018720599
categorical__occr_country_RO,0.0018647241
categorical__reporter_country_TR,0.0018265548
bool__is_other_zdrug,0.0018224644
numeric__therapy_record_n,0.0018028195
categorical__reporter_country_HR,0.0017963635
categorical__occr_country_TR,0.0017919351
categorical__reporter_country_UNITED KINGDOM,0.0017915103
bool__indi_soc_immune_system_disorders,0.0017886808
categorical__occr_country_BG,0.0017883109
categorical__occr_country_NO,0.0017725601
categorical__occr_country_HR,0.0017661137
categorical__rpsr_cod_CSM|HP|OTH,0.0017516739
categorical__occr_country_PH,0.0017461837
bool__indi_soc_vascular_disorders,0.0017409376
categorical__reporter_country_LU,0.0017403819
categorical__reporter_country_SWITZERLAND,0.0017278533
categorical__reporter_country_BG,0.0017275101
categorical__distinct_drug_n_bucket_20+,0.0017239891
bool__zolpidem_as_ps,0.0017001252
numeric__concomitant_drug_n,0.0016991263
categorical__occr_country_PE,0.0016916668
numeric__indi_n,0.0016763264
categorical__reporter_country_GERMANY,0.0016552189
bool__indi_soc_reproductive_system_and_breast_disorders,0.0016471851
categorical__reporter_country_SK,0.0016471453
bool__indi_soc_general_disorders_and_administration_site_conditions,0.0016445545
numeric__interacting_drug_n,0.0016394787
bool__is_benzo,0.00161683
bool__indi_soc_ear_and_labyrinth_disorders,0.001616499
bool__indi_soc_hepatobiliary_disorders,0.0016078072
categorical__reporter_country_GR,0.001599557
categorical__occr_country_SI,0.0015932812
categorical__rpsr_cod_HP|UF,0.0015925925
categorical__reporter_country_AT,0.001582934
categorical__occr_country_CZ,0.0015815342
categorical__rpsr_cod_HP|SDY,0.0015669757
bool__is_eszopiclone,0.0015602132
bool__indi_soc_injury_poisoning_and_procedural_complications,0.0015510956
bool__indi_soc_endocrine_disorders,0.0015490396
categorical__cns_coprescription_bucket_2,0.001543106
