dataset,metric,value,column,n_rows,missing_n,blank_n,missing_or_blank_rate
demo_v2_2004q1,n_rows,13601.0,,,,,
demo_v2_2004q1,unique_caseid,13601.0,,,,,
demo_v2_2004q1,duplicate_caseid_rows,0.0,,,,,
demo_v2_2004q1,,,caseid,13601.0,0.0,0.0,0.0
demo_v2_2004q1,,,age_years,13601.0,0.0,0.0,0.0
demo_v2_2004q1,,,age_group,13601.0,0.0,0.0,0.0
demo_v2_2004q1,,,rept_cod,13601.0,0.0,0.0,0.0
demo_v2_2004q1,,,e_sub,13601.0,0.0,0.0,0.0
demo_v2_2004q1,,,reporter_country,13601.0,0.0,0.0,0.0
demo_v2_2004q1,,,occr_country,13601.0,0.0,0.0,0.0
demo_v2_2004q1,,,event_date_known,13601.0,0.0,0.0,0.0
demo_v2_2004q2,n_rows,12127.0,,,,,
demo_v2_2004q2,unique_caseid,12127.0,,,,,
demo_v2_2004q2,duplicate_caseid_rows,0.0,,,,,
demo_v2_2004q2,,,caseid,12127.0,0.0,0.0,0.0
demo_v2_2004q2,,,age_years,12127.0,0.0,0.0,0.0
demo_v2_2004q2,,,age_group,12127.0,0.0,0.0,0.0
demo_v2_2004q2,,,rept_cod,12127.0,0.0,0.0,0.0
demo_v2_2004q2,,,e_sub,12127.0,0.0,0.0,0.0
demo_v2_2004q2,,,reporter_country,12127.0,0.0,0.0,0.0
demo_v2_2004q2,,,occr_country,12127.0,0.0,0.0,0.0
demo_v2_2004q2,,,event_date_known,12127.0,0.0,0.0,0.0
demo_v2_2004q3,n_rows,17457.0,,,,,
demo_v2_2004q3,unique_caseid,17457.0,,,,,
demo_v2_2004q3,duplicate_caseid_rows,0.0,,,,,
demo_v2_2004q3,,,caseid,17457.0,0.0,0.0,0.0
demo_v2_2004q3,,,age_years,17457.0,0.0,0.0,0.0
demo_v2_2004q3,,,age_group,17457.0,0.0,0.0,0.0
demo_v2_2004q3,,,rept_cod,17457.0,0.0,0.0,0.0
demo_v2_2004q3,,,e_sub,17457.0,0.0,0.0,0.0
demo_v2_2004q3,,,reporter_country,17457.0,0.0,0.0,0.0
demo_v2_2004q3,,,occr_country,17457.0,0.0,0.0,0.0
demo_v2_2004q3,,,event_date_known,17457.0,0.0,0.0,0.0
demo_v2_2004q4,n_rows,14102.0,,,,,
demo_v2_2004q4,unique_caseid,14102.0,,,,,
demo_v2_2004q4,duplicate_caseid_rows,0.0,,,,,
demo_v2_2004q4,,,caseid,14102.0,0.0,0.0,0.0
demo_v2_2004q4,,,age_years,14102.0,0.0,0.0,0.0
demo_v2_2004q4,,,age_group,14102.0,0.0,0.0,0.0
demo_v2_2004q4,,,rept_cod,14102.0,0.0,0.0,0.0
demo_v2_2004q4,,,e_sub,14102.0,0.0,0.0,0.0
demo_v2_2004q4,,,reporter_country,14102.0,0.0,0.0,0.0
demo_v2_2004q4,,,occr_country,14102.0,0.0,0.0,0.0
demo_v2_2004q4,,,event_date_known,14102.0,0.0,0.0,0.0
demo_v2_2005q1,n_rows,14086.0,,,,,
demo_v2_2005q1,unique_caseid,14086.0,,,,,
demo_v2_2005q1,duplicate_caseid_rows,0.0,,,,,
demo_v2_2005q1,,,caseid,14086.0,0.0,0.0,0.0
demo_v2_2005q1,,,age_years,14086.0,0.0,0.0,0.0
demo_v2_2005q1,,,age_group,14086.0,0.0,0.0,0.0
demo_v2_2005q1,,,rept_cod,14086.0,0.0,0.0,0.0
demo_v2_2005q1,,,e_sub,14086.0,0.0,0.0,0.0
demo_v2_2005q1,,,reporter_country,14086.0,0.0,0.0,0.0
demo_v2_2005q1,,,occr_country,14086.0,0.0,0.0,0.0
demo_v2_2005q1,,,event_date_known,14086.0,0.0,0.0,0.0
demo_v2_2005q2,n_rows,15661.0,,,,,
demo_v2_2005q2,unique_caseid,15661.0,,,,,
demo_v2_2005q2,duplicate_caseid_rows,0.0,,,,,
demo_v2_2005q2,,,caseid,15661.0,0.0,0.0,0.0
demo_v2_2005q2,,,age_years,15661.0,0.0,0.0,0.0
demo_v2_2005q2,,,age_group,15661.0,0.0,0.0,0.0
demo_v2_2005q2,,,rept_cod,15661.0,0.0,0.0,0.0
demo_v2_2005q2,,,e_sub,15661.0,0.0,0.0,0.0
demo_v2_2005q2,,,reporter_country,15661.0,0.0,0.0,0.0
demo_v2_2005q2,,,occr_country,15661.0,0.0,0.0,0.0
demo_v2_2005q2,,,event_date_known,15661.0,0.0,0.0,0.0
demo_v2_2005q3,n_rows,15749.0,,,,,
demo_v2_2005q3,unique_caseid,15749.0,,,,,
demo_v2_2005q3,duplicate_caseid_rows,0.0,,,,,
demo_v2_2005q3,,,caseid,15749.0,0.0,0.0,0.0
demo_v2_2005q3,,,age_years,15749.0,0.0,0.0,0.0
demo_v2_2005q3,,,age_group,15749.0,0.0,0.0,0.0
demo_v2_2005q3,,,rept_cod,15749.0,0.0,0.0,0.0
demo_v2_2005q3,,,e_sub,15749.0,0.0,0.0,0.0
demo_v2_2005q3,,,reporter_country,15749.0,0.0,0.0,0.0
demo_v2_2005q3,,,occr_country,15749.0,0.0,0.0,0.0
demo_v2_2005q3,,,event_date_known,15749.0,0.0,0.0,0.0
demo_v2_2005q4,n_rows,15588.0,,,,,
demo_v2_2005q4,unique_caseid,15588.0,,,,,
demo_v2_2005q4,duplicate_caseid_rows,0.0,,,,,
demo_v2_2005q4,,,caseid,15588.0,0.0,0.0,0.0
demo_v2_2005q4,,,age_years,15588.0,0.0,0.0,0.0
demo_v2_2005q4,,,age_group,15588.0,0.0,0.0,0.0
demo_v2_2005q4,,,rept_cod,15588.0,0.0,0.0,0.0
demo_v2_2005q4,,,e_sub,15588.0,0.0,0.0,0.0
demo_v2_2005q4,,,reporter_country,15588.0,0.0,0.0,0.0
demo_v2_2005q4,,,occr_country,15588.0,0.0,0.0,0.0
demo_v2_2005q4,,,event_date_known,15588.0,0.0,0.0,0.0
demo_v2_2006q1,n_rows,16148.0,,,,,
demo_v2_2006q1,unique_caseid,16148.0,,,,,
demo_v2_2006q1,duplicate_caseid_rows,0.0,,,,,
demo_v2_2006q1,,,caseid,16148.0,0.0,0.0,0.0
demo_v2_2006q1,,,age_years,16148.0,0.0,0.0,0.0
demo_v2_2006q1,,,age_group,16148.0,0.0,0.0,0.0
demo_v2_2006q1,,,rept_cod,16148.0,0.0,0.0,0.0
demo_v2_2006q1,,,e_sub,16148.0,0.0,0.0,0.0
