dataset,metric,value,column,n_rows,missing_n,blank_n,missing_or_blank_rate
indi_v2_2004q1,n_rows,11429.0,,,,,
indi_v2_2004q1,unique_caseid,11429.0,,,,,
indi_v2_2004q1,duplicate_caseid_rows,0.0,,,,,
indi_v2_2004q1,,,caseid,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_n,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,distinct_indi_n,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_mapped_n,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_unmapped_n,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_insomnia,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_anxiety,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_depression,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_pain,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_epilepsy,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_dizziness_vertigo,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_blood_and_lymphatic_system_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_cardiac_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_congenital_familial_and_genetic_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_ear_and_labyrinth_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_endocrine_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_eye_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_gastrointestinal_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_general_disorders_and_administration_site_conditions,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_hepatobiliary_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_immune_system_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_infections_and_infestations,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_injury_poisoning_and_procedural_complications,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_investigations,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_metabolism_and_nutrition_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_musculoskeletal_and_connective_tissue_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_nervous_system_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_psychiatric_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_renal_and_urinary_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_reproductive_system_and_breast_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_respiratory_thoracic_and_mediastinal_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_skin_and_subcutaneous_tissue_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_social_circumstances,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_surgical_and_medical_procedures,11429.0,0.0,0.0,0.0
indi_v2_2004q1,,,indi_soc_vascular_disorders,11429.0,0.0,0.0,0.0
indi_v2_2004q2,n_rows,10492.0,,,,,
indi_v2_2004q2,unique_caseid,10492.0,,,,,
indi_v2_2004q2,duplicate_caseid_rows,0.0,,,,,
indi_v2_2004q2,,,caseid,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_n,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,distinct_indi_n,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_mapped_n,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_unmapped_n,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_insomnia,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_anxiety,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_depression,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_pain,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_epilepsy,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_dizziness_vertigo,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_soc_blood_and_lymphatic_system_disorders,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_soc_cardiac_disorders,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_soc_congenital_familial_and_genetic_disorders,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_soc_ear_and_labyrinth_disorders,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_soc_endocrine_disorders,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_soc_eye_disorders,10492.0,0.0,0.0,0.0
indi_v2_2004q2,,,indi_soc_gastrointestinal_disorders,10492.0,0.0,0.0,0.0
