period,indi_pt_norm,n_rows
2004q1,SUPERIOR VENA CAVAL OCCLUSION,1
2004q2,SUPERIOR VENA CAVAL OCCLUSION,1
2006q1,HYPOTHALAMO PITUITARY DISORDERS,1
2006q2,EVAN S SYNDROME,1
2006q3,HYPOTHALAMO PITUITARY DISORDERS,1
2008q2,METHICILLIN RESISTANT STAPHYLOCOCCAL AUREUS TEST POSITIVE,1
2008q4,DISBACTERIOSIS,1
2009q2,DISBACTERIOSIS,3
2009q3,SUPERIOR VENA CAVAL OCCLUSION,1
2009q4,DISBACTERIOSIS,1
2009q4,SUPERIOR VENA CAVAL OCCLUSION,1
2010q1,DISBACTERIOSIS,2
2010q2,DISBACTERIOSIS,2
2010q3,DISBACTERIOSIS,1
2010q3,SUPERIOR VENA CAVAL OCCLUSION,1
2010q4,PARAINFLUENZAE VIRUS INFECTION,1
2011q1,DISBACTERIOSIS,1
2011q2,DISBACTERIOSIS,3
2011q3,DISBACTERIOSIS,1
2011q3,AEROMONA INFECTION,1
2011q4,DISBACTERIOSIS,1
2012q1,DISBACTERIOSIS,1
2012q2,DISBACTERIOSIS,2
2012q4,HER 2 POSITIVE BREAST CANCER,6
2012q4,METHICILLIN RESISTANT STAPHYLOCOCCAL AUREUS INFECTION,4
2012q4,ACID REFLUX,2
2012q4,DISBACTERIOSIS,2
2012q4,HELICOBACTER PYLORI PROPHYLAXIS,1
2012q4,ATRIAL FILBRILLATION,1
2012q4,CARDIAC CATH,1
2012q4,LLT,1
2012q4,HER 2 POSITIVE GASTRIC CANCER,1
2012q4,STAGE IV NON SMALL CELL,1
2012q4,EXUDATIVE SENILE MACULAR DEGENERATIVE OF RETINA,1
2012q4,STROKE PREVENTION,1
2012q4,ACUTE ISCHEMIC STROKE,1
2012q4,CORONARY ARTERY DISEASE HYPERTENSION,1
2012q4,INHALATION,1
2012q4,DRUG KNOWN FOR UNKNOWN INDICATION,1
2012q4,BLODD PRESSURE,1
2012q4,DEPRESSION NEC,1
2012q4,HEADACHE PROPHYLAXIS,1
2012q4,INR INCREAESD,1
2012q4,DRUG USED FOR UNKNOWN INDICATION,1
2012q4,DRUG USE UNKNOWN INDICATION,1
2012q4,BACTERIAL PNEUMONIA,1
2012q4,OSTEOMYLITIS,1
2012q4,METHICILLIN RESISTANT STAPHYLOCOCCAL AUREUS SEPSIS,1
2012q4,INTERVERTEBRAL DISKITIS,1
2012q4,HUNTINGTONS DISEASE,1
2013q2,HER 2 POSITIVE BREAST CANCER,8
2013q3,HER 2 POSITIVE BREAST CANCER,21
2013q3,DISBACTERIOSIS,6
2013q3,HER 2 POSITIVE GASTRIC CANCER,2
2013q3,PARAINFLUENZAE VIRUS INFECTION,1
2013q4,HER 2 POSITIVE BREAST CANCER,20
2013q4,HER 2 POSITIVE GASTRIC CANCER,4
2014q1,HER 2 POSITIVE BREAST CANCER,8
2014q1,HER 2 POSITIVE GASTRIC CANCER,8
2014q2,HER 2 POSITIVE BREAST CANCER,19
2014q2,HER 2 POSITIVE GASTRIC CANCER,7
2014q3,HER 2 POSITIVE BREAST CANCER,25
2014q3,HER 2 POSITIVE GASTRIC CANCER,9
2014q4,HER 2 POSITIVE BREAST CANCER,30
2014q4,HER 2 POSITIVE GASTRIC CANCER,5
2015q1,HER 2 POSITIVE BREAST CANCER,25
2015q1,HER 2 POSITIVE GASTRIC CANCER,9
2015q1,PARAINFLUENZAE VIRUS INFECTION,1
2015q2,HER 2 POSITIVE BREAST CANCER,28
2015q2,HER 2 POSITIVE GASTRIC CANCER,8
2015q3,HER 2 POSITIVE BREAST CANCER,43
2015q3,HER 2 POSITIVE GASTRIC CANCER,5
2015q3,AEROMONA INFECTION,1
2015q4,HER 2 POSITIVE BREAST CANCER,41
