dataset,metric,value,column,n_rows,missing_n,blank_n,missing_or_blank_rate
ml_feature_v2_2004_2025,n_rows,4155023.0,,,,,
ml_feature_v2_2004_2025,unique_caseid,4155023.0,,,,,
ml_feature_v2_2004_2025,duplicate_caseid_rows,0.0,,,,,
ml_feature_v2_2004_2025,,,caseid,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_zolpidem_any,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_zolpidem_suspect,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_zolpidem_suspect_ps,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_other_zdrug_suspect,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_other_zdrug_suspect_ps,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,suspect_role_any,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,suspect_role_any_ps,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,target_drug_group,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,target_drug_group_ps,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,age_group,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,sex_clean,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,reporter_country,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,occr_country,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,year,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,quarter,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,serious,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_fall,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_zolpidem,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_zaleplon,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_zopiclone,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_eszopiclone,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_benzo,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_antidepressant,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_antipsychotic,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_opioid,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,is_antiepileptic,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,drug_n,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,distinct_drug_n,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,polypharmacy_5,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,polypharmacy,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,dataset_period,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,age_years,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,rept_cod,4155023.0,0.0,0.0,0.0
ml_feature_v2_2004_2025,,,e_sub,4155023.0,0.0,0.0,0.0
