dataset,metric,value,column,n_rows,missing_n,blank_n,missing_or_blank_rate
rpsr_v2_2004q1,n_rows,10294.0,,,,,
rpsr_v2_2004q1,unique_caseid,10294.0,,,,,
rpsr_v2_2004q1,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2004q1,,,caseid,10294.0,0.0,0.0,0.0
rpsr_v2_2004q1,,,rpsr_cod,10294.0,0.0,0.0,0.0
rpsr_v2_2004q1,,,has_rpsr,10294.0,0.0,0.0,0.0
rpsr_v2_2004q2,n_rows,9043.0,,,,,
rpsr_v2_2004q2,unique_caseid,9043.0,,,,,
rpsr_v2_2004q2,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2004q2,,,caseid,9043.0,0.0,0.0,0.0
rpsr_v2_2004q2,,,rpsr_cod,9043.0,0.0,0.0,0.0
rpsr_v2_2004q2,,,has_rpsr,9043.0,0.0,0.0,0.0
rpsr_v2_2004q3,n_rows,13506.0,,,,,
rpsr_v2_2004q3,unique_caseid,13506.0,,,,,
rpsr_v2_2004q3,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2004q3,,,caseid,13506.0,0.0,0.0,0.0
rpsr_v2_2004q3,,,rpsr_cod,13506.0,0.0,0.0,0.0
rpsr_v2_2004q3,,,has_rpsr,13506.0,0.0,0.0,0.0
rpsr_v2_2004q4,n_rows,8605.0,,,,,
rpsr_v2_2004q4,unique_caseid,8605.0,,,,,
rpsr_v2_2004q4,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2004q4,,,caseid,8605.0,0.0,0.0,0.0
rpsr_v2_2004q4,,,rpsr_cod,8605.0,0.0,0.0,0.0
rpsr_v2_2004q4,,,has_rpsr,8605.0,0.0,0.0,0.0
rpsr_v2_2005q1,n_rows,8621.0,,,,,
rpsr_v2_2005q1,unique_caseid,8621.0,,,,,
rpsr_v2_2005q1,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2005q1,,,caseid,8621.0,0.0,0.0,0.0
rpsr_v2_2005q1,,,rpsr_cod,8621.0,0.0,0.0,0.0
rpsr_v2_2005q1,,,has_rpsr,8621.0,0.0,0.0,0.0
rpsr_v2_2005q2,n_rows,9548.0,,,,,
rpsr_v2_2005q2,unique_caseid,9548.0,,,,,
rpsr_v2_2005q2,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2005q2,,,caseid,9548.0,0.0,0.0,0.0
rpsr_v2_2005q2,,,rpsr_cod,9548.0,0.0,0.0,0.0
rpsr_v2_2005q2,,,has_rpsr,9548.0,0.0,0.0,0.0
rpsr_v2_2005q3,n_rows,8830.0,,,,,
rpsr_v2_2005q3,unique_caseid,8830.0,,,,,
rpsr_v2_2005q3,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2005q3,,,caseid,8830.0,0.0,0.0,0.0
rpsr_v2_2005q3,,,rpsr_cod,8830.0,0.0,0.0,0.0
rpsr_v2_2005q3,,,has_rpsr,8830.0,0.0,0.0,0.0
rpsr_v2_2005q4,n_rows,7582.0,,,,,
rpsr_v2_2005q4,unique_caseid,7582.0,,,,,
rpsr_v2_2005q4,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2005q4,,,caseid,7582.0,0.0,0.0,0.0
rpsr_v2_2005q4,,,rpsr_cod,7582.0,0.0,0.0,0.0
rpsr_v2_2005q4,,,has_rpsr,7582.0,0.0,0.0,0.0
rpsr_v2_2006q1,n_rows,7684.0,,,,,
rpsr_v2_2006q1,unique_caseid,7684.0,,,,,
rpsr_v2_2006q1,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2006q1,,,caseid,7684.0,0.0,0.0,0.0
rpsr_v2_2006q1,,,rpsr_cod,7684.0,0.0,0.0,0.0
rpsr_v2_2006q1,,,has_rpsr,7684.0,0.0,0.0,0.0
rpsr_v2_2006q2,n_rows,7984.0,,,,,
rpsr_v2_2006q2,unique_caseid,7984.0,,,,,
rpsr_v2_2006q2,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2006q2,,,caseid,7984.0,0.0,0.0,0.0
rpsr_v2_2006q2,,,rpsr_cod,7984.0,0.0,0.0,0.0
rpsr_v2_2006q2,,,has_rpsr,7984.0,0.0,0.0,0.0
rpsr_v2_2006q3,n_rows,7496.0,,,,,
rpsr_v2_2006q3,unique_caseid,7496.0,,,,,
rpsr_v2_2006q3,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2006q3,,,caseid,7496.0,0.0,0.0,0.0
rpsr_v2_2006q3,,,rpsr_cod,7496.0,0.0,0.0,0.0
rpsr_v2_2006q3,,,has_rpsr,7496.0,0.0,0.0,0.0
rpsr_v2_2006q4,n_rows,6363.0,,,,,
rpsr_v2_2006q4,unique_caseid,6363.0,,,,,
rpsr_v2_2006q4,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2006q4,,,caseid,6363.0,0.0,0.0,0.0
rpsr_v2_2006q4,,,rpsr_cod,6363.0,0.0,0.0,0.0
rpsr_v2_2006q4,,,has_rpsr,6363.0,0.0,0.0,0.0
rpsr_v2_2007q1,n_rows,7834.0,,,,,
rpsr_v2_2007q1,unique_caseid,7834.0,,,,,
rpsr_v2_2007q1,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2007q1,,,caseid,7834.0,0.0,0.0,0.0
rpsr_v2_2007q1,,,rpsr_cod,7834.0,0.0,0.0,0.0
rpsr_v2_2007q1,,,has_rpsr,7834.0,0.0,0.0,0.0
rpsr_v2_2007q2,n_rows,5540.0,,,,,
rpsr_v2_2007q2,unique_caseid,5540.0,,,,,
rpsr_v2_2007q2,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2007q2,,,caseid,5540.0,0.0,0.0,0.0
rpsr_v2_2007q2,,,rpsr_cod,5540.0,0.0,0.0,0.0
rpsr_v2_2007q2,,,has_rpsr,5540.0,0.0,0.0,0.0
rpsr_v2_2007q3,n_rows,5266.0,,,,,
rpsr_v2_2007q3,unique_caseid,5266.0,,,,,
rpsr_v2_2007q3,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2007q3,,,caseid,5266.0,0.0,0.0,0.0
rpsr_v2_2007q3,,,rpsr_cod,5266.0,0.0,0.0,0.0
rpsr_v2_2007q3,,,has_rpsr,5266.0,0.0,0.0,0.0
rpsr_v2_2007q4,n_rows,5307.0,,,,,
rpsr_v2_2007q4,unique_caseid,5307.0,,,,,
rpsr_v2_2007q4,duplicate_caseid_rows,0.0,,,,,
rpsr_v2_2007q4,,,caseid,5307.0,0.0,0.0,0.0
rpsr_v2_2007q4,,,rpsr_cod,5307.0,0.0,0.0,0.0
rpsr_v2_2007q4,,,has_rpsr,5307.0,0.0,0.0,0.0
rpsr_v2_2008q1,n_rows,5321.0,,,,,
rpsr_v2_2008q1,unique_caseid,5321.0,,,,,
