dataset,metric,value,column,n_rows,missing_n,blank_n,missing_or_blank_rate
ther_v2_2004q1,n_rows,11396.0,,,,,
ther_v2_2004q1,unique_caseid,11396.0,,,,,
ther_v2_2004q1,duplicate_caseid_rows,0.0,,,,,
ther_v2_2004q1,,,caseid,11396.0,0.0,0.0,0.0
ther_v2_2004q1,,,therapy_record_n,11396.0,0.0,0.0,0.0
ther_v2_2004q1,,,has_start_dt,11396.0,0.0,0.0,0.0
ther_v2_2004q1,,,has_end_dt,11396.0,0.0,0.0,0.0
ther_v2_2004q1,,,duration_known,11396.0,0.0,0.0,0.0
ther_v2_2004q2,n_rows,10268.0,,,,,
ther_v2_2004q2,unique_caseid,10268.0,,,,,
ther_v2_2004q2,duplicate_caseid_rows,0.0,,,,,
ther_v2_2004q2,,,caseid,10268.0,0.0,0.0,0.0
ther_v2_2004q2,,,therapy_record_n,10268.0,0.0,0.0,0.0
ther_v2_2004q2,,,has_start_dt,10268.0,0.0,0.0,0.0
ther_v2_2004q2,,,has_end_dt,10268.0,0.0,0.0,0.0
ther_v2_2004q2,,,duration_known,10268.0,0.0,0.0,0.0
ther_v2_2004q3,n_rows,14243.0,,,,,
ther_v2_2004q3,unique_caseid,14243.0,,,,,
ther_v2_2004q3,duplicate_caseid_rows,0.0,,,,,
ther_v2_2004q3,,,caseid,14243.0,0.0,0.0,0.0
ther_v2_2004q3,,,therapy_record_n,14243.0,0.0,0.0,0.0
ther_v2_2004q3,,,has_start_dt,14243.0,0.0,0.0,0.0
ther_v2_2004q3,,,has_end_dt,14243.0,0.0,0.0,0.0
ther_v2_2004q3,,,duration_known,14243.0,0.0,0.0,0.0
ther_v2_2004q4,n_rows,11799.0,,,,,
ther_v2_2004q4,unique_caseid,11799.0,,,,,
ther_v2_2004q4,duplicate_caseid_rows,0.0,,,,,
ther_v2_2004q4,,,caseid,11799.0,0.0,0.0,0.0
ther_v2_2004q4,,,therapy_record_n,11799.0,0.0,0.0,0.0
ther_v2_2004q4,,,has_start_dt,11799.0,0.0,0.0,0.0
ther_v2_2004q4,,,has_end_dt,11799.0,0.0,0.0,0.0
ther_v2_2004q4,,,duration_known,11799.0,0.0,0.0,0.0
ther_v2_2005q1,n_rows,11621.0,,,,,
ther_v2_2005q1,unique_caseid,11621.0,,,,,
ther_v2_2005q1,duplicate_caseid_rows,0.0,,,,,
ther_v2_2005q1,,,caseid,11621.0,0.0,0.0,0.0
ther_v2_2005q1,,,therapy_record_n,11621.0,0.0,0.0,0.0
ther_v2_2005q1,,,has_start_dt,11621.0,0.0,0.0,0.0
ther_v2_2005q1,,,has_end_dt,11621.0,0.0,0.0,0.0
ther_v2_2005q1,,,duration_known,11621.0,0.0,0.0,0.0
ther_v2_2005q2,n_rows,13153.0,,,,,
ther_v2_2005q2,unique_caseid,13153.0,,,,,
ther_v2_2005q2,duplicate_caseid_rows,0.0,,,,,
ther_v2_2005q2,,,caseid,13153.0,0.0,0.0,0.0
ther_v2_2005q2,,,therapy_record_n,13153.0,0.0,0.0,0.0
ther_v2_2005q2,,,has_start_dt,13153.0,0.0,0.0,0.0
ther_v2_2005q2,,,has_end_dt,13153.0,0.0,0.0,0.0
ther_v2_2005q2,,,duration_known,13153.0,0.0,0.0,0.0
ther_v2_2005q3,n_rows,13013.0,,,,,
ther_v2_2005q3,unique_caseid,13013.0,,,,,
ther_v2_2005q3,duplicate_caseid_rows,0.0,,,,,
ther_v2_2005q3,,,caseid,13013.0,0.0,0.0,0.0
ther_v2_2005q3,,,therapy_record_n,13013.0,0.0,0.0,0.0
ther_v2_2005q3,,,has_start_dt,13013.0,0.0,0.0,0.0
ther_v2_2005q3,,,has_end_dt,13013.0,0.0,0.0,0.0
ther_v2_2005q3,,,duration_known,13013.0,0.0,0.0,0.0
ther_v2_2005q4,n_rows,12750.0,,,,,
ther_v2_2005q4,unique_caseid,12750.0,,,,,
ther_v2_2005q4,duplicate_caseid_rows,0.0,,,,,
ther_v2_2005q4,,,caseid,12750.0,0.0,0.0,0.0
ther_v2_2005q4,,,therapy_record_n,12750.0,0.0,0.0,0.0
ther_v2_2005q4,,,has_start_dt,12750.0,0.0,0.0,0.0
ther_v2_2005q4,,,has_end_dt,12750.0,0.0,0.0,0.0
ther_v2_2005q4,,,duration_known,12750.0,0.0,0.0,0.0
ther_v2_2006q1,n_rows,13527.0,,,,,
ther_v2_2006q1,unique_caseid,13527.0,,,,,
ther_v2_2006q1,duplicate_caseid_rows,0.0,,,,,
ther_v2_2006q1,,,caseid,13527.0,0.0,0.0,0.0
ther_v2_2006q1,,,therapy_record_n,13527.0,0.0,0.0,0.0
ther_v2_2006q1,,,has_start_dt,13527.0,0.0,0.0,0.0
ther_v2_2006q1,,,has_end_dt,13527.0,0.0,0.0,0.0
ther_v2_2006q1,,,duration_known,13527.0,0.0,0.0,0.0
ther_v2_2006q2,n_rows,13100.0,,,,,
