feature,coefficient,odds_ratio
bool__event_date_known,0.9103143425906663,2.4851035845183986
bool__indi_soc_nervous_system_disorders,0.8297568887497313,2.2927612764435814
categorical__rept_cod_EXP,0.5668239587911709,1.7626598714409405
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,0.5546348452300127,1.7413050228337834
bool__indi_soc_vascular_disorders,0.33858343151287523,1.402958795045839
bool__indi_soc_cardiac_disorders,0.3283833750432017,1.3887212713251993
bool__has_ss_drug,0.3154288040087392,1.370847009637317
bool__is_benzo,0.2890516158632413,1.3351606422190871
categorical__occr_country_CA,0.2793909331862845,1.3223241832443817
categorical__cns_coprescription_bucket_1,0.24591096707431645,1.27878571443973
categorical__reporter_country_CA,0.23722314784404433,1.2677239760866057
categorical__e_sub_N,0.2243500351480208,1.251509014910267
categorical__occr_country_AR,0.19684001793436517,1.2175492390816605
categorical__occr_country_US,0.19676103521803018,1.2174530775330863
bool__any_cns_coprescription,0.19652502435802363,1.2171657792893265
bool__indi_soc_psychiatric_disorders,0.17885235527012325,1.1958441710435503
categorical__sex_clean_F,0.17809072841880455,1.1949337307647823
categorical__reporter_country_AR,0.1759320086584616,1.1923569859435126
numeric__age_years,0.1748878890087017,1.1911126723041656
categorical__reporter_country_COUNTRY NOT SPECIFIED,0.16916763314163452,1.1843186533412629
bool__is_antidepressant,0.16503476633647232,1.1794341226021623
categorical__reporter_country_FRANCE,0.15552951195091172,1.1682764136746704
categorical__distinct_drug_n_bucket_0-1,0.15213688102143627,1.1643195987809825
categorical__occr_country_DE,0.14319677911952997,1.1539568539393983
categorical__reporter_country_DE,0.13218553246872705,1.1413200515517932
numeric__concomitant_drug_n,0.12269293454508377,1.1305372187179468
numeric__drug_n,0.10452905652780382,1.1101876515959317
categorical__distinct_drug_n_bucket_20+,0.10032213865403289,1.1055269936974543
bool__very_high_drug_burden_20,0.10032213865403289,1.1055269936974543
categorical__reporter_country_UNITED STATES,0.09800715010584439,1.1029706714373577
numeric__cns_coprescription_count,0.09405163712242988,1.098616473845891
categorical__age_group_>=85,0.09374353128923045,1.098278035841889
categorical__drug_n_bucket_3-4,0.09262215736865344,1.0970471457679525
categorical__quarter_Q1,0.09105203335987068,1.0953259972675011
numeric__log_drug_n,0.08965185594732203,1.0937934197373547
categorical__reporter_country_UNITED KINGDOM,0.08847689730042947,1.0925090124114303
categorical__rpsr_cod_unknown,0.08143266211052123,1.0848401642773153
categorical__rept_cod_DIR,0.07267980026312945,1.0753861434201355
bool__indi_soc_surgical_and_medical_procedures,0.07227587666491689,1.0749518572947292
categorical__occr_country_AU,0.07168165057262535,1.0743132826008301
categorical__quarter_Q2,0.06602614279609424,1.0682546439642833
bool__indi_insomnia,0.05773221605077572,1.0594312590354433
