feature,odds_ratio
bool__indi_soc_nervous_system_disorders,2.379953570648294
bool__event_date_known,1.9854022698667393
categorical__rept_cod_EXP,1.882238263475109
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,1.80587909654603
categorical__reporter_country_FRANCE,1.7091063584883852
bool__zolpidem_as_suspect,1.7008322506656557
numeric__log_drug_n,1.6578640230282666
categorical__occr_country_CA,1.6475721625399273
categorical__reporter_country_AR,1.5727912912976727
categorical__reporter_country_UNITED STATES,1.4865947696016508
bool__indi_insomnia,1.4596834976548985
categorical__occr_country_AR,1.454990631707786
bool__indi_soc_general_disorders_and_administration_site_conditions,1.4547042511344523
categorical__reporter_country_COUNTRY NOT SPECIFIED,1.439342604453596
categorical__occr_country_BR,1.4352346239420346
categorical__occr_country_DE,1.422274053348392
categorical__occr_country_AU,1.3886380268938532
categorical__reporter_country_CA,1.3673908392145444
categorical__reporter_country_AU,1.3480579665434023
bool__indi_soc_psychiatric_disorders,1.3397972870512227
bool__zolpidem_as_ps,1.3110367431779968
bool__indi_soc_renal_and_urinary_disorders,1.306730152354557
numeric__age_years,1.3066036851861142
categorical__occr_country_IL,1.2996864813714262
categorical__reporter_country_US,1.2945032928376572
bool__has_ss_drug,1.2888048951757907
categorical__reporter_country_IL,1.287002058857975
bool__indi_soc_cardiac_disorders,1.2781130740747153
categorical__reporter_country_CANADA,1.272971992526692
categorical__rpsr_cod_FGN|HP|SDY,1.2726926716429658
bool__is_antidepressant,1.2617851262820912
bool__indi_soc_vascular_disorders,1.2593833170446964
categorical__reporter_country_MEXICO,1.2136023316698015
categorical__rpsr_cod_CSM|HP,1.2036785850611762
categorical__reporter_country_BR,1.2019173798675926
categorical__occr_country_GB,1.1918896148885054
categorical__occr_country_IE,1.189392886609109
categorical__reporter_country_BRAZIL,1.1834794518126024
categorical__rept_cod_DIR,1.178811926909001
categorical__reporter_country_DE,1.1701701338647257
categorical__sex_clean_F,1.1589735652247857
bool__indi_soc_endocrine_disorders,1.1570784293356597
bool__other_zdrug_as_suspect,1.1551358752977559
categorical__occr_country_FR,1.1449418669042724
categorical__occr_country_US,1.139960572329452
categorical__e_sub_N,1.1376859151868934
categorical__rpsr_cod_FGN|HP|LIT,1.136601085741987
categorical__occr_country_TW,1.1355726189196205
categorical__reporter_country_IE,1.126631564454641
bool__indi_depression,1.121925243335657
categorical__occr_country_ZA,1.1141744022991606
categorical__rpsr_cod_HP|SDY,1.1139302931679114
categorical__drug_n_bucket_0-1,1.1111456607183547
bool__indi_soc_surgical_and_medical_procedures,1.1111284337803353
categorical__occr_country_CR,1.107504334315849
categorical__distinct_drug_n_bucket_2,1.1051573258247593
bool__indi_soc_reproductive_system_and_breast_disorders,1.1042880395184345
bool__is_antipsychotic,1.1039466208553255
numeric__cns_coprescription_count,1.1019204630182882
categorical__reporter_country_TW,1.099875338959336
categorical__reporter_country_CO,1.095281181915753
"categorical__reporter_country_KOREA, REPUBLIC OF",1.0942475634812048
categorical__occr_country_MX,1.0932206252832428
categorical__reporter_country_BELGIUM,1.090420299815329
categorical__reporter_country_SWITZERLAND,1.0886541494588908
categorical__occr_country_NZ,1.08668742568687
bool__indi_soc_congenital_familial_and_genetic_disorders,1.0836892317344287
categorical__rpsr_cod_FGN|HP|OTH|SDY,1.0833603807472343
categorical__rpsr_cod_CSM|SDY,1.0823224933563278
categorical__occr_country_unknown,1.0817303120783772
categorical__reporter_country_CR,1.0766550600942268
bool__is_zolpidem,1.0763709982874214
categorical__distinct_drug_n_bucket_0-1,1.0758323321215213
categorical__occr_country_BE,1.0722285879588354
