feature,coefficient,odds_ratio
bool__pheno_gait_balance_motor,0.9816806869328856,2.668938123983774
bool__pheno_dizziness_vertigo_syncope,0.9617566810646822,2.6162884232794896
bool__event_date_known,0.9263900921339062,2.5253763272928422
bool__pheno_consciousness_cognition,0.8454754659099414,2.3290849518423205
bool__indi_soc_nervous_system_disorders,0.7483483250110203,2.1135063066644815
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,0.5812576591097958,1.788286071339524
categorical__rept_cod_EXP,0.5541394586331436,1.74044261729412
bool__pheno_hypotension,0.432378745173215,1.5409186201440006
bool__indi_soc_cardiac_disorders,0.37738633674334726,1.4584676601887734
bool__indi_soc_vascular_disorders,0.32093774775212686,1.3784197684936728
bool__is_benzo,0.3046568966145737,1.3561596202167094
bool__has_ss_drug,0.27837533299494693,1.32098191227157
categorical__occr_country_CA,0.26330084048477637,1.3012181191640266
bool__pheno_sedation_somnolence,0.23773926720618793,1.2683784418532167
categorical__occr_country_US,0.2225566883738941,1.2492666365375724
categorical__reporter_country_CA,0.2207541703474656,1.2470168391647038
categorical__cns_coprescription_bucket_1,0.216833013696517,1.242136665008556
categorical__occr_country_AR,0.21344774274522266,1.237938805294215
categorical__e_sub_N,0.21293429663946986,1.2373033535845395
categorical__reporter_country_AR,0.19095119284512582,1.2104003744410703
bool__any_cns_coprescription,0.1866998543462421,1.2052654755607541
numeric__age_years,0.17951688993942327,1.196639115058964
categorical__reporter_country_COUNTRY NOT SPECIFIED,0.17926110518825292,1.1963330721628995
bool__is_antidepressant,0.17164163912393923,1.187252292198297
categorical__sex_clean_F,0.1709745781656116,1.18646058663378
categorical__reporter_country_FRANCE,0.16532571183936867,1.1797773235800655
categorical__distinct_drug_n_bucket_0-1,0.16427655802264463,1.1785402047755817
categorical__occr_country_DE,0.1520514425998335,1.1642201254017062
bool__indi_soc_psychiatric_disorders,0.14249487948361003,1.153147176233236
categorical__reporter_country_DE,0.13898733349798933,1.1491095447130644
categorical__distinct_drug_n_bucket_20+,0.11121434508475325,1.1176344406309975
bool__very_high_drug_burden_20,0.11121434508475325,1.1176344406309975
categorical__rpsr_cod_unknown,0.10551407081319325,1.111281741050626
categorical__quarter_Q1,0.09972056783604101,1.1048621409176091
categorical__reporter_country_UNITED KINGDOM,0.09329434360192186,1.0977848136539075
numeric__cns_coprescription_count,0.0931252571352087,1.097599208790633
categorical__age_group_>=85,0.09083916380525116,1.0950928605250374
numeric__concomitant_drug_n,0.0907116205485971,1.094953197721981
categorical__drug_n_bucket_3-4,0.08839056683314736,1.092414699668969
categorical__reporter_country_UNITED STATES,0.08706228613459663,1.0909646295718467
bool__indi_soc_surgical_and_medical_procedures,0.08354387591510748,1.087132913197885
numeric__log_drug_n,0.07726863527894594,1.0803322527711265
categorical__occr_country_AU,0.07023394149890225,1.0727591147764617
numeric__drug_n,0.06852689100348382,1.0709294229306172
categorical__rept_cod_DIR,0.06674712759704375,1.0690251170424392
categorical__rpsr_cod_FGN|HP|OTH,0.06390088190984437,1.0659867349556944
categorical__quarter_Q2,0.06386541993922058,1.0659489336356727
bool__is_zopiclone,0.06298114808559355,1.065006761625743
"categorical__reporter_country_KOREA, REPUBLIC OF",0.05926030031794941,1.061051396812794
numeric__distinct_drug_n,0.05760824319972783,1.0592999264627763
categorical__reporter_country_AU,0.05501633308333872,1.0565578713823318
categorical__reporter_country_CO,0.054067338453880086,1.0555556792493674
categorical__rpsr_cod_CSM|HP|OTH,0.05166372743725895,1.0530215807036876
categorical__reporter_country_unknown,0.05145776465433366,1.0528047197818515
categorical__reporter_country_BRAZIL,0.050955286958841745,1.0522758417782805
categorical__occr_country_GB,0.04544073359826376,1.046488981139644
categorical__occr_country_CO,0.04503946945089099,1.0460691468687457
bool__is_other_zdrug,0.0396160880369924,1.040411271176849
