feature,importance
categorical__rept_cod_PER,0.06431113381098753
categorical__rept_cod_EXP,0.061943391737460836
numeric__age_years,0.055428045740841266
bool__indi_soc_nervous_system_disorders,0.03824880168314718
numeric__year,0.03129253616108942
categorical__age_group_65-74,0.02724464378363889
bool__event_date_known,0.02678407460706487
numeric__log_drug_n,0.02459929013405848
numeric__drug_n,0.02343797720491536
numeric__therapy_record_n,0.02268634484837622
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,0.021216396981425682
numeric__concomitant_drug_n,0.02112578679067729
numeric__distinct_drug_n,0.020567602139600266
numeric__log_distinct_drug_n,0.02010513246245791
numeric__ss_drug_n,0.019592557710782145
numeric__cns_coprescription_count,0.018166664321385976
bool__indi_soc_neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,0.018032467299751026
categorical__sex_clean_F,0.016076063757558347
categorical__age_group_>=85,0.014348948279344525
numeric__distinct_indi_n,0.013954774816940076
numeric__indi_mapped_n,0.013941519756230043
categorical__sex_clean_M,0.013920991770031158
bool__has_end_dt,0.013711570033205224
bool__any_cns_coprescription,0.01332159105810397
numeric__indi_n,0.013303569807086815
bool__indi_soc_infections_and_infestations,0.012793429175191212
categorical__cns_coprescription_bucket_0,0.012226230718985957
categorical__reporter_country_US,0.010289530608811596
categorical__occr_country_US,0.01008587803610227
bool__has_ss_drug,0.009729771193920786
categorical__age_group_75-84,0.00925762013299049
bool__is_antidepressant,0.008839233590880506
bool__has_start_dt,0.008736396934898905
bool__indi_soc_gastrointestinal_disorders,0.00838240671128328
categorical__occr_country_CA,0.0077320585906626126
bool__indi_soc_surgical_and_medical_procedures,0.007166263746464118
categorical__reporter_country_CA,0.006488126963660679
bool__indi_soc_psychiatric_disorders,0.006090104159572323
categorical__quarter_Q4,0.0060874576748282325
categorical__quarter_Q2,0.006027748637399854
categorical__quarter_Q1,0.006023863689438394
categorical__quarter_Q3,0.005953162573290446
categorical__drug_n_bucket_0-1,0.00592585954004349
bool__polypharmacy_5,0.005478465340875677
bool__indi_soc_cardiac_disorders,0.005399086906579531
categorical__cns_coprescription_bucket_1,0.005200605086821563
bool__duration_known,0.005185181088145762
categorical__occr_country_unknown,0.005102031938766271
bool__indi_soc_metabolism_and_nutrition_disorders,0.004841353452095616
categorical__distinct_drug_n_bucket_0-1,0.0048022511929572635
categorical__reporter_country_UNITED STATES,0.004431408366373284
categorical__reporter_country_IT,0.004251943063316483
bool__indi_soc_vascular_disorders,0.0041518417726134835
categorical__occr_country_IT,0.004147241310477552
categorical__rept_cod_DIR,0.004066252353695103
bool__indi_soc_respiratory_thoracic_and_mediastinal_disorders,0.003962581197074478
categorical__occr_country_JP,0.003922878822196291
categorical__reporter_country_JP,0.003894119598083719
bool__indi_insomnia,0.003772971364987506
categorical__e_sub_Y,0.003744994862329013
categorical__e_sub_N,0.003735468858148064
categorical__drug_n_bucket_5-9,0.0037059875147057303
bool__is_antiepileptic,0.0036939968761896457
bool__is_benzo,0.003516203725478976
bool__indi_soc_investigations,0.0034723414629644826
bool__high_drug_burden_10,0.00339306143944369
bool__is_opioid,0.0033796347642693425
categorical__distinct_drug_n_bucket_3-4,0.0032896976118113167
categorical__occr_country_FR,0.003253240772748899
categorical__cns_coprescription_bucket_2,0.0032020645251316527
categorical__drug_n_bucket_10-19,0.003184714445175653
categorical__reporter_country_FR,0.003162130733307123
bool__indi_pain,0.0031487928318495455
categorical__distinct_drug_n_bucket_5-9,0.003115434663378905
bool__has_rpsr,0.0030367439389447225
categorical__drug_n_bucket_3-4,0.002998768170235601
categorical__occr_country_GB,0.0029256571749607906
categorical__occr_country_DE,0.00290078365214302
categorical__rpsr_cod_unknown,0.002893202890000015
categorical__reporter_country_GB,0.002852957444581653
categorical__distinct_drug_n_bucket_2,0.002851731509010598
categorical__drug_n_bucket_2,0.002709554863541102
bool__indi_soc_general_disorders_and_administration_site_conditions,0.002536193867703246
bool__indi_depression,0.002520568811730757
categorical__distinct_drug_n_bucket_10-19,0.0024847821829124925
categorical__reporter_country_CN,0.0024311991506103664
categorical__reporter_country_DE,0.002409184464833239
categorical__rpsr_cod_HP,0.002407314137906152
categorical__reporter_country_COUNTRY NOT SPECIFIED,0.002398882319233201
categorical__cns_coprescription_bucket_3+,0.002112183696876643
bool__indi_soc_skin_and_subcutaneous_tissue_disorders,0.0021034046203959903
bool__is_antipsychotic,0.001999034936469474
categorical__reporter_country_AR,0.0017488450071019316
bool__indi_soc_blood_and_lymphatic_system_disorders,0.0017445159755964208
numeric__interacting_drug_n,0.0016970510364544148
categorical__occr_country_CN,0.0016493257611460074
categorical__rpsr_cod_CSM,0.0016343963968885246
categorical__reporter_country_FRANCE,0.0016245510712131603
categorical__drug_n_bucket_20+,0.0016141196899830974
numeric__zdrug_count,0.0015691638220731263
categorical__reporter_country_ES,0.0015571396180842968
categorical__occr_country_ES,0.001529159200273988
categorical__reporter_country_unknown,0.0014824717989879474
bool__indi_soc_endocrine_disorders,0.0014647650117556646
bool__indi_soc_eye_disorders,0.0014276176109165612
categorical__occr_country_BR,0.001425974950101184
bool__is_zolpidem,0.0012816233461205853
bool__indi_soc_renal_and_urinary_disorders,0.0012414863267803992
categorical__occr_country_AR,0.0012111931760255628
bool__very_high_drug_burden_20,0.001191447789631568
categorical__reporter_country_JAPAN,0.0011246721058077143
categorical__reporter_country_AU,0.0010452910583636787
categorical__occr_country_NL,0.0010346327603498499
categorical__occr_country_AU,0.00102947029553811
categorical__reporter_country_NL,0.0010233997567629378
bool__indi_anxiety,0.0009138627072491926
bool__indi_soc_immune_system_disorders,0.0009069261427016348
categorical__distinct_drug_n_bucket_20+,0.0008955737809029169
bool__indi_soc_reproductive_system_and_breast_disorders,0.0008500847447571115
categorical__reporter_country_BR,0.0008337891337583973
bool__indi_epilepsy,0.0008183245122728148
categorical__reporter_country_UNITED KINGDOM,0.0006561548101603273
bool__zolpidem_as_suspect,0.0006541751778539518
categorical__reporter_country_GERMANY,0.00055386787661603
bool__is_other_zdrug,0.0005318948832596924
bool__indi_soc_injury_poisoning_and_procedural_complications,0.0005050654800035804
bool__is_zopiclone,0.0004939884450346835
categorical__rpsr_cod_FGN|HP,0.00045769431226739274
categorical__rpsr_cod_CSM|HP,0.0004118941499456042
categorical__reporter_country_CO,0.0004099021830518439
categorical__reporter_country_SE,0.0004041315236278554
bool__indi_soc_congenital_familial_and_genetic_disorders,0.000403343439381341
categorical__occr_country_SE,0.0004014916530374163
categorical__occr_country_CO,0.0003764167311709678
categorical__rpsr_cod_FGN|HP|OTH,0.00035173547703435824
categorical__reporter_country_PT,0.0003400446030671436
categorical__occr_country_PL,0.00028603535697881394
categorical__occr_country_TW,0.0002841825167851294
categorical__occr_country_IL,0.00027488678171232335
categorical__reporter_country_IN,0.00026935827184018305
categorical__rpsr_cod_HP|OTH,0.0002686111186563713
categorical__reporter_country_IL,0.00026706773851845327
categorical__occr_country_PT,0.0002632560411127513
categorical__reporter_country_CANADA,0.00026110038243985713
categorical__reporter_country_PL,0.00025173411749490377
categorical__occr_country_IN,0.0002373736858398966
categorical__reporter_country_BRAZIL,0.00023403907465156316
categorical__rpsr_cod_FGN|HP|SDY,0.00023344500406065875
categorical__rpsr_cod_HP|SDY,0.00023293787533363642
categorical__reporter_country_CH,0.0002238236186005606
categorical__occr_country_CH,0.00021285652733236932
categorical__reporter_country_TW,0.00020763546396919486
bool__zolpidem_as_ps,0.00019600412173724415
categorical__occr_country_MX,0.00019585922243355077
categorical__occr_country_IE,0.00019439188372890698
categorical__reporter_country_ITALY,0.00017248369544680197
categorical__occr_country_BE,0.0001715548681960234
categorical__reporter_country_GR,0.00016407580899983486
categorical__rpsr_cod_FGN|HP|LIT,0.00016309230011576407
bool__indi_soc_hepatobiliary_disorders,0.00016222159225472494
categorical__occr_country_GR,0.00016158611127000237
bool__other_zdrug_as_suspect,0.00016088928854035106
categorical__reporter_country_KR,0.0001430511845158621
categorical__reporter_country_SWITZERLAND,0.00014036177020154342
categorical__reporter_country_BE,0.0001395176093793845
categorical__rept_cod_30DAY,0.0001359017040447872
categorical__reporter_country_AUSTRALIA,0.00013508909376969534
categorical__rpsr_cod_HP|LIT,0.00013341975660482972
categorical__reporter_country_DK,0.0001319075495231328
categorical__occr_country_KR,0.00013130059966645944
categorical__reporter_country_MX,0.00012838993098170383
categorical__reporter_country_IE,0.00012386573678028757
categorical__rpsr_cod_CR|HP,0.00012117836391763894
categorical__reporter_country_AT,0.00011989980960926195
categorical__reporter_country_SPAIN,0.00011670460087735132
categorical__occr_country_AT,0.00011536389940320947
categorical__rpsr_cod_CSM|HP|OTH,0.00011535034996448838
categorical__rpsr_cod_FGN|HP|OTH|SDY,9.34970035008821e-05
bool__indi_dizziness_vertigo,8.982652082371848e-05
categorical__occr_country_DK,8.183591129091548e-05
bool__is_eszopiclone,7.566389697267185e-05
categorical__occr_country_TR,7.537824504797124e-05
categorical__reporter_country_SG,6.969911379936771e-05
categorical__reporter_country_PE,6.941659419210807e-05
categorical__reporter_country_TR,6.878642941324086e-05
categorical__rpsr_cod_CSM|SDY,6.650690623249679e-05
categorical__reporter_country_MEXICO,6.546413020132731e-05
categorical__occr_country_RO,6.227080840267561e-05
categorical__occr_country_SG,5.880822204722461e-05
categorical__rpsr_cod_CSM|OTH,5.360259821533455e-05
categorical__occr_country_PE,4.824698534522634e-05
categorical__reporter_country_RO,4.7251083906079464e-05
categorical__occr_country_CZ,4.692589770882597e-05
categorical__occr_country_RU,4.6672489861689586e-05
categorical__reporter_country_NETHERLANDS,4.4200250437059156e-05
categorical__occr_country_MY,4.282011805942313e-05
categorical__rpsr_cod_OTH,4.19997222761541e-05
categorical__occr_country_SI,4.04177131919824e-05
categorical__reporter_country_CZ,3.932641403042403e-05
categorical__occr_country_CR,3.906346030838297e-05
categorical__occr_country_NZ,3.778037056456014e-05
categorical__reporter_country_ZA,3.7437111292768235e-05
categorical__reporter_country_RU,3.689654760908438e-05
categorical__reporter_country_CL,3.4208988256851755e-05
categorical__reporter_country_NO,3.203120909502072e-05
categorical__occr_country_ZA,3.148752506910646e-05
bool__indi_soc_ear_and_labyrinth_disorders,3.1384995894720345e-05
bool__indi_soc_social_circumstances,3.092647622733718e-05
"categorical__reporter_country_KOREA, REPUBLIC OF",3.0894016685344335e-05
categorical__reporter_country_DENMARK,3.0088069076483907e-05
categorical__occr_country_VE,2.9022736005343393e-05
categorical__reporter_country_SWEDEN,2.7188788256632514e-05
categorical__reporter_country_SI,2.6711319182595158e-05
categorical__occr_country_NO,2.490137939801054e-05
categorical__rpsr_cod_CSM|FGN,2.3631018486136102e-05
categorical__occr_country_FI,2.334400584908648e-05
categorical__occr_country_PK,2.2818561024249007e-05
categorical__occr_country_TH,2.255432522049917e-05
categorical__reporter_country_MY,2.194683834620213e-05
categorical__rpsr_cod_FGN|HP|LIT|OTH,2.0891868379695764e-05
categorical__rpsr_cod_CR|FGN|HP,2.048591720545333e-05
categorical__reporter_country_VENEZUELA,1.9973761783924275e-05
categorical__rpsr_cod_CSM|HP|SDY,1.9508118876347653e-05
categorical__occr_country_HR,1.858233413701069e-05
categorical__reporter_country_HR,1.8436377356812438e-05
categorical__reporter_country_BELGIUM,1.8104245201254732e-05
categorical__occr_country_PR,1.7902096822223757e-05
categorical__occr_country_HU,1.7323316984298625e-05
categorical__rpsr_cod_FGN|OTH,1.4728099819818332e-05
categorical__reporter_country_NZ,1.4378059125679655e-05
categorical__rpsr_cod_CR|FGN|HP|OTH,1.4112439460643787e-05
categorical__reporter_country_PK,1.2774213223630082e-05
categorical__reporter_country_HU,1.2734758026351185e-05
categorical__reporter_country_ARGENTINA,1.2490738653502132e-05
categorical__occr_country_EG,1.1769815354163264e-05
categorical__rpsr_cod_FGN,1.1146201835680998e-05
categorical__reporter_country_TH,1.0784996064241034e-05
categorical__reporter_country_INDIA,9.78202719076779e-06
categorical__reporter_country_FI,9.750460093663187e-06
categorical__reporter_country_VE,9.208387457066492e-06
categorical__occr_country_CL,9.150039884225455e-06
categorical__occr_country_HN,8.837075724657288e-06
categorical__occr_country_PH,8.44592833992524e-06
categorical__reporter_country_PR,8.43131067260923e-06
categorical__reporter_country_EC,8.145431381112142e-06
categorical__reporter_country_SINGAPORE,7.665723956057365e-06
categorical__reporter_country_CHINA,7.360025552928285e-06
categorical__rpsr_cod_HP|UF,7.283914360879336e-06
"categorical__reporter_country_TAIWAN, PROVINCE OF CHINA",6.6526258647332665e-06
categorical__rpsr_cod_FGN|LIT,6.619665906276275e-06
numeric__indi_unmapped_n,6.608084821862362e-06
categorical__reporter_country_EG,6.0483327352059205e-06
categorical__reporter_country_CR,5.819026309081192e-06
categorical__reporter_country_AUSTRIA,4.997295320805648e-06
categorical__reporter_country_COLOMBIA,4.808113689392303e-06
categorical__occr_country_SK,4.496284195465388e-06
categorical__reporter_country_SK,4.2356427858565166e-06
categorical__reporter_country_BG,3.9527334065047145e-06
categorical__rpsr_cod_CSM|FGN|OTH,3.946664756175412e-06
categorical__reporter_country_POLAND,3.70289238356836e-06
categorical__occr_country_EC,3.669988701544367e-06
bool__multiple_zdrug,3.615464011447484e-06
