feature,importance
categorical__rept_cod_PER,0.062412824764402595
bool__pheno_gait_balance_motor,0.0615956467420154
categorical__rept_cod_EXP,0.04983012842845533
bool__pheno_consciousness_cognition,0.04716618328183327
numeric__age_years,0.04711624018665013
bool__pheno_dizziness_vertigo_syncope,0.04667985749535836
bool__indi_soc_nervous_system_disorders,0.031216926406501387
numeric__year,0.024936785382117146
bool__event_date_known,0.02321086229222922
categorical__age_group_65-74,0.022222242803585944
numeric__drug_n,0.01951936952357281
numeric__log_drug_n,0.019086683923992112
numeric__therapy_record_n,0.018320502320889803
numeric__concomitant_drug_n,0.01746255863172939
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,0.017399379820881345
numeric__distinct_drug_n,0.0170089731791796
numeric__log_distinct_drug_n,0.016404197595417277
numeric__ss_drug_n,0.014582796068986343
bool__indi_soc_neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,0.014559305708047945
categorical__sex_clean_M,0.013733482385766091
categorical__age_group_>=85,0.013370412490146286
categorical__sex_clean_F,0.013071329183559353
numeric__cns_coprescription_count,0.012838496160971219
bool__has_end_dt,0.012648083163454121
categorical__cns_coprescription_bucket_0,0.011737804472241981
numeric__indi_mapped_n,0.011505323948900184
numeric__distinct_indi_n,0.011345715533275175
numeric__indi_n,0.011294664572197936
bool__pheno_hypotension,0.010954496414532548
bool__indi_soc_infections_and_infestations,0.010663728104444633
bool__is_antidepressant,0.010360857547320825
bool__any_cns_coprescription,0.010309755910642069
categorical__occr_country_US,0.008325753282620932
bool__has_ss_drug,0.008141372758958815
categorical__reporter_country_US,0.008075824352459819
bool__has_start_dt,0.007257923676419693
categorical__age_group_75-84,0.007249662795980783
bool__indi_soc_gastrointestinal_disorders,0.006889602127584308
categorical__occr_country_CA,0.005983628756366071
bool__indi_soc_surgical_and_medical_procedures,0.005975374652447597
bool__indi_soc_psychiatric_disorders,0.0059111600148160585
categorical__quarter_Q1,0.004890190171448559
categorical__quarter_Q3,0.004836813484414634
categorical__quarter_Q4,0.004792093624573371
bool__polypharmacy_5,0.004750257257768562
categorical__quarter_Q2,0.004734395022954271
bool__indi_soc_cardiac_disorders,0.0046165478327135105
categorical__reporter_country_CA,0.0045464785936699895
categorical__cns_coprescription_bucket_1,0.004459928336489879
bool__duration_known,0.0043577844306426855
categorical__occr_country_unknown,0.0041339285330220495
categorical__distinct_drug_n_bucket_0-1,0.003923644190770995
bool__indi_soc_metabolism_and_nutrition_disorders,0.0038204233332158432
categorical__reporter_country_UNITED STATES,0.003801816872809727
bool__pheno_sedation_somnolence,0.0037822373884156004
categorical__occr_country_IT,0.003609897837270766
categorical__drug_n_bucket_0-1,0.003595358922571237
categorical__e_sub_N,0.0033514397434275863
categorical__reporter_country_IT,0.0033028359646678574
bool__indi_soc_vascular_disorders,0.003260220713712887
categorical__rept_cod_DIR,0.0032308423585673068
bool__high_drug_burden_10,0.0031572883529606475
bool__indi_soc_respiratory_thoracic_and_mediastinal_disorders,0.003142056381252713
categorical__occr_country_JP,0.003108956748146804
categorical__reporter_country_JP,0.00293376273834083
categorical__drug_n_bucket_5-9,0.002920078226436158
categorical__e_sub_Y,0.0028579472075613383
categorical__drug_n_bucket_10-19,0.0027572929094997023
bool__indi_insomnia,0.0027250249254950815
bool__indi_pain,0.0027094434458263044
categorical__distinct_drug_n_bucket_10-19,0.0026137887493506745
categorical__drug_n_bucket_3-4,0.0026095643117199363
bool__is_antiepileptic,0.0025992540325955288
categorical__occr_country_FR,0.0025925839356085003
categorical__distinct_drug_n_bucket_3-4,0.0025910837055922887
categorical__distinct_drug_n_bucket_5-9,0.002560140592017285
bool__indi_soc_investigations,0.0025548718752484256
bool__is_opioid,0.0025253028188668564
bool__has_rpsr,0.0024934391480967797
categorical__occr_country_DE,0.002480446269454033
categorical__rpsr_cod_unknown,0.0024406367432393216
bool__is_benzo,0.00243964348020108
categorical__reporter_country_FR,0.0024350789690005506
categorical__drug_n_bucket_2,0.002404376296830369
categorical__distinct_drug_n_bucket_2,0.0023831224833895308
categorical__reporter_country_GB,0.0022681867043877315
categorical__occr_country_GB,0.0022598716534708327
categorical__cns_coprescription_bucket_2,0.0022037890933133382
bool__indi_soc_general_disorders_and_administration_site_conditions,0.0020308730612930734
categorical__reporter_country_COUNTRY NOT SPECIFIED,0.0020213201116352345
bool__is_antipsychotic,0.0019932734486605226
categorical__reporter_country_DE,0.001968331287118159
categorical__rpsr_cod_HP,0.0019190856180975454
bool__indi_depression,0.0018087008274882963
categorical__reporter_country_CN,0.0017903559678721502
categorical__occr_country_CN,0.0016913413979368326
