feature,importance
bool__is_opioid,0.10288742
categorical__cns_coprescription_bucket_0,0.08646831
categorical__reporter_country_FRANCE,0.055995658
bool__indi_depression,0.0498033
bool__indi_anxiety,0.049703494
categorical__reporter_country_AR,0.033796966
categorical__reporter_country_GB,0.030625476
bool__indi_insomnia,0.028412633
categorical__reporter_country_JP,0.027327003
bool__has_end_dt,0.02280185
bool__indi_soc_infections_and_infestations,0.019578539
categorical__rept_cod_DIR,0.01946643
bool__indi_soc_cardiac_disorders,0.019279685
bool__is_antipsychotic,0.01919899
categorical__distinct_drug_n_bucket_0-1,0.018113444
bool__indi_soc_investigations,0.017720763
numeric__distinct_drug_n,0.017310686
categorical__rpsr_cod_CSM,0.017051991
categorical__distinct_drug_n_bucket_2,0.016011283
categorical__rpsr_cod_unknown,0.015998403
bool__indi_soc_metabolism_and_nutrition_disorders,0.015745347
categorical__age_group_>=85,0.015743835
numeric__age_years,0.015107659
bool__indi_soc_psychiatric_disorders,0.014844092
bool__indi_soc_neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,0.014368187
categorical__rpsr_cod_HP,0.013716277
numeric__year,0.013426173
bool__indi_soc_gastrointestinal_disorders,0.012880854
categorical__drug_n_bucket_2,0.011968694
categorical__occr_country_US,0.011711589
categorical__quarter_Q4,0.010689063
bool__event_date_known,0.010598835
categorical__drug_n_bucket_3-4,0.009349937
bool__indi_soc_nervous_system_disorders,0.0091731055
categorical__rept_cod_EXP,0.009103362
numeric__drug_n,0.009094547
bool__duration_known,0.00872666
categorical__quarter_Q3,0.0085798865
numeric__therapy_record_n,0.008552055
bool__has_start_dt,0.008087055
numeric__ss_drug_n,0.008078131
categorical__rept_cod_PER,0.0074234135
bool__is_antidepressant,0.0072400835
bool__is_benzo,0.006773481
numeric__concomitant_drug_n,0.006723513
categorical__quarter_Q1,0.0067001744
numeric__indi_n,0.0064709005
categorical__cns_coprescription_bucket_2,0.006122956
categorical__occr_country_CA,0.0059573404
categorical__sex_clean_F,0.004681284
bool__indi_soc_surgical_and_medical_procedures,0.0036061069
categorical__distinct_drug_n_bucket_5-9,0.0034343107
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,0.0033714068
categorical__cns_coprescription_bucket_1,0.0031187653
categorical__age_group_75-84,0.0030033675
categorical__reporter_country_US,0.0028611834
categorical__quarter_Q2,0.0025890348
bool__indi_soc_respiratory_thoracic_and_mediastinal_disorders,0.001969813
categorical__drug_n_bucket_5-9,0.0017666225
categorical__reporter_country_IL,0.0017008664
categorical__occr_country_unknown,0.0014240153
bool__indi_soc_skin_and_subcutaneous_tissue_disorders,0.0013986306
categorical__distinct_drug_n_bucket_3-4,0.0011473439
categorical__reporter_country_COUNTRY NOT SPECIFIED,0.0010259491
numeric__cns_coprescription_count,0.00089362037
categorical__age_group_65-74,0.00074777886
categorical__drug_n_bucket_0-1,0.000640676
categorical__drug_n_bucket_10-19,0.000109625485
categorical__reporter_country_LT,0.0
categorical__reporter_country_JAPAN,0.0
categorical__reporter_country_BR,0.0
categorical__reporter_country_BG,0.0
categorical__reporter_country_BELGIUM,0.0
categorical__reporter_country_BE,0.0
categorical__reporter_country_AUSTRIA,0.0
categorical__reporter_country_AU,0.0
categorical__reporter_country_AT,0.0
categorical__reporter_country_CHINA,0.0
categorical__reporter_country_CO,0.0
categorical__reporter_country_CN,0.0
