feature,importance
categorical__rept_cod_PER,0.07080028
categorical__cns_coprescription_bucket_0,0.0494383
bool__indi_soc_nervous_system_disorders,0.027489064
categorical__rept_cod_EXP,0.022420643
categorical__occr_country_CA,0.017725948
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,0.017046744
bool__event_date_known,0.015710574
bool__indi_soc_infections_and_infestations,0.014757997
bool__indi_soc_neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,0.012029581
categorical__sex_clean_F,0.011246862
categorical__occr_country_IT,0.011219933
bool__has_end_dt,0.0106344195
bool__is_antidepressant,0.010564757
bool__indi_soc_psychiatric_disorders,0.010303476
categorical__occr_country_US,0.009989996
categorical__reporter_country_CN,0.009453967
categorical__reporter_country_UNITED STATES,0.008846451
bool__indi_soc_gastrointestinal_disorders,0.008489052
numeric__age_years,0.007783505
categorical__reporter_country_CA,0.007582466
categorical__age_group_65-74,0.0073672985
bool__has_start_dt,0.0069572073
categorical__occr_country_NL,0.006790803
categorical__occr_country_JP,0.0064861784
categorical__reporter_country_ES,0.0062874174
categorical__reporter_country_NL,0.0061363718
categorical__occr_country_DE,0.0059092557
numeric__drug_n,0.005849468
categorical__drug_n_bucket_0-1,0.0057903375
categorical__rept_cod_DIR,0.0057416786
categorical__e_sub_N,0.0057380316
categorical__reporter_country_FR,0.005689375
categorical__reporter_country_US,0.005656243
bool__zolpidem_as_suspect,0.0055576176
categorical__reporter_country_PT,0.0055175354
numeric__ss_drug_n,0.005472565
categorical__reporter_country_AR,0.0054690563
bool__indi_insomnia,0.005263683
categorical__occr_country_PL,0.004870598
categorical__occr_country_FR,0.004793935
categorical__occr_country_AR,0.0047806706
categorical__occr_country_BR,0.0047372254
bool__indi_soc_eye_disorders,0.004735312
categorical__occr_country_SE,0.004703157
bool__indi_soc_blood_and_lymphatic_system_disorders,0.004692869
categorical__occr_country_GB,0.004683311
categorical__reporter_country_IN,0.004660765
categorical__reporter_country_GB,0.0046300585
categorical__reporter_country_AU,0.004554228
bool__indi_soc_cardiac_disorders,0.0045238887
categorical__occr_country_CN,0.004326377
categorical__occr_country_AU,0.0043193134
numeric__cns_coprescription_count,0.004255379
categorical__reporter_country_IT,0.004203367
categorical__reporter_country_TW,0.004114159
bool__indi_pain,0.0040726825
numeric__indi_mapped_n,0.004045581
categorical__distinct_drug_n_bucket_0-1,0.0039934753
categorical__occr_country_IL,0.0039649946
categorical__cns_coprescription_bucket_3+,0.0039338404
categorical__rpsr_cod_CSM|HP|OTH,0.0039169895
categorical__reporter_country_MX,0.003879369
categorical__occr_country_ES,0.0037962522
categorical__reporter_country_JAPAN,0.0037853227
categorical__reporter_country_ITALY,0.0037696704
categorical__reporter_country_KR,0.0037084643
bool__duration_known,0.003657736
categorical__rept_cod_30DAY,0.0035903836
bool__is_zolpidem,0.0035869384
categorical__reporter_country_SG,0.0035535935
categorical__rpsr_cod_HP|SDY,0.003539807
categorical__reporter_country_RU,0.003530826
categorical__age_group_>=85,0.0035231663
numeric__year,0.003502163
categorical__reporter_country_TR,0.0035014877
bool__indi_soc_investigations,0.0034768146
bool__indi_soc_metabolism_and_nutrition_disorders,0.0034763159
categorical__occr_country_TR,0.0034413638
numeric__concomitant_drug_n,0.003393454
categorical__reporter_country_CZ,0.003382968
bool__is_zopiclone,0.0033818737
numeric__therapy_record_n,0.0033587555
categorical__occr_country_IN,0.0033313313
categorical__reporter_country_UNITED KINGDOM,0.0033205962
numeric__zdrug_count,0.0033002126
bool__is_eszopiclone,0.0032997655
categorical__reporter_country_IL,0.0032956125
categorical__occr_country_unknown,0.0032702938
categorical__reporter_country_FRANCE,0.003178958
numeric__distinct_drug_n,0.0031690656
categorical__rpsr_cod_HP,0.0031626052
categorical__rpsr_cod_FGN|HP|SDY,0.0031613263
categorical__rpsr_cod_FGN|HP|LIT,0.0031214517
bool__is_antipsychotic,0.003095935
categorical__reporter_country_DE,0.0030844219
categorical__reporter_country_SE,0.0030704306
bool__indi_soc_surgical_and_medical_procedures,0.0030623376
categorical__reporter_country_GERMANY,0.0030480449
bool__indi_soc_reproductive_system_and_breast_disorders,0.0030348995
bool__indi_epilepsy,0.0030308086
categorical__reporter_country_COUNTRY NOT SPECIFIED,0.0030141447
categorical__rpsr_cod_CSM|HP,0.0030108446
categorical__reporter_country_TH,0.003004729
bool__is_other_zdrug,0.0030002513
categorical__reporter_country_AUSTRIA,0.0029640323
categorical__reporter_country_JP,0.002948072
bool__indi_soc_vascular_disorders,0.0029452424
categorical__cns_coprescription_bucket_1,0.002933793
categorical__occr_country_NO,0.002912873
bool__indi_soc_immune_system_disorders,0.0028991746
categorical__reporter_country_SPAIN,0.00288415
numeric__indi_n,0.0028794785
categorical__rpsr_cod_FGN|OTH,0.0028654344
categorical__reporter_country_BRAZIL,0.0028653634
categorical__rpsr_cod_CSM,0.002811169
categorical__occr_country_IE,0.002806448
categorical__reporter_country_HU,0.0027962408
categorical__occr_country_PT,0.002774703
bool__is_opioid,0.0027688125
categorical__reporter_country_VE,0.002760326
categorical__occr_country_AT,0.0027600378
bool__is_benzo,0.0027504412
categorical__reporter_country_SWITZERLAND,0.0027503136
numeric__interacting_drug_n,0.0027141506
bool__indi_soc_skin_and_subcutaneous_tissue_disorders,0.0026980953
categorical__reporter_country_SI,0.0026892575
categorical__rpsr_cod_unknown,0.0026689067
categorical__occr_country_TW,0.0026659628
categorical__reporter_country_GR,0.0026321872
categorical__occr_country_KR,0.0026145808
categorical__distinct_drug_n_bucket_3-4,0.0026006303
categorical__occr_country_CH,0.0025812034
categorical__reporter_country_DK,0.0025795423
bool__indi_soc_respiratory_thoracic_and_mediastinal_disorders,0.0025775635
categorical__reporter_country_BR,0.0025651907
categorical__distinct_drug_n_bucket_5-9,0.0025634542
categorical__reporter_country_CO,0.0025542185
categorical__occr_country_PE,0.002549564
categorical__occr_country_CZ,0.0025480355
categorical__reporter_country_ARGENTINA,0.0025476527
categorical__reporter_country_GREECE,0.0025443353
categorical__reporter_country_RO,0.0025401842
categorical__occr_country_TH,0.0025260022
bool__indi_soc_ear_and_labyrinth_disorders,0.0025221074
categorical__rpsr_cod_FGN,0.0024971582
categorical__reporter_country_SK,0.0024950579
categorical__reporter_country_FI,0.0024806964
categorical__occr_country_CO,0.0024542285
bool__indi_soc_general_disorders_and_administration_site_conditions,0.0024347152
categorical__reporter_country_NO,0.0024249002
categorical__reporter_country_COLOMBIA,0.0024202627
categorical__occr_country_DK,0.0024100663
categorical__occr_country_PH,0.002397965
categorical__rpsr_cod_CSM|OTH,0.0023951668
categorical__rpsr_cod_CR|FGN|HP,0.0023865835
categorical__occr_country_HR,0.0023836356
categorical__occr_country_BG,0.0023824594
bool__indi_soc_injury_poisoning_and_procedural_complications,0.002377
categorical__rpsr_cod_CSM|SDY,0.002348606
categorical__rpsr_cod_OTH,0.002331712
bool__indi_soc_congenital_familial_and_genetic_disorders,0.0023094905
categorical__distinct_drug_n_bucket_2,0.0022857683
categorical__reporter_country_NETHERLANDS,0.002280015
categorical__rpsr_cod_HP|LIT,0.0022726818
bool__indi_depression,0.0022631274
bool__indi_soc_hepatobiliary_disorders,0.0022505256
bool__indi_soc_endocrine_disorders,0.002247991
bool__indi_soc_renal_and_urinary_disorders,0.0022212635
categorical__drug_n_bucket_3-4,0.0022192711
categorical__reporter_country_CANADA,0.0022160746
categorical__occr_country_CL,0.002205603
categorical__reporter_country_VENEZUELA,0.0021957757
categorical__reporter_country_NORWAY,0.002191829
categorical__drug_n_bucket_2,0.0021838308
bool__other_zdrug_as_suspect,0.0021655944
categorical__quarter_Q2,0.0021303203
categorical__rpsr_cod_CR|FGN|HP|OTH,0.0021236814
categorical__reporter_country_unknown,0.002108912
categorical__rpsr_cod_CR|HP,0.0021055846
bool__indi_soc_social_circumstances,0.0021053827
categorical__reporter_country_IRELAND,0.002069191
categorical__occr_country_MY,0.0020671564
categorical__occr_country_LB,0.0020657915
categorical__reporter_country_ISRAEL,0.002058178
categorical__occr_country_GR,0.0020549274
categorical__reporter_country_MEXICO,0.0020538126
categorical__rpsr_cod_FGN|HP,0.0020380795
categorical__occr_country_CR,0.0020271244
categorical__drug_n_bucket_5-9,0.0020261174
categorical__occr_country_MX,0.0020202426
categorical__reporter_country_BE,0.0020165099
categorical__age_group_75-84,0.0020016136
categorical__distinct_drug_n_bucket_10-19,0.0019979652
categorical__occr_country_PK,0.0019956466
categorical__reporter_country_CHINA,0.0019834924
categorical__reporter_country_BG,0.0019563332
categorical__reporter_country_CH,0.0019561674
bool__indi_anxiety,0.0019548277
categorical__reporter_country_BELGIUM,0.0019478638
categorical__reporter_country_AUSTRALIA,0.0019476258
categorical__reporter_country_POLAND,0.0019451005
categorical__reporter_country_FINLAND,0.0019401876
categorical__occr_country_VE,0.0019236505
bool__is_antiepileptic,0.0018979732
categorical__reporter_country_MY,0.0018926045
categorical__rpsr_cod_HP|OTH,0.0018589981
categorical__occr_country_SI,0.0018583866
categorical__cns_coprescription_bucket_2,0.0018495766
categorical__occr_country_SK,0.0017974064
categorical__reporter_country_PK,0.0017970348
categorical__reporter_country_LB,0.001794578
numeric__indi_unmapped_n,0.0017933283
categorical__quarter_Q4,0.0017910261
categorical__quarter_Q1,0.0017587822
categorical__rpsr_cod_FGN|HP|OTH|SDY,0.0017545474
categorical__rpsr_cod_SDY,0.0017320444
categorical__quarter_Q3,0.0017093873
categorical__occr_country_NZ,0.0017030766
categorical__rpsr_cod_CR|DT|HP,0.0016838632
categorical__occr_country_BE,0.0016809718
categorical__reporter_country_TURKEY,0.0016015142
categorical__drug_n_bucket_10-19,0.0015967839
categorical__rpsr_cod_FGN|HP|OTH,0.0015840607
categorical__reporter_country_PH,0.0015678748
categorical__reporter_country_EC,0.001556581
bool__indi_dizziness_vertigo,0.0015487749
categorical__occr_country_RU,0.0015382891
categorical__reporter_country_PORTUGAL,0.001459555
categorical__reporter_country_CL,0.0014564868
bool__zolpidem_as_ps,0.0014367974
categorical__occr_country_BD,0.0013878301
categorical__reporter_country_IE,0.0013705995
categorical__reporter_country_PERU,0.0013238811
categorical__reporter_country_HR,0.0012477557
numeric__ps_drug_n,0.0012443096
categorical__drug_n_bucket_20+,0.0010145949
categorical__distinct_drug_n_bucket_20+,0.0009759498
categorical__rpsr_cod_CSM|FGN|OTH,0.00079404784
categorical__occr_country_PR,0.0007867916
categorical__reporter_country_NEW ZEALAND,0.00021335347
categorical__reporter_country_LS,0.0
categorical__rpsr_cod_OTH|SDY,0.0
categorical__reporter_country_BH,0.0
categorical__reporter_country_BD,0.0
categorical__reporter_country_BB,0.0
categorical__reporter_country_BANGLADESH,0.0
categorical__reporter_country_BA,0.0
bool__polypharmacy_5,0.0
bool__indi_soc_product_issues,0.0
bool__indi_soc_pregnancy_puerperium_and_perinatal_conditions,0.0
categorical__reporter_country_JM,0.0
categorical__reporter_country_JAMAICA,0.0
categorical__reporter_country_AFGHANISTAN,0.0
categorical__reporter_country_AF,0.0
categorical__reporter_country_AE,0.0
categorical__reporter_country_AD,0.0
categorical__reporter_country_AM,0.0
categorical__e_sub_Y,0.0
categorical__rept_cod_5DAY,0.0
categorical__reporter_country_NG,0.0
categorical__reporter_country_NEW CALEDONIA,0.0
categorical__reporter_country_NEPAL,0.0
categorical__reporter_country_IQ,0.0
categorical__reporter_country_INDONESIA,0.0
categorical__reporter_country_INDIA,0.0
categorical__reporter_country_ID,0.0
categorical__reporter_country_PUERTO RICO,0.0
categorical__reporter_country_PS,0.0
categorical__reporter_country_PR,0.0
categorical__reporter_country_PL,0.0
categorical__reporter_country_PHILIPPINES,0.0
categorical__reporter_country_PE,0.0
categorical__reporter_country_SWEDEN,0.0
categorical__reporter_country_SV,0.0
categorical__reporter_country_SOUTH AFRICA,0.0
categorical__reporter_country_SN,0.0
categorical__reporter_country_SLOVENIA,0.0
categorical__reporter_country_SD,0.0
categorical__reporter_country_SAUDI ARABIA,0.0
categorical__reporter_country_SAMOA,0.0
categorical__reporter_country_SA,0.0
categorical__reporter_country_RUSSIAN FEDERATION,0.0
categorical__reporter_country_RS,0.0
categorical__reporter_country_ROMANIA,0.0
categorical__reporter_country_IRAQ,0.0
categorical__reporter_country_IRAN (ISLAMIC REPUBLIC OF),0.0
categorical__reporter_country_IR,0.0
categorical__reporter_country_TT,0.0
categorical__occr_country_AM,0.0
categorical__occr_country_AL,0.0
categorical__occr_country_AF,0.0
categorical__occr_country_AE,0.0
categorical__reporter_country_ICELAND,0.0
categorical__reporter_country_HUNGARY,0.0
categorical__reporter_country_HONG KONG,0.0
categorical__reporter_country_TN,0.0
categorical__reporter_country_THAILAND,0.0
"categorical__reporter_country_TAIWAN, PROVINCE OF CHINA",0.0
categorical__reporter_country_SZ,0.0
categorical__reporter_country_SYRIAN ARAB REPUBLIC,0.0
categorical__reporter_country_SY,0.0
categorical__reporter_country_SX,0.0
categorical__occr_country_BW,0.0
categorical__occr_country_BO,0.0
categorical__occr_country_BN,0.0
categorical__occr_country_BM,0.0
categorical__occr_country_BH,0.0
categorical__reporter_country_UY,0.0
categorical__reporter_country_URUGUAY,0.0
categorical__reporter_country_UNITED ARAB EMIRATES,0.0
categorical__reporter_country_UM,0.0
categorical__reporter_country_UKRAINE,0.0
categorical__reporter_country_UGANDA,0.0
categorical__reporter_country_UG,0.0
categorical__reporter_country_UA,0.0
categorical__reporter_country_TZ,0.0
categorical__reporter_country_TUNISIA,0.0
categorical__reporter_country_GT,0.0
categorical__reporter_country_GREENLAND,0.0
categorical__reporter_country_GP,0.0
categorical__reporter_country_GH,0.0
categorical__reporter_country_GE,0.0
categorical__occr_country_A1,0.0
categorical__reporter_country_ZW,0.0
categorical__reporter_country_ZA,0.0
categorical__reporter_country_YUGOSLAVIA,0.0
categorical__reporter_country_WS,0.0
categorical__reporter_country_VN,0.0
categorical__reporter_country_VIET NAM,0.0
categorical__reporter_country_VI,0.0
categorical__reporter_country_UZ,0.0
categorical__occr_country_CI,0.0
categorical__occr_country_BY,0.0
categorical__occr_country_HK,0.0
categorical__occr_country_GT,0.0
categorical__occr_country_GP,0.0
categorical__occr_country_BB,0.0
categorical__occr_country_BA,0.0
categorical__occr_country_AZ,0.0
categorical__occr_country_AS,0.0
categorical__reporter_country_HONDURAS,0.0
categorical__reporter_country_HN,0.0
categorical__reporter_country_HK,0.0
categorical__reporter_country_GUATEMALA,0.0
categorical__occr_country_KG,0.0
categorical__occr_country_KE,0.0
categorical__occr_country_JO,0.0
categorical__occr_country_JM,0.0
categorical__occr_country_IS,0.0
categorical__occr_country_IR,0.0
categorical__occr_country_IQ,0.0
categorical__reporter_country_GD,0.0
categorical__reporter_country_GABON,0.0
categorical__occr_country_DZ,0.0
categorical__occr_country_DO,0.0
categorical__occr_country_CY,0.0
categorical__occr_country_CU,0.0
categorical__occr_country_CM,0.0
categorical__reporter_country_ESTONIA,0.0
categorical__reporter_country_ER,0.0
categorical__reporter_country_EL SALVADOR,0.0
categorical__reporter_country_EGYPT,0.0
categorical__reporter_country_EG,0.0
categorical__reporter_country_EE,0.0
categorical__reporter_country_ECUADOR,0.0
categorical__occr_country_GH,0.0
categorical__occr_country_GE,0.0
categorical__occr_country_FI,0.0
categorical__occr_country_EU,0.0
categorical__occr_country_ET,0.0
categorical__occr_country_ER,0.0
categorical__occr_country_EG,0.0
categorical__occr_country_EE,0.0
categorical__occr_country_EC,0.0
categorical__occr_country_LT,0.0
categorical__occr_country_LS,0.0
categorical__occr_country_LK,0.0
categorical__occr_country_KZ,0.0
categorical__occr_country_KW,0.0
categorical__occr_country_KP,0.0
categorical__occr_country_KH,0.0
categorical__occr_country_ID,0.0
