feature,importance
bool__pheno_gait_balance_motor,0.060047425
categorical__rept_cod_PER,0.047041148
categorical__cns_coprescription_bucket_0,0.03647927
bool__pheno_consciousness_cognition,0.03476485
bool__pheno_dizziness_vertigo_syncope,0.032511346
categorical__rept_cod_EXP,0.027767602
bool__indi_soc_nervous_system_disorders,0.01821627
bool__indi_soc_musculoskeletal_and_connective_tissue_disorders,0.016509438
bool__event_date_known,0.014112542
categorical__sex_clean_F,0.011929069
bool__pheno_hypotension,0.011849189
bool__indi_soc_infections_and_infestations,0.011650219
bool__has_end_dt,0.011420011
categorical__occr_country_US,0.010595133
bool__indi_soc_neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,0.010305071
categorical__sex_clean_M,0.010035281
bool__is_antidepressant,0.008495472
bool__has_ss_drug,0.008390647
bool__has_start_dt,0.0077484064
numeric__age_years,0.0074079763
bool__polypharmacy_5,0.0073801246
bool__indi_soc_psychiatric_disorders,0.0072283153
categorical__reporter_country_CN,0.0072053634
categorical__occr_country_IT,0.0069650053
categorical__age_group_>=85,0.006961335
bool__indi_soc_gastrointestinal_disorders,0.0069468776
categorical__occr_country_CA,0.0068438514
categorical__reporter_country_CA,0.006718975
categorical__age_group_65-74,0.0062747397
categorical__rept_cod_DIR,0.0059188213
categorical__reporter_country_US,0.0049465527
categorical__occr_country_AU,0.0047684563
categorical__occr_country_NL,0.00474278
bool__indi_soc_cardiac_disorders,0.004705898
numeric__cns_coprescription_count,0.004495413
categorical__reporter_country_PT,0.0044503123
categorical__occr_country_FR,0.004444215
categorical__reporter_country_IN,0.004418219
categorical__occr_country_DE,0.004399436
categorical__reporter_country_NL,0.0043252166
categorical__reporter_country_FR,0.0043199407
bool__indi_soc_eye_disorders,0.004274911
categorical__occr_country_CN,0.004073426
categorical__reporter_country_SPAIN,0.004006489
bool__zolpidem_as_suspect,0.0039880904
categorical__reporter_country_IL,0.003985538
categorical__reporter_country_UNITED STATES,0.0039516725
categorical__reporter_country_ES,0.003914351
categorical__reporter_country_AR,0.003913836
categorical__reporter_country_SE,0.0038635728
numeric__log_distinct_drug_n,0.0038526917
categorical__occr_country_PT,0.003801098
categorical__occr_country_ES,0.0037775983
categorical__reporter_country_IT,0.0037565376
categorical__reporter_country_JP,0.003628725
bool__indi_insomnia,0.003550951
categorical__occr_country_GB,0.0035505693
bool__indi_soc_investigations,0.0035242122
categorical__reporter_country_AU,0.0034963407
numeric__ss_drug_n,0.0034883989
categorical__occr_country_PL,0.0034846235
categorical__reporter_country_GB,0.0034703657
bool__indi_soc_blood_and_lymphatic_system_disorders,0.0034605884
categorical__reporter_country_FRANCE,0.0034423992
categorical__occr_country_JP,0.003437055
categorical__occr_country_VE,0.0033798937
categorical__occr_country_SE,0.0033595783
categorical__occr_country_SG,0.003352112
numeric__zdrug_count,0.0032982014
categorical__reporter_country_TW,0.003298021
categorical__rpsr_cod_HP,0.0032777165
bool__duration_known,0.0032264676
categorical__occr_country_BR,0.0031933924
numeric__drug_n,0.003176256
