pt1,pt2,co_count,pt1_case_count,pt2_case_count,jaccard,lift,phi,community_id_pt1,community_id_pt2,same_community
CONFUSIONAL STATE,FALL,216,216,1043,0.20709491850431447,1.0,0.0,1,1,True
FALL,NAUSEA,128,1043,128,0.12272291466922339,1.0,0.0,1,1,True
DIZZINESS,FALL,122,122,1043,0.11697027804410355,1.0,0.0,1,1,True
FALL,PAIN,116,1043,116,0.1112176414189837,1.0,0.0,1,1,True
ANXIETY,FALL,115,115,1043,0.11025886864813039,1.0,0.0,1,1,True
FALL,MALAISE,108,1043,108,0.10354745925215723,1.0,0.0,1,1,True
DYSARTHRIA,FALL,95,95,1043,0.09108341323106424,1.0,0.0,1,1,True
FALL,HEADACHE,95,1043,95,0.09108341323106424,1.0,0.0,1,1,True
FALL,MOTOR DYSFUNCTION,95,1043,95,0.09108341323106424,1.0,0.0,1,1,True
ANXIETY,NAUSEA,94,115,128,0.6308724832214765,6.660461956521739,0.7452830527039132,1,1,True
FALL,MUSCULAR WEAKNESS,94,1043,94,0.09012464046021093,1.0,0.0,1,1,True
ANXIETY,PAIN,91,115,116,0.65,7.114917541229385,0.7614732730235034,1,1,True
FALL,HYPOTENSION,90,1043,90,0.0862895493767977,1.0,0.0,1,1,True
MOTOR DYSFUNCTION,NAUSEA,89,95,128,0.664179104477612,7.633799342105263,0.7854425101450716,1,1,True
ANXIETY,CONFUSIONAL STATE,89,115,216,0.3677685950413223,3.736996779388084,0.49240600345336977,1,1,True
CONFUSIONAL STATE,NAUSEA,89,216,128,0.34901960784313724,3.3574580439814814,0.4506221453608615,1,1,True
FALL,FATIGUE,88,1043,88,0.08437200383509108,1.0,0.0,1,1,True
FALL,VOMITING,86,1043,86,0.08245445829338446,1.0,0.0,1,1,True
FALL,PYREXIA,85,1043,85,0.08149568552253116,1.0,0.0,1,1,True
FALL,GASTROINTESTINAL DISORDER,84,1043,84,0.08053691275167785,1.0,0.0,1,1,True
NAUSEA,VOMITING,83,128,86,0.6335877862595419,7.864189680232558,0.7696211082805421,1,1,True
HEADACHE,NAUSEA,83,95,128,0.5928571428571429,7.119161184210526,0.7245093004250144,1,1,True
AFFECT LABILITY,ANXIETY,82,82,115,0.7130434782608696,9.069565217391304,0.82979401918978,1,1,True
AFFECT LABILITY,NAUSEA,82,82,128,0.640625,8.1484375,0.7809995696436451,1,1,True
HEADACHE,PAIN,82,95,116,0.6356589147286822,7.76098003629764,0.7571055243111926,1,1,True
AFFECT LABILITY,CONFUSIONAL STATE,82,82,216,0.37962962962962965,4.828703703703703,0.5715722184819504,1,1,True
AFFECT LABILITY,FALL,82,82,1043,0.07861936720997123,1.0,0.0,1,1,True
HEADACHE,VOMITING,81,95,86,0.81,10.340636474908202,0.8863951292863813,1,1,True
NAUSEA,PAIN,81,128,116,0.49693251533742333,5.689857219827586,0.6205020010480848,1,1,True
FALL,PNEUMONIA,81,1043,81,0.07766059443911794,1.0,0.0,1,1,True
PAIN,VOMITING,79,116,86,0.6422764227642277,8.259522854851644,0.769822253321059,1,1,True
HEADACHE,MALAISE,79,95,108,0.6370967741935484,8.030896686159844,0.7564398896931044,1,1,True
GASTROINTESTINAL DISORDER,NAUSEA,79,84,128,0.5939849624060151,7.663411458333333,0.7376008500324971,1,1,True
GASTROINTESTINAL DISORDER,MOTOR DYSFUNCTION,78,84,95,0.7722772277227723,10.194736842105263,0.8614444502382314,1,1,True
ANXIETY,VOMITING,78,115,86,0.6341463414634146,8.22588473205258,0.7625340093673234,1,1,True
