,FALL,CONFUSIONAL STATE,NAUSEA,DIZZINESS,PAIN,ANXIETY,MALAISE,DYSARTHRIA,HEADACHE,MOTOR DYSFUNCTION,MUSCULAR WEAKNESS,HYPOTENSION,FATIGUE,VOMITING,PYREXIA,GASTROINTESTINAL DISORDER,AFFECT LABILITY,PNEUMONIA,COORDINATION ABNORMAL,SYNCOPE,APHASIA,CEREBROVASCULAR ACCIDENT,DYSPHAGIA,EATING DISORDER,CYSTITIS,NASOPHARYNGITIS,MUSCLE SPASTICITY,PSORIASIS,SKIN EXFOLIATION,SNEEZING,ADJUSTMENT DISORDER,CAROTID ARTERY THROMBOSIS,HEMIPARESIS,HEMIPLEGIA,HYPONATRAEMIA,INFLUENZA,INFLUENZA LIKE ILLNESS,NEUROLOGIC NEGLECT SYNDROME,PALPITATIONS,PERSONALITY DISORDER,RESPIRATORY TRACT CONGESTION,RHINORRHOEA,SENSORY LOSS,SINUS CONGESTION,SINUS DISORDER,SKIN HAEMORRHAGE,BLOOD PRESSURE INCREASED,HEAD INJURY,COUGH,DRUG INTERACTION
FALL,0.0,0.20709491850431447,0.12272291466922339,0.11697027804410355,0.1112176414189837,0.11025886864813039,0.10354745925215723,0.09108341323106424,0.09108341323106424,0.09108341323106424,0.09012464046021093,0.0862895493767977,0.08437200383509108,0.08245445829338446,0.08149568552253116,0.08053691275167785,0.07861936720997123,0.07766059443911794,0.07478427612655801,0.07478427612655801,0.0728667305848514,0.07190795781399809,0.07190795781399809,0.07190795781399809,0.07094918504314478,0.07094918504314478,0.06999041227229147,0.06999041227229147,0.06999041227229147,0.06999041227229147,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06903163950143816,0.06807286673058485,0.06807286673058485,0.06711409395973154,0.06711409395973154
CONFUSIONAL STATE,0.20709491850431447,0.0,0.34901960784313724,0.06624605678233439,0.2918287937743191,0.3677685950413223,0.3064516129032258,0.33476394849785407,0.32340425531914896,0.301255230125523,0.3135593220338983,0.013245033112582781,0.3392070484581498,0.31877729257641924,0.3377777777777778,0.2875536480686695,0.37962962962962965,0.32589285714285715,0.33636363636363636,0.0,0.3333333333333333,0.3348623853211009,0.3348623853211009,0.34101382488479265,0.33640552995391704,0.3302752293577982,0.3317972350230415,0.3317972350230415,0.3317972350230415,0.3317972350230415,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.07063197026022305,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2972972972972973,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2986425339366516,0.01056338028169014,0.3059360730593607,0.051470588235294115
NAUSEA,0.12272291466922339,0.34901960784313724,0.0,0.16822429906542055,0.49693251533742333,0.6308724832214765,0.4936708860759494,0.4768211920529801,0.5928571428571429,0.664179104477612,0.5416666666666666,0.14136125654450263,0.5319148936170213,0.6335877862595419,0.5661764705882353,0.5939849624060151,0.640625,0.5367647058823529,0.5373134328358209,0.11956521739130435,0.5454545454545454,0.549618320610687,0.5615384615384615,0.549618320610687,0.5538461538461539,0.5538461538461539,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5625,0.5625,0.5625,0.5625,0.2345679012345679,0.5625,0.5625,0.5625,0.5503875968992248,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.49624060150375937,0.0,0.5,0.15789473684210525
DIZZINESS,0.11697027804410355,0.06624605678233439,0.16822429906542055,0.0,0.039301310043668124,0.07727272727272727,0.045454545454545456,0.014018691588785047,0.05339805825242718,0.11282051282051282,0.06403940886699508,0.15846994535519127,0.014492753623188406,0.024630541871921183,0.024752475247524754,0.06735751295336788,0.046153846153846156,0.0,0.0,0.20481927710843373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22012578616352202,0.0,0.0,0.0,0.026455026455026454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021164021164021163,0.0,0.19254658385093168
PAIN,0.1112176414189837,0.2918287937743191,0.49693251533742333,0.039301310043668124,0.0,0.65,0.5342465753424658,0.5179856115107914,0.6356589147286822,0.5401459854014599,0.5789473684210527,0.024875621890547265,0.5692307692307692,0.6422764227642277,0.6209677419354839,0.4925373134328358,0.5714285714285714,0.5887096774193549,0.5901639344262295,0.015706806282722512,0.6,0.6050420168067226,0.6050420168067226,0.6050420168067226,0.6101694915254238,0.6101694915254238,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.03296703296703297,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6068376068376068,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.5583333333333333,0.02185792349726776,0.55,0.02197802197802198
ANXIETY,0.11025886864813039,0.3677685950413223,0.6308724832214765,0.07727272727272727,0.65,0.0,0.5273972602739726,0.5441176470588235,0.5909090909090909,0.5328467153284672,0.5954198473282443,0.025,0.6111111111111112,0.6341463414634146,0.6260162601626016,0.49624060150375937,0.7130434782608696,0.5806451612903226,0.6218487394957983,0.0,0.6186440677966102,0.6101694915254238,0.6101694915254238,0.6101694915254238,0.6153846153846154,0.6153846153846154,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6347826086956522,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.11976047904191617,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.6260869565217392,0.55,0.0,0.5677966101694916,0.06936416184971098
MALAISE,0.10354745925215723,0.3064516129032258,0.4936708860759494,0.045454545454545456,0.5342465753424658,0.5273972602739726,0.0,0.5984251968503937,0.6370967741935484,0.5615384615384615,0.6031746031746031,0.047619047619047616,0.6065573770491803,0.6581196581196581,0.6637931034482759,0.5238095238095238,0.6101694915254238,0.6434782608695652,0.631578947368421,0.0,0.6428571428571429,0.6636363636363637,0.6636363636363637,0.6486486486486487,0.6545454545454545,0.6697247706422018,0.6759259259259259,0.6605504587155964,0.6605504587155964,0.6605504587155964,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.034482758620689655,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6513761467889908,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.584070796460177,0.022857142857142857,0.5892857142857143,0.0
DYSARTHRIA,0.09108341323106424,0.33476394849785407,0.4768211920529801,0.014018691588785047,0.5179856115107914,0.5441176470588235,0.5984251968503937,0.0,0.6379310344827587,0.6101694915254238,0.6016949152542372,0.0,0.6944444444444444,0.6605504587155964,0.6666666666666666,0.584070796460177,0.6857142857142857,0.6923076923076923,0.7835051546391752,0.07453416149068323,0.7272727272727273,0.7708333333333334,0.7525773195876289,0.7525773195876289,0.7604166666666666,0.7604166666666666,0.75,0.75,0.75,0.75,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.0,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.6534653465346535,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.66,0.0,0.6836734693877551,0.0784313725490196
HEADACHE,0.09108341323106424,0.32340425531914896,0.5928571428571429,0.05339805825242718,0.6356589147286822,0.5909090909090909,0.6370967741935484,0.6379310344827587,0.0,0.6239316239316239,0.6875,0.027777777777777776,0.7102803738317757,0.81,0.7475728155339806,0.584070796460177,0.6857142857142857,0.6923076923076923,0.7128712871287128,0.0,0.7272727272727273,0.7525773195876289,0.7346938775510204,0.7346938775510204,0.7422680412371134,0.7604166666666666,0.75,0.75,0.75,0.75,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.030864197530864196,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7395833333333334,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.6938775510204082,0.0,0.6666666666666666,0.0
MOTOR DYSFUNCTION,0.09108341323106424,0.301255230125523,0.664179104477612,0.11282051282051282,0.5401459854014599,0.5328467153284672,0.5615384615384615,0.6101694915254238,0.6239316239316239,0.0,0.6293103448275862,0.10778443113772455,0.6486486486486487,0.6759259259259259,0.6822429906542056,0.7722772277227723,0.6857142857142857,0.6923076923076923,0.7128712871287128,0.11612903225806452,0.7272727272727273,0.7346938775510204,0.7346938775510204,0.7346938775510204,0.7422680412371134,0.7422680412371134,0.75,0.75,0.75,0.75,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.0915032679738562,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.67,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.66,0.0,0.6666666666666666,0.1
