,FALL,CONFUSIONAL STATE,NAUSEA,DIZZINESS,PAIN,ANXIETY,MALAISE,DYSARTHRIA,HEADACHE,MOTOR DYSFUNCTION,MUSCULAR WEAKNESS,HYPOTENSION,FATIGUE,VOMITING,PYREXIA,GASTROINTESTINAL DISORDER,AFFECT LABILITY,PNEUMONIA,COORDINATION ABNORMAL,SYNCOPE,APHASIA,CEREBROVASCULAR ACCIDENT,DYSPHAGIA,EATING DISORDER,CYSTITIS,NASOPHARYNGITIS,MUSCLE SPASTICITY,PSORIASIS,SKIN EXFOLIATION,SNEEZING,ADJUSTMENT DISORDER,CAROTID ARTERY THROMBOSIS,HEMIPARESIS,HEMIPLEGIA,HYPONATRAEMIA,INFLUENZA,INFLUENZA LIKE ILLNESS,NEUROLOGIC NEGLECT SYNDROME,PALPITATIONS,PERSONALITY DISORDER,RESPIRATORY TRACT CONGESTION,RHINORRHOEA,SENSORY LOSS,SINUS CONGESTION,SINUS DISORDER,SKIN HAEMORRHAGE,BLOOD PRESSURE INCREASED,HEAD INJURY,COUGH,DRUG INTERACTION
FALL,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CONFUSIONAL STATE,1.0,0.0,3.3574580439814814,0.8311703096539163,3.122006704980843,3.736996779388084,3.3979766803840876,3.964619883040936,3.862962962962963,3.6596491228070174,3.801319936958235,0.21460905349794238,4.2251157407407405,4.0987833763996555,4.317429193899782,3.851466049382716,4.828703703703703,4.351794695930498,4.581077872744539,0.0,4.638096978557505,4.699938271604938,4.699938271604938,4.764320987654321,4.763450950950951,4.698198198198198,4.762557077625571,4.762557077625571,4.762557077625571,4.762557077625571,4.828703703703703,4.828703703703703,4.828703703703703,4.828703703703703,1.274241255144033,4.828703703703703,4.828703703703703,4.828703703703703,4.426311728395062,4.828703703703703,4.828703703703703,4.828703703703703,4.828703703703703,4.828703703703703,4.828703703703703,4.828703703703703,4.488654147104851,0.20402973395931143,4.621759259259259,0.9657407407407408
NAUSEA,1.0,3.3574580439814814,0.0,2.4044569672131146,5.689857219827586,6.660461956521739,5.884982638888889,6.175657894736842,7.119161184210526,7.633799342105263,6.761469414893617,2.44453125,6.944691051136363,7.864189680232558,7.381525735294118,7.663411458333333,8.1484375,7.343653549382716,7.521634615384615,2.2982772435897436,7.719572368421052,7.8225,7.931145833333333,7.8225,7.92820945945946,7.92820945945946,8.036815068493151,8.036815068493151,8.036815068493151,8.036815068493151,8.1484375,8.1484375,8.1484375,8.1484375,4.300564236111111,8.1484375,8.1484375,8.1484375,8.035264756944445,8.1484375,8.1484375,8.1484375,8.1484375,8.1484375,8.1484375,8.1484375,7.574603873239437,0.0,7.6828125,3.14296875
DIZZINESS,1.0,0.8311703096539163,2.4044569672131146,0.0,0.6632984737139627,1.263791874554526,0.7915907710989678,0.26997411561691115,0.9899050905953408,1.9798101811906816,1.1823334495988838,2.754735883424408,0.2914493293591654,0.4970453678993519,0.5028929604628737,1.3230874316939891,0.9383246701319472,0.0,0.0,3.726565783942833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.155851548269581,0.0,0.0,0.0,0.5936930783242259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48164396213345645,0.0,3.786065573770492
PAIN,1.0,3.122006704980843,5.689857219827586,0.6632984737139627,0.0,7.114917541229385,6.493773946360153,6.814519056261343,7.76098003629764,7.003811252268602,7.365278796771827,0.49952107279693486,7.560932601880878,8.259522854851644,8.145131845841785,7.064655172413793,7.8948696383515555,8.103341847594722,8.29973474801061,0.3458222811671088,8.51814882032668,8.631724137931034,8.631724137931034,8.631724137931034,8.748369058713886,8.748369058713886,8.868209730751063,8.868209730751063,8.868209730751063,8.868209730751063,8.991379310344827,8.991379310344827,8.991379310344827,8.991379310344827,0.7492816091954023,8.991379310344827,8.991379310344827,8.991379310344827,8.866499042145595,8.991379310344827,8.991379310344827,8.991379310344827,8.991379310344827,8.991379310344827,8.991379310344827,8.991379310344827,8.48482272948033,0.5065565808644973,8.477586206896552,0.5137931034482759
ANXIETY,1.0,3.736996779388084,6.660461956521739,1.263791874554526,7.114917541229385,0.0,6.466264090177134,7.064713958810069,7.446590389016018,6.969244851258582,7.525809435707678,0.503864734299517,7.935869565217391,8.22588473205258,8.215959079283888,7.126086956521739,9.069565217391304,8.061835748792271,8.604459308807135,0.0,8.711556064073227,8.706782608695653,8.706782608695653,8.706782608695653,8.824441833137485,8.824441833137485,8.945324597974984,8.945324597974984,8.945324597974984,9.069565217391304,9.069565217391304,9.069565217391304,9.069565217391304,9.069565217391304,2.5193236714975846,9.069565217391304,9.069565217391304,9.069565217391304,9.069565217391304,9.069565217391304,9.069565217391304,9.069565217391304,9.069565217391304,9.069565217391304,9.069565217391304,9.069565217391304,8.430863441518678,0.0,8.68086956521739,1.5547826086956522
MALAISE,1.0,3.3979766803840876,5.884982638888889,0.7915907710989678,6.493773946360153,6.466264090177134,0.0,7.725925925925926,8.030896686159844,7.420955165692008,7.808116627265563,0.9657407407407408,8.121001683501683,8.646748492678725,8.748474945533768,7.587962962962963,8.479674796747968,8.822816643804298,8.914529914529915,0.0,9.149122807017545,9.399876543209876,9.399876543209876,9.27111111111111,9.396396396396396,9.526901901901901,9.657407407407407,9.525114155251142,9.525114155251142,9.525114155251142,9.657407407407407,9.657407407407407,9.657407407407407,9.657407407407407,0.8047839506172839,9.657407407407407,9.657407407407407,9.657407407407407,9.523276748971194,9.657407407407407,9.657407407407407,9.657407407407407,9.657407407407407,9.657407407407407,9.657407407407407,9.657407407407407,8.977308294209703,0.5440792905581638,9.105555555555556,0.0
DYSARTHRIA,1.0,3.964619883040936,6.175657894736842,0.26997411561691115,6.814519056261343,7.064713958810069,7.725925925925926,0.0,8.55202216066482,8.320886426592798,8.292609182530795,0.0,9.357057416267942,9.191676866585068,9.299814241486068,8.626315789473685,9.640051347881899,9.75906432748538,10.697435897435897,1.6890688259109312,10.401108033240996,10.832561403508771,10.686175438596491,10.686175438596491,10.83058321479374,10.83058321479374,10.828550829127613,10.828550829127613,10.828550829127613,10.828550829127613,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,0.0,10.978947368421053,10.978947368421053,10.978947368421053,10.064035087719299,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,10.205782060785767,0.0,10.50842105263158,1.8821052631578947
HEADACHE,1.0,3.862962962962963,7.119161184210526,0.9899050905953408,7.76098003629764,7.446590389016018,8.030896686159844,8.55202216066482,0.0,8.43645429362881,8.993393057110863,0.6099415204678362,9.481818181818182,10.340636474908202,9.945634674922601,8.626315789473685,9.640051347881899,9.75906432748538,10.134412955465587,0.0,10.401108033240996,10.686175438596491,10.53978947368421,10.53978947368421,10.68221906116643,10.83058321479374,10.828550829127613,10.828550829127613,10.828550829127613,10.828550829127613,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,0.7624269005847953,10.978947368421053,10.978947368421053,10.978947368421053,10.826461988304093,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,10.515048183839882,0.0,10.351578947368422,0.0
MOTOR DYSFUNCTION,1.0,3.6596491228070174,7.633799342105263,1.9798101811906816,7.003811252268602,6.969244851258582,7.420955165692008,8.320886426592798,8.43645429362881,0.0,8.526203807390818,2.1957894736842105,8.982775119617225,9.319339045287638,9.428978328173375,10.194736842105263,9.640051347881899,9.75906432748538,10.134412955465587,2.5336032388663967,10.401108033240996,10.53978947368421,10.53978947368421,10.53978947368421,10.68221906116643,10.68221906116643,10.828550829127613,10.828550829127613,10.828550829127613,10.828550829127613,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,2.134795321637427,10.978947368421053,10.978947368421053,10.978947368421053,10.216520467836258,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,10.978947368421053,10.205782060785767,0.0,10.351578947368422,2.3526315789473684
MUSCULAR WEAKNESS,1.0,3.801319936958235,6.761469414893617,1.1823334495988838,7.365278796771827,7.525809435707678,7.808116627265563,8.292609182530795,8.993393057110863,8.526203807390818,0.0,0.7397163120567376,9.456600580270793,9.934562097971302,9.92090112640801,8.9822695035461,9.60729112610275,9.99986866298923,10.099972722313147,0.0,10.365761478163494,10.503971631205674,10.503971631205674,10.503971631205674,10.645917193789534,10.645917193789534,10.79175167589624,10.79175167589624,10.79175167589624,10.79175167589624,10.941637115839244,10.941637115839244,10.941637115839244,10.941637115839244,0.924645390070922,10.941637115839244,10.941637115839244,10.941637115839244,10.941637115839244,10.941637115839244,10.941637115839244,10.941637115839244,10.941637115839244,10.941637115839244,10.941637115839244,10.941637115839244,10.314354210368595,0.4688342822894816,10.461702127659574,0.951063829787234
HYPOTENSION,1.0,0.21460905349794238,2.44453125,2.754735883424408,0.49952107279693486,0.503864734299517,0.9657407407407408,0.0,0.6099415204678362,2.1957894736842105,0.7397163120567376,0.0,0.0,0.6737726098191215,0.9543790849673203,2.2074074074074073,0.0,0.0,0.0,4.605840455840456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98966049382716,0.0,0.0,0.0,0.8047839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4896713615023474,0.0,3.4766666666666666
FATIGUE,1.0,4.2251157407407405,6.944691051136363,0.2914493293591654,7.560932601880878,7.935869565217391,8.121001683501683,9.357057416267942,9.481818181818182,8.982775119617225,9.456600580270793,0.0,0.0,10.198467230443974,10.318449197860962,9.3125,10.406873614190687,10.535353535353535,11.092511655011656,0.0,11.22846889952153,11.694242424242423,11.536212121212122,11.536212121212122,11.692106879606879,11.692106879606879,11.689912826899128,11.689912826899128,11.689912826899128,11.852272727272727,11.852272727272727,11.852272727272727,11.852272727272727,11.852272727272727,0.49384469696969696,11.852272727272727,11.852272727272727,11.852272727272727,11.193813131313131,11.852272727272727,11.852272727272727,11.852272727272727,11.852272727272727,11.852272727272727,11.852272727272727,11.852272727272727,11.184539052496799,0.6677336747759283,11.513636363636364,0.0
VOMITING,1.0,4.0987833763996555,7.864189680232558,0.4970453678993519,8.259522854851644,8.22588473205258,8.646748492678725,9.191676866585068,10.340636474908202,9.319339045287638,9.934562097971302,0.6737726098191215,10.198467230443974,0.0,10.986456908344733,9.529069767441861,10.648893930799773,10.780361757105943,11.194991055456171,0.0,11.489596083231334,11.64279069767442,11.804496124031008,11.64279069767442,11.80012570710245,11.80012570710245,11.961771264733992,11.961771264733992,11.961771264733992,11.961771264733992,12.127906976744185,12.127906976744185,12.127906976744185,12.127906976744185,1.1791020671834624,12.127906976744185,12.127906976744185,12.127906976744185,11.959463824289406,12.127906976744185,12.127906976744185,12.127906976744185,12.127906976744185,12.127906976744185,12.127906976744185,12.127906976744185,11.273829020635441,0.0,11.434883720930232,0.5197674418604651
PYREXIA,1.0,4.317429193899782,7.381525735294118,0.5028929604628737,8.145131845841785,8.215959079283888,8.748474945533768,9.299814241486068,9.945634674922601,9.428978328173375,9.92090112640801,0.9543790849673203,10.318449197860962,10.986456908344733,0.0,9.641176470588235,10.774175035868005,10.90718954248366,11.326696832579186,0.0,11.786222910216718,11.779764705882354,11.779764705882354,11.779764705882354,11.938950715421303,12.104769475357712,12.102497985495567,12.102497985495567,12.102497985495567,12.102497985495567,12.270588235294118,12.270588235294118,12.270588235294118,12.270588235294118,0.8521241830065359,12.270588235294118,12.270588235294118,12.270588235294118,12.10016339869281,12.270588235294118,12.270588235294118,12.270588235294118,12.270588235294118,12.270588235294118,12.270588235294118,12.270588235294118,11.579287489643745,0.6913007456503728,11.569411764705883,0.0
GASTROINTESTINAL DISORDER,1.0,3.851466049382716,7.663411458333333,1.3230874316939891,7.064655172413793,7.126086956521739,7.587962962962963,8.626315789473685,8.626315789473685,10.194736842105263,8.9822695035461,2.2074074074074073,9.3125,9.529069767441861,9.641176470588235,0.0,9.99390243902439,10.423868312757202,10.506410256410257,2.0694444444444446,10.782894736842104,10.926666666666666,10.926666666666666,10.926666666666666,11.074324324324325,11.074324324324325,11.226027397260275,11.226027397260275,11.226027397260275,11.226027397260275,11.381944444444445,11.381944444444445,11.381944444444445,11.381944444444445,2.2418981481481484,11.381944444444445,11.381944444444445,11.381944444444445,11.381944444444445,11.381944444444445,11.381944444444445,11.381944444444445,11.381944444444445,11.381944444444445,11.381944444444445,11.381944444444445,11.54225352112676,0.0,11.707142857142857,1.7738095238095237
AFFECT LABILITY,1.0,4.828703703703703,8.1484375,0.9383246701319472,7.8948696383515555,9.069565217391304,8.479674796747968,9.640051347881899,9.640051347881899,9.640051347881899,9.60729112610275,0.0,10.406873614190687,10.648893930799773,10.774175035868005,9.99390243902439,0.0,11.306233062330623,11.74108818011257,0.0,12.050064184852374,12.210731707317073,12.210731707317073,12.210731707317073,12.37574159525379,12.37574159525379,12.54527230203809,12.54527230203809,12.54527230203809,12.54527230203809,12.71951219512195,12.71951219512195,12.71951219512195,12.71951219512195,1.76659891598916,12.71951219512195,12.71951219512195,12.71951219512195,11.659552845528456,12.71951219512195,12.71951219512195,12.71951219512195,12.71951219512195,12.71951219512195,12.71951219512195,12.71951219512195,11.823771899690827,0.0,11.992682926829268,1.6353658536585365
