,FALL,CONFUSIONAL STATE,NAUSEA,DIZZINESS,PAIN,ANXIETY,MALAISE,DYSARTHRIA,HEADACHE,MOTOR DYSFUNCTION,MUSCULAR WEAKNESS,HYPOTENSION,FATIGUE,VOMITING,PYREXIA,GASTROINTESTINAL DISORDER,AFFECT LABILITY,PNEUMONIA,COORDINATION ABNORMAL,SYNCOPE,APHASIA,CEREBROVASCULAR ACCIDENT,DYSPHAGIA,EATING DISORDER,CYSTITIS,NASOPHARYNGITIS,MUSCLE SPASTICITY,PSORIASIS,SKIN EXFOLIATION,SNEEZING,ADJUSTMENT DISORDER,CAROTID ARTERY THROMBOSIS,HEMIPARESIS,HEMIPLEGIA,HYPONATRAEMIA,INFLUENZA,INFLUENZA LIKE ILLNESS,NEUROLOGIC NEGLECT SYNDROME,PALPITATIONS,PERSONALITY DISORDER,RESPIRATORY TRACT CONGESTION,RHINORRHOEA,SENSORY LOSS,SINUS CONGESTION,SINUS DISORDER,SKIN HAEMORRHAGE,BLOOD PRESSURE INCREASED,HEAD INJURY,COUGH,DRUG INTERACTION
FALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONFUSIONAL STATE,0.0,0.0,0.4506221453608615,-0.03140313780257879,0.38362773720308385,0.49240600345336977,0.4165097272923299,0.4796238509704527,0.4631775322486135,0.43028489480493515,0.45057558323559993,-0.12334876792785206,0.5003329168316714,0.47474302751813985,0.505012922652195,0.4312932540684248,0.5715722184819504,0.49705735399410483,0.5203212112736372,0.0,0.5212450593365943,0.5263341538959039,0.5263341538959039,0.5354929073371263,0.531513564460409,0.5222978941465165,0.5275125308483527,0.5275125308483527,0.5275125308483527,0.5275125308483527,0.5328224466911149,0.5328224466911149,0.5328224466911149,0.5328224466911149,0.038164848433723045,0.5328224466911149,0.5328224466911149,0.5328224466911149,0.47682347330348557,0.5328224466911149,0.5328224466911149,0.5328224466911149,0.5328224466911149,0.5328224466911149,0.5328224466911149,0.5328224466911149,0.48186799258743895,-0.10994285420198996,0.49646232838239396,-0.004696179509177701
NAUSEA,0.0,0.4506221453608615,0.0,0.1911846300109785,0.6205020010480848,0.7452830527039132,0.6209598702978666,0.6127984159382428,0.7245093004250144,0.7854425101450716,0.678201145730789,0.1660336761434661,0.6749372180470041,0.7696211082805421,0.7109608249722849,0.7376008500324971,0.7809995696436451,0.6884760986052573,0.69348096619825,0.13805289783544838,0.7045788987241803,0.7102822065193393,0.7215931925551227,0.7102822065193393,0.7160929833333899,0.7160929833333899,0.7220148639649568,0.7220148639649568,0.7220148639649568,0.7220148639649568,0.7280516584018958,0.7280516584018958,0.7280516584018958,0.7280516584018958,0.33615475630341324,0.7280516584018958,0.7280516584018958,0.7280516584018958,0.716525278928411,0.7280516584018958,0.7280516584018958,0.7280516584018958,0.7280516584018958,0.7280516584018958,0.7280516584018958,0.7280516584018958,0.6645995929372461,0.0,0.6704190000362051,0.21498238451009008
DIZZINESS,0.0,-0.03140313780257879,0.1911846300109785,0.0,-0.04334952198277065,0.03379764549999934,-0.025779418644308657,-0.08410968244415482,-0.0011630815324389686,0.11288849472117032,0.02088561506243603,0.19626219961551641,-0.07828177489996468,-0.05487470129670498,-0.05389230038486035,0.03480170358491407,-0.006557024608431035,0.0,0.0,0.28213029651404464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3127687102580579,0.0,0.0,0.0,-0.04026808293030586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05098874277578233,0.0,0.27197816167728867
PAIN,0.0,0.38362773720308385,0.6205020010480848,-0.04334952198277065,0.0,0.7614732730235034,0.6604896024819333,0.651119286711996,0.7571055243111926,0.6723165342318353,0.7086591165254483,-0.054406367164983496,0.7045216673608701,0.769822253321059,0.7528805590551296,0.6349296079845916,0.7124598896092285,0.7291331040890722,0.7341416297275052,-0.06579130793297455,0.7455788930675998,0.751458055245708,0.751458055245708,0.751458055245708,0.7574490009139933,0.7574490009139933,0.7635555147757678,0.7635555147757678,0.7635555147757678,0.7635555147757678,0.7697815640685629,0.7697815640685629,0.7697815640685629,0.7697815640685629,-0.02415082397158652,0.7697815640685629,0.7697815640685629,0.7697815640685629,0.757752285461894,0.7697815640685629,0.7697815640685629,0.7697815640685629,0.7697815640685629,0.7697815640685629,0.7697815640685629,0.7697815640685629,0.7155939965442367,-0.04717615381548833,0.7094848987220231,-0.04613205935891412
ANXIETY,0.0,0.49240600345336977,0.7452830527039132,0.03379764549999934,0.7614732730235034,0.0,0.653990762734316,0.6758384377881878,0.7183939106054344,0.665199569583876,0.7230030679893366,-0.05367225405793913,0.7411660191185412,0.7625340093673234,0.756651159802068,0.6382464804467706,0.82979401918978,0.7213524606467487,0.7610740549637987,0.0,0.7610453057111973,0.7551635054438735,0.7551635054438735,0.7551635054438735,0.761171063272421,0.761171063272421,0.7672945960754889,0.7672945960754889,0.7672945960754889,0.7792927409864607,0.7735380854034888,0.7735380854034888,0.7735380854034888,0.7735380854034888,0.14564040221467744,0.7735380854034888,0.7735380854034888,0.7735380854034888,0.7735380854034888,0.7735380854034888,0.7735380854034888,0.7735380854034888,0.7735380854034888,0.7735380854034888,0.7735380854034888,0.7735380854034888,0.7069850890368229,0.0,0.7252336088742799,0.05238300039191561
MALAISE,0.0,0.4165097272923299,0.6209598702978666,-0.025779418644308657,0.6604896024819333,0.653990762734316,0.0,0.7236287052128831,0.7564398896931044,0.6908175207326618,0.7282221420057741,-0.0035781524928771165,0.734660704656018,0.7790693794884777,0.7844206422418013,0.6626551242649886,0.742564222375008,0.7714791562310012,0.7647418228722211,0.0,0.7764446360849617,0.7946427555199068,0.7946427555199068,0.7824613243700184,0.7885931080496403,0.8008502404366183,0.8071783236215371,0.7948438867079445,0.7948438867079445,0.7948438867079445,0.8012177480865941,0.8012177480865941,0.8012177480865941,0.8012177480865941,-0.018066674711756534,0.8012177480865941,0.8012177480865941,0.8012177480865941,0.7888043477411646,0.8012177480865941,0.8012177480865941,0.8012177480865941,0.8012177480865941,0.8012177480865941,0.8012177480865941,0.8012177480865941,0.732754493728026,-0.041878530489998025,0.738892841327311,0.0
DYSARTHRIA,0.0,0.4796238509704527,0.6127984159382428,-0.08410968244415482,0.651119286711996,0.6758384377881878,0.7236287052128831,0.0,0.7567954696868754,0.7336331334665779,0.7265598493667667,0.0,0.8030649477749595,0.7773627091402561,0.782623194374611,0.7145008634202616,0.798949243439985,0.8045820201709335,0.8727667573446783,0.062016018578334046,0.8343153549065476,0.86639762724223,0.8534988059222528,0.8534988059222528,0.8599850254268808,0.8599850254268808,0.8535376540533838,0.8535376540533838,0.8535376540533838,0.8535376540533838,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.0,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.7813324205914255,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.7876157007179224,0.0,0.8073440311335093,0.0748980735181978
HEADACHE,0.0,0.4631775322486135,0.7245093004250144,-0.0011630815324389686,0.7571055243111926,0.7183939106054344,0.7564398896931044,0.7567954696868754,0.0,0.7452143015767266,0.7963786773896959,-0.03794566444386366,0.8150537367326534,0.8863951292863813,0.8435202260313096,0.7145008634202616,0.798949243439985,0.8045820201709335,0.8220948361717818,0.0,0.8343153549065476,0.8534988059222528,0.8405999846022755,0.8405999846022755,0.847006044664314,0.8599850254268808,0.8535376540533838,0.8535376540533838,0.8535376540533838,0.8535376540533838,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,-0.020479131318124236,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8470546789446672,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8140754683519165,0.0,0.7940268319041399,0.0
MOTOR DYSFUNCTION,0.0,0.43028489480493515,0.7854425101450716,0.11288849472117032,0.6723165342318353,0.665199569583876,0.6908175207326618,0.7336331334665779,0.7452143015767266,0.0,0.7498327920410763,0.1163287775934219,0.7670985809018779,0.7894774224898256,0.7948026007059508,0.8614444502382314,0.798949243439985,0.8045820201709335,0.8220948361717818,0.13802390033767883,0.8343153549065476,0.8405999846022755,0.8405999846022755,0.8405999846022755,0.847006044664314,0.847006044664314,0.8535376540533838,0.8535376540533838,0.8535376540533838,0.8535376540533838,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.09782093371771097,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.7944768722620739,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.8601991306153156,0.7876157007179224,0.0,0.7940268319041399,0.1148496712063057
