year,quarter,cohort_cases,matched_reac_rows,matched_cases_with_reac,unmapped_reported_term_rows
2004,Q1,2,7,2,0
2004,Q2,6,23,6,0
2004,Q3,2,9,2,0
2004,Q4,9,61,9,0
2005,Q1,5,41,5,0
2005,Q2,3,24,3,0
2005,Q3,3,9,3,0
2005,Q4,1,6,1,0
2006,Q1,7,47,7,0
2006,Q2,6,44,6,0
2006,Q3,4,23,4,0
2006,Q4,7,29,7,0
2007,Q1,7,32,7,0
2007,Q2,10,45,10,0
2007,Q3,13,98,13,0
2007,Q4,9,66,9,0
2008,Q1,8,58,8,0
2008,Q2,8,42,8,0
2008,Q3,8,47,8,0
2008,Q4,6,42,6,0
2009,Q1,7,48,7,0
2009,Q2,7,28,7,0
2009,Q3,5,21,5,0
2009,Q4,7,57,7,0
2010,Q1,7,54,7,0
2010,Q2,8,47,8,0
2010,Q3,4,29,4,0
2010,Q4,9,59,9,0
2011,Q1,8,49,8,0
2011,Q2,4,9,4,0
2011,Q3,9,33,9,0
2011,Q4,7,34,7,0
2012,Q1,7,23,7,0
2012,Q2,16,73,16,0
2012,Q3,5,28,5,0
2012,Q4,17,106,17,0
2013,Q1,11,105,11,0
2013,Q2,10,42,10,0
2013,Q3,23,175,23,0
2013,Q4,17,60,17,0
2014,Q1,7,31,7,0
2014,Q2,15,55,15,0
2014,Q3,14,66,14,0
2014,Q4,11,47,11,0
2015,Q1,12,72,12,0
2015,Q2,14,98,14,0
2015,Q3,20,88,20,0
2015,Q4,7,22,7,0
2016,Q1,12,54,12,0
2016,Q2,13,80,13,0
2016,Q3,18,113,18,0
2016,Q4,21,166,21,0
2017,Q1,7,39,7,0
2017,Q2,10,46,10,0
2017,Q3,7,20,7,0
2017,Q4,1,5,1,0
2018,Q1,14,87,14,0
2018,Q2,19,86,19,0
2018,Q3,31,153,31,0
2018,Q4,41,158,41,0
2019,Q1,15,48,15,0
2019,Q2,20,113,20,0
2019,Q3,25,82,25,0
2019,Q4,26,111,26,0
2020,Q1,27,117,27,0
2020,Q2,21,100,21,0
2020,Q3,16,66,16,0
2020,Q4,9,112,9,0
2021,Q1,15,65,15,0
2021,Q2,6,102,6,0
2021,Q3,10,50,10,0
2021,Q4,9,82,9,0
2022,Q1,21,370,21,0
2022,Q2,15,418,15,0
2022,Q3,21,163,21,0
2022,Q4,9,258,9,0
2023,Q1,6,174,6,0
2023,Q2,6,84,6,0
2023,Q3,8,274,8,0
2023,Q4,3,10,3,0
2024,Q1,6,138,6,0
2024,Q2,23,366,23,0
2024,Q3,20,815,20,0
2024,Q4,9,457,9,0
2025,Q1,19,809,19,0
2025,Q2,24,658,24,0
2025,Q3,27,898,27,0
2025,Q4,21,510,21,0
