pt1,pt2,co_count,pt1_case_count,pt2_case_count,jaccard,lift,phi,community_id_pt1,community_id_pt2,same_community
ANXIETY,NAUSEA,94,115,128,0.6308724832214765,6.75625,0.7457550997242676,2,2,True
ANXIETY,PAIN,91,115,116,0.65,7.2172413793103445,0.7618936357660664,2,2,True
MOTOR DYSFUNCTION,NAUSEA,89,95,128,0.664179104477612,7.74358552631579,0.7857837430017276,1,2,False
ANXIETY,CONFUSIONAL STATE,89,115,221,0.3603238866396761,3.704977375565611,0.4853892108432358,2,2,True
CONFUSIONAL STATE,NAUSEA,89,221,128,0.3423076923076923,3.3286906108597285,0.4439240873634768,2,2,True
NAUSEA,VOMITING,83,128,86,0.6335877862595419,7.977289244186046,0.7699567501823535,2,2,True
HEADACHE,NAUSEA,83,95,128,0.5928571428571429,7.221546052631579,0.7249540656697727,2,2,True
AFFECT LABILITY,ANXIETY,82,82,115,0.7130434782608696,9.2,0.8300207384333889,1,2,False
AFFECT LABILITY,NAUSEA,82,82,128,0.640625,8.265625,0.7813012278286509,1,2,False
HEADACHE,PAIN,82,95,116,0.6356589147286822,7.872595281306715,0.7574831419240721,2,2,True
AFFECT LABILITY,CONFUSIONAL STATE,82,82,221,0.37104072398190047,4.787330316742081,0.5640902711344847,1,2,False
HEADACHE,VOMITING,81,95,86,0.81,10.489351285189718,0.8865460032972953,2,2,True
NAUSEA,PAIN,81,128,116,0.49693251533742333,5.771686422413793,0.62121073129263,2,2,True
PAIN,VOMITING,79,116,86,0.6422764227642277,8.378307939053729,0.7701519391220886,2,2,True
HEADACHE,MALAISE,79,95,108,0.6370967741935484,8.146393762183235,0.7568079335413193,2,2,True
GASTROINTESTINAL DISORDER,NAUSEA,79,84,128,0.5939849624060151,7.773623511904762,0.7379802331688496,1,2,False
GASTROINTESTINAL DISORDER,MOTOR DYSFUNCTION,78,84,95,0.7722772277227723,10.341353383458646,0.8616256624956538,1,1,True
ANXIETY,VOMITING,78,115,86,0.6341463414634146,8.344186046511627,0.7628740410719823,2,2,True
ANXIETY,MUSCULAR WEAKNESS,78,115,94,0.5954198473282443,7.634042553191489,0.7234303697452343,2,2,True
ANXIETY,HEADACHE,78,115,95,0.5909090909090909,7.553684210526316,0.7188317380537477,2,2,True
MUSCULAR WEAKNESS,NAUSEA,78,94,128,0.5416666666666666,6.858710106382978,0.6787204420615739,2,2,True
MALAISE,PAIN,78,108,116,0.5342465753424658,6.587164750957855,0.6610664186147583,2,2,True
MALAISE,NAUSEA,78,108,128,0.4936708860759494,5.969618055555555,0.6216366302555355,2,2,True
CONFUSIONAL STATE,DYSARTHRIA,78,221,95,0.3277310924369748,3.930650154798762,0.47298355887908167,2,1,False
PYREXIA,VOMITING,77,85,86,0.8191489361702128,11.144459644322845,0.8918628103000306,2,2,True
HEADACHE,PYREXIA,77,95,85,0.7475728155339806,10.088668730650156,0.8437270562509124,2,2,True
MUSCULAR WEAKNESS,VOMITING,77,94,86,0.7475728155339806,10.077436912419595,0.8431498018509077,2,2,True
HEADACHE,MUSCULAR WEAKNESS,77,95,94,0.6875,9.122732362821948,0.7966658715228064,2,2,True
MALAISE,PYREXIA,77,108,85,0.6637931034482759,8.874291938997821,0.7847198346627785,2,2,True
MALAISE,VOMITING,77,108,86,0.6581196581196581,8.771102497846684,0.7793791896490025,2,2,True
ANXIETY,PYREXIA,77,115,85,0.6260162601626016,8.334117647058823,0.7569967043355019,2,2,True
PAIN,PYREXIA,77,116,85,0.6209677419354839,8.262271805273834,0.7532325602895245,2,2,True
ANXIETY,FATIGUE,77,115,88,0.6111111111111112,8.05,0.741545254075631,2,1,False
MUSCULAR WEAKNESS,PAIN,77,94,116,0.5789473684210527,7.471203228173147,0.7091106240573907,2,2,True
NAUSEA,PYREXIA,77,128,85,0.5661764705882353,7.487683823529411,0.7113874998372821,2,2,True
ANXIETY,MALAISE,77,115,108,0.5273972602739726,6.559259259259259,0.6545759986668573,2,2,True
CONFUSIONAL STATE,FATIGUE,77,221,88,0.33189655172413796,4.1889140271493215,0.49355060390777283,2,1,False
COORDINATION ABNORMAL,DYSARTHRIA,76,78,95,0.7835051546391752,10.851282051282052,0.8729224764686863,1,1,True
MUSCULAR WEAKNESS,PYREXIA,76,94,85,0.7378640776699029,10.063579474342928,0.8365236038824844,2,2,True
FATIGUE,HEADACHE,76,88,95,0.7102803738317757,9.618181818181819,0.8153043889082547,1,2,False
MALAISE,MUSCULAR WEAKNESS,76,108,94,0.6031746031746031,7.920409771473602,0.7286304145186485,2,2,True
DYSARTHRIA,MALAISE,76,95,108,0.5984251968503937,7.837037037037037,0.7240468470862287,1,2,False
CONFUSIONAL STATE,PYREXIA,76,221,85,0.33043478260869563,4.280436518498802,0.49821647936824176,2,2,True
CONFUSIONAL STATE,HEADACHE,76,221,95,0.31666666666666665,3.8298642533936653,0.45671751830328594,2,2,True
CONFUSIONAL STATE,MALAISE,76,221,108,0.30039525691699603,3.3688620747444276,0.4104150309742114,2,2,True
FATIGUE,MUSCULAR WEAKNESS,75,88,94,0.7009345794392523,9.592601547388782,0.8081752609501722,1,2,False
DYSARTHRIA,FATIGUE,75,95,88,0.6944444444444444,9.491626794258373,0.8033319255024013,1,1,True
FATIGUE,NAUSEA,75,88,128,0.5319148936170213,7.044566761363637,0.6754359281717972,1,2,False
CONFUSIONAL STATE,PAIN,75,221,116,0.2862595419847328,3.0952566703073803,0.3778106387043831,2,2,True
CEREBROVASCULAR ACCIDENT,FATIGUE,74,75,88,0.8314606741573034,11.862424242424243,0.9037245959726566,1,1,True
CEREBROVASCULAR ACCIDENT,DYSARTHRIA,74,75,95,0.7708333333333334,10.988350877192982,0.8665553781363599,1,1,True
FATIGUE,PYREXIA,74,88,85,0.7474747474747475,10.466844919786096,0.842779133854594,1,2,False
FATIGUE,VOMITING,74,88,86,0.74,10.345137420718816,0.8372540445644265,1,2,False
MALAISE,PNEUMONIA,74,108,81,0.6434782608695652,8.949702789208962,0.7717847535661397,2,1,False
DYSARTHRIA,HEADACHE,74,95,95,0.6379310344827587,8.675013850415512,0.7571405148384981,1,2,False
ANXIETY,COORDINATION ABNORMAL,74,115,78,0.6218487394957983,8.728205128205127,0.7613879132317423,2,1,False
FATIGUE,MALAISE,74,88,108,0.6065573770491803,8.237794612794612,0.7350413971199881,1,2,False
