,DYSARTHRIA,MOTOR DYSFUNCTION,FATIGUE,GASTROINTESTINAL DISORDER,AFFECT LABILITY,PNEUMONIA,COORDINATION ABNORMAL,APHASIA,CEREBROVASCULAR ACCIDENT,DYSPHAGIA,EATING DISORDER,CYSTITIS,NASOPHARYNGITIS,MUSCLE SPASTICITY,PSORIASIS,SKIN EXFOLIATION,SNEEZING,ADJUSTMENT DISORDER,CAROTID ARTERY THROMBOSIS,HEMIPARESIS,HEMIPLEGIA,INFLUENZA,INFLUENZA LIKE ILLNESS,NEUROLOGIC NEGLECT SYNDROME,PALPITATIONS,PERSONALITY DISORDER,RESPIRATORY TRACT CONGESTION,RHINORRHOEA,SENSORY LOSS,SINUS CONGESTION,SINUS DISORDER,SKIN HAEMORRHAGE,BLOOD PRESSURE INCREASED,COUGH,CONFUSIONAL STATE,NAUSEA,PAIN,ANXIETY,MALAISE,HEADACHE,MUSCULAR WEAKNESS,VOMITING,PYREXIA,DIZZINESS,HYPOTENSION,SYNCOPE,HYPONATRAEMIA,COGNITIVE DISORDER,DRUG INTERACTION,HEAD INJURY
DYSARTHRIA,0.0,0.6101694915254238,0.6944444444444444,0.584070796460177,0.6857142857142857,0.6923076923076923,0.7835051546391752,0.7272727272727273,0.7708333333333334,0.7525773195876289,0.7525773195876289,0.7604166666666666,0.7604166666666666,0.75,0.75,0.75,0.75,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.6534653465346535,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.66,0.6836734693877551,0.3277310924369748,0.4768211920529801,0.5179856115107914,0.5441176470588235,0.5984251968503937,0.6379310344827587,0.6016949152542372,0.6605504587155964,0.6666666666666666,0.013953488372093023,0.0,0.07407407407407407,0.0,0.0,0.0784313725490196,0.0
MOTOR DYSFUNCTION,0.6101694915254238,0.0,0.6486486486486487,0.7722772277227723,0.6857142857142857,0.6923076923076923,0.7128712871287128,0.7272727272727273,0.7346938775510204,0.7346938775510204,0.7346938775510204,0.7422680412371134,0.7422680412371134,0.75,0.75,0.75,0.75,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.67,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.7578947368421053,0.66,0.6666666666666666,0.29508196721311475,0.664179104477612,0.5401459854014599,0.5328467153284672,0.5615384615384615,0.6239316239316239,0.6293103448275862,0.6759259259259259,0.6822429906542056,0.11224489795918367,0.10778443113772455,0.11538461538461539,0.0915032679738562,0.13793103448275862,0.1,0.0
FATIGUE,0.6944444444444444,0.6486486486486487,0.0,0.6226415094339622,0.7346938775510204,0.7422680412371134,0.7849462365591398,0.782608695652174,0.8314606741573034,0.8111111111111111,0.8111111111111111,0.8202247191011236,0.8202247191011236,0.8089887640449438,0.8089887640449438,0.8089887640449438,0.8295454545454546,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7391304347826086,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7282608695652174,0.7555555555555555,0.33189655172413796,0.5319148936170213,0.5692307692307692,0.6111111111111112,0.6065573770491803,0.7102803738317757,0.7009345794392523,0.74,0.7474747474747475,0.014423076923076924,0.0,0.0,0.01910828025477707,0.0,0.0,0.025
GASTROINTESTINAL DISORDER,0.584070796460177,0.7722772277227723,0.6226415094339622,0.0,0.66,0.7010309278350515,0.6875,0.7021276595744681,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.717391304347826,0.717391304347826,0.7252747252747253,0.7252747252747253,0.7252747252747253,0.7252747252747253,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7415730337078652,0.75,0.2815126050420168,0.5939849624060151,0.4925373134328358,0.49624060150375937,0.5238095238095238,0.584070796460177,0.6181818181818182,0.6346153846153846,0.6407766990291263,0.06701030927835051,0.10126582278481013,0.08666666666666667,0.09090909090909091,0.11594202898550725,0.06944444444444445,0.0
AFFECT LABILITY,0.6857142857142857,0.6857142857142857,0.7346938775510204,0.66,0.0,0.7912087912087912,0.8181818181818182,0.8372093023255814,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8571428571428571,0.8571428571428571,0.8674698795180723,0.8674698795180723,0.8674698795180723,0.8674698795180723,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.75,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.7586206896551724,0.7674418604651163,0.37104072398190047,0.640625,0.5714285714285714,0.7130434782608696,0.6101694915254238,0.6857142857142857,0.6761904761904762,0.75,0.7578947368421053,0.04591836734693878,0.0,0.0,0.06944444444444445,0.07042253521126761,0.06293706293706294,0.0
PNEUMONIA,0.6923076923076923,0.6923076923076923,0.7422680412371134,0.7010309278350515,0.7912087912087912,0.0,0.8275862068965517,0.8470588235294118,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8674698795180723,0.8674698795180723,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7586206896551724,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7674418604651163,0.7764705882352941,0.31877729257641924,0.5367647058823529,0.5887096774193549,0.5806451612903226,0.6434782608695652,0.6923076923076923,0.7156862745098039,0.7578947368421053,0.7659574468085106,0.0,0.0,0.0,0.0,0.0,0.02027027027027027,0.0
COORDINATION ABNORMAL,0.7835051546391752,0.7128712871287128,0.7849462365591398,0.6875,0.8181818181818182,0.8275862068965517,0.0,0.8780487804878049,0.9125,0.9125,0.9125,0.9240506329113924,0.9,0.9113924050632911,0.9113924050632911,0.9113924050632911,0.9113924050632911,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.7857142857142857,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.7951807228915663,0.8271604938271605,0.3288888888888889,0.5373134328358209,0.5901639344262295,0.6218487394957983,0.631578947368421,0.7128712871287128,0.7029702970297029,0.782608695652174,0.7912087912087912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APHASIA,0.7272727272727273,0.7272727272727273,0.782608695652174,0.7021276595744681,0.8372093023255814,0.8470588235294118,0.8780487804878049,0.0,0.9113924050632911,0.9113924050632911,0.9113924050632911,0.9230769230769231,0.9230769230769231,0.935064935064935,0.935064935064935,0.935064935064935,0.935064935064935,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8048780487804879,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8148148148148148,0.825,0.32589285714285715,0.5454545454545454,0.6,0.6186440677966102,0.6428571428571429,0.7272727272727273,0.7171717171717171,0.8,0.8295454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEREBROVASCULAR ACCIDENT,0.7708333333333334,0.7346938775510204,0.8314606741573034,0.7096774193548387,0.8470588235294118,0.8571428571428571,0.9125,0.9113924050632911,0.0,0.948051948051948,0.948051948051948,0.9605263157894737,0.9605263157894737,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.8148148148148148,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.825,0.8589743589743589,0.3273542600896861,0.549618320610687,0.6050420168067226,0.6101694915254238,0.6636363636363637,0.7525773195876289,0.7244897959183674,0.8089887640449438,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DYSPHAGIA,0.7525773195876289,0.7346938775510204,0.8111111111111111,0.7096774193548387,0.8470588235294118,0.8571428571428571,0.9125,0.9113924050632911,0.948051948051948,0.0,0.948051948051948,0.9605263157894737,0.935064935064935,0.9733333333333334,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.8148148148148148,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.825,0.8589743589743589,0.3273542600896861,0.5615384615384615,0.6050420168067226,0.6101694915254238,0.6636363636363637,0.7346938775510204,0.7244897959183674,0.8295454545454546,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
