,DYSARTHRIA,MOTOR DYSFUNCTION,FATIGUE,GASTROINTESTINAL DISORDER,AFFECT LABILITY,PNEUMONIA,COORDINATION ABNORMAL,APHASIA,CEREBROVASCULAR ACCIDENT,DYSPHAGIA,EATING DISORDER,CYSTITIS,NASOPHARYNGITIS,MUSCLE SPASTICITY,PSORIASIS,SKIN EXFOLIATION,SNEEZING,ADJUSTMENT DISORDER,CAROTID ARTERY THROMBOSIS,HEMIPARESIS,HEMIPLEGIA,INFLUENZA,INFLUENZA LIKE ILLNESS,NEUROLOGIC NEGLECT SYNDROME,PALPITATIONS,PERSONALITY DISORDER,RESPIRATORY TRACT CONGESTION,RHINORRHOEA,SENSORY LOSS,SINUS CONGESTION,SINUS DISORDER,SKIN HAEMORRHAGE,BLOOD PRESSURE INCREASED,COUGH,CONFUSIONAL STATE,NAUSEA,PAIN,ANXIETY,MALAISE,HEADACHE,MUSCULAR WEAKNESS,VOMITING,PYREXIA,DIZZINESS,HYPOTENSION,SYNCOPE,HYPONATRAEMIA,COGNITIVE DISORDER,DRUG INTERACTION,HEAD INJURY
DYSARTHRIA,0.0,8.4405540166205,9.491626794258373,8.750375939849624,9.778690629011553,9.899415204678363,10.851282051282052,10.550692520775623,10.988350877192982,10.839859649122808,10.839859649122808,10.986344238975818,10.986344238975818,10.984282624369142,10.984282624369142,10.984282624369142,10.984282624369142,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,10.208771929824561,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,10.352557449962935,10.659548872180451,3.930650154798762,6.264473684210526,6.912522686025408,7.166315789473685,7.837037037037037,8.675013850415512,8.411870100783874,9.323867809057527,9.433560371517029,0.2716302952503209,0.0,1.691672218520986,0.0,0.0,1.909172932330827,0.0
MOTOR DYSFUNCTION,8.4405540166205,0.0,9.111961722488038,10.341353383458646,9.778690629011553,9.899415204678363,10.280161943319838,10.550692520775623,10.691368421052632,10.691368421052632,10.691368421052632,10.835846372688478,10.835846372688478,10.984282624369142,10.984282624369142,10.984282624369142,10.984282624369142,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,10.36345029239766,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,11.136842105263158,10.352557449962935,10.500451127819549,3.6282924505834724,7.74358552631579,7.1045372050816695,7.069473684210526,7.527680311890839,8.557783933518005,8.648824188129899,9.453365973072215,9.564582043343654,1.9919554985023535,2.2273684210526317,2.537508327781479,2.165497076023392,3.181954887218045,2.386466165413534,0.0
FATIGUE,9.491626794258373,9.111961722488038,0.0,9.446428571428571,10.556541019955654,10.686868686868687,11.252039627039627,11.389952153110048,11.862424242424243,11.702121212121211,11.702121212121211,11.860257985257986,11.860257985257986,11.858032378580324,11.858032378580324,11.858032378580324,12.022727272727273,12.022727272727273,12.022727272727273,12.022727272727273,12.022727272727273,12.022727272727273,12.022727272727273,12.022727272727273,11.35479797979798,12.022727272727273,12.022727272727273,12.022727272727273,12.022727272727273,12.022727272727273,12.022727272727273,12.022727272727273,11.34539052496799,11.67922077922078,4.1889140271493215,7.044566761363637,7.669670846394984,8.05,8.237794612794612,9.618181818181819,9.592601547388782,10.345137420718816,10.466844919786096,0.2932372505543237,0.0,0.0,0.5009469696969697,0.0,0.0,0.6327751196172249
GASTROINTESTINAL DISORDER,8.750375939849624,10.341353383458646,9.446428571428571,0.0,10.137630662020905,10.573780129335685,10.657509157509157,10.93796992481203,11.083809523809524,11.083809523809524,11.083809523809524,11.233590733590734,11.233590733590734,11.38747553816047,11.38747553816047,11.38747553816047,11.38747553816047,11.545634920634921,11.545634920634921,11.545634920634921,11.545634920634921,11.545634920634921,11.545634920634921,11.545634920634921,11.545634920634921,11.545634920634921,11.545634920634921,11.545634920634921,11.545634920634921,11.545634920634921,11.545634920634921,11.545634920634921,11.70824949698189,11.875510204081632,3.818465847877613,7.773623511904762,7.166256157635468,7.228571428571429,7.697089947089947,8.750375939849624,9.11144883485309,9.66611295681063,9.77983193277311,1.3312040263259775,2.2391534391534393,2.0726341169379143,2.2741402116402116,2.8789115646258505,1.7993197278911566,0.0
AFFECT LABILITY,9.778690629011553,9.778690629011553,10.556541019955654,10.137630662020905,0.0,11.468834688346883,11.909943714821763,12.223363286264442,12.386341463414634,12.386341463414634,12.386341463414634,12.553724456163481,12.553724456163481,12.725693284330104,12.725693284330104,12.725693284330104,12.725693284330104,12.902439024390244,12.902439024390244,12.902439024390244,12.902439024390244,12.902439024390244,12.902439024390244,12.902439024390244,11.827235772357724,12.902439024390244,12.902439024390244,12.902439024390244,12.902439024390244,12.902439024390244,12.902439024390244,12.902439024390244,11.99381655788389,12.165156794425087,4.787330316742081,8.265625,8.008410428931876,9.2,8.601626016260163,9.778690629011553,9.74545926310327,10.80204197390811,10.929124820659972,0.9440809042236764,0.0,0.0,1.7920054200542006,1.843205574912892,1.6588850174216028,0.0
PNEUMONIA,9.899415204678363,9.899415204678363,10.686868686868687,10.573780129335685,11.468834688346883,0.0,12.056980056980057,12.374269005847953,12.539259259259259,12.539259259259259,12.539259259259259,12.70870870870871,12.70870870870871,12.882800608828006,12.882800608828006,12.882800608828006,12.882800608828006,13.061728395061728,13.061728395061728,13.061728395061728,13.061728395061728,13.061728395061728,13.061728395061728,13.061728395061728,11.973251028806585,13.061728395061728,13.061728395061728,13.061728395061728,13.061728395061728,13.061728395061728,13.061728395061728,13.061728395061728,12.14188836724048,12.315343915343915,4.31450756940953,7.449266975308642,8.21988080034057,8.177777777777777,8.949702789208962,9.899415204678363,10.143682689781981,10.935400516795866,11.0640522875817,0.0,0.0,0.0,0.0,0.0,0.5597883597883598,0.0
COORDINATION ABNORMAL,10.851282051282052,10.280161943319838,11.252039627039627,10.657509157509157,11.909943714821763,12.056980056980057,0.0,12.850202429149798,13.202393162393163,13.202393162393163,13.202393162393163,13.380803880803882,13.197505197505198,13.378292939936776,13.378292939936776,13.378292939936776,13.378292939936776,13.564102564102564,13.564102564102564,13.564102564102564,13.564102564102564,13.564102564102564,13.564102564102564,13.564102564102564,12.433760683760683,13.564102564102564,13.564102564102564,13.564102564102564,13.564102564102564,13.564102564102564,13.564102564102564,13.564102564102564,12.608884073672806,12.982783882783883,4.541826197934795,7.6298076923076925,8.419098143236074,8.728205128205127,9.042735042735043,10.280161943319838,10.245226404800873,11.355992844364938,11.489592760180996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APHASIA,10.550692520775623,10.550692520775623,11.389952153110048,10.93796992481203,12.223363286264442,12.374269005847953,12.850202429149798,0.0,13.364210526315789,13.364210526315789,13.364210526315789,13.544807965860597,13.544807965860597,13.730353280461427,13.730353280461427,13.730353280461427,13.730353280461427,13.921052631578947,13.921052631578947,13.921052631578947,13.921052631578947,13.921052631578947,13.921052631578947,13.921052631578947,12.760964912280702,13.921052631578947,13.921052631578947,13.921052631578947,13.921052631578947,13.921052631578947,13.921052631578947,13.921052631578947,12.94069681245367,13.125563909774437,4.598356751607525,7.8305921052631575,8.640653357531761,8.836842105263157,9.280701754385966,10.550692520775623,10.514837625979844,11.65483476132191,11.955727554179566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEREBROVASCULAR ACCIDENT,10.988350877192982,10.691368421052632,11.862424242424243,11.083809523809524,12.386341463414634,12.539259259259259,13.202393162393163,13.364210526315789,0.0,13.730488888888889,13.730488888888889,13.916036036036036,13.916036036036036,13.913424657534247,13.913424657534247,13.913424657534247,13.913424657534247,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,12.931111111111111,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,13.113239436619718,13.502095238095238,4.659668174962293,7.935,8.755862068965516,8.832,9.535061728395062,10.839859649122808,10.655035460992908,11.810232558139536,11.949176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DYSPHAGIA,10.839859649122808,10.691368421052632,11.702121212121211,11.083809523809524,12.386341463414634,12.539259259259259,13.202393162393163,13.364210526315789,13.730488888888889,0.0,13.730488888888889,13.916036036036036,13.725405405405406,14.106666666666667,13.913424657534247,13.913424657534247,13.913424657534247,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,12.931111111111111,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,14.106666666666667,13.113239436619718,13.502095238095238,4.659668174962293,8.045208333333333,8.755862068965516,8.832,9.535061728395062,10.691368421052632,10.655035460992908,11.974263565891473,11.949176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
