pt,case_count,case_percent,community_id,phenotype_column,phenotype_layer,phenotype_label,community_name,degree,co_count_strength,jaccard_strength
DYSARTHRIA,95,8.9792,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,45,3054,29.380354
MOTOR DYSFUNCTION,95,8.9792,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,48,3145,30.015123
FATIGUE,88,8.3176,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,45,3054,31.64632
GASTROINTESTINAL DISORDER,84,7.9395,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,48,2883,29.083103
AFFECT LABILITY,82,7.7505,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,46,3067,33.531639
PNEUMONIA,81,7.656,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,43,3011,33.479801
COORDINATION ABNORMAL,78,7.3724,1,pheno_gait_balance_motor,prodrome,Gait / balance / motor control abnormality,Gait / balance / motor control abnormality,42,3013,34.730345
APHASIA,76,7.1834,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,3002,35.336879
CEREBROVASCULAR ACCIDENT,75,7.0888,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,3012,35.980237
DYSPHAGIA,75,7.0888,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,3011,35.956728
EATING DISORDER,75,7.0888,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,3008,35.889278
CYSTITIS,74,6.9943,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,3007,36.315952
NASOPHARYNGITIS,74,6.9943,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,3005,36.265623
MUSCLE SPASTICITY,73,6.8998,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,3001,36.62903
PSORIASIS,73,6.8998,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,36.58769
SKIN EXFOLIATION,73,6.8998,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,36.58769
SNEEZING,73,6.8998,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,3003,36.670307
ADJUSTMENT DISORDER,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
CAROTID ARTERY THROMBOSIS,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
HEMIPARESIS,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
HEMIPLEGIA,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
INFLUENZA,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
INFLUENZA LIKE ILLNESS,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
NEUROLOGIC NEGLECT SYNDROME,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
PALPITATIONS,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,46,2838,32.936213
PERSONALITY DISORDER,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
RESPIRATORY TRACT CONGESTION,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
RHINORRHOEA,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
SENSORY LOSS,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
SINUS CONGESTION,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
SINUS DISORDER,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
SKIN HAEMORRHAGE,72,6.8053,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2999,37.038823
BLOOD PRESSURE INCREASED,71,6.7108,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2777,32.512844
COUGH,70,6.6163,1,,,Unmapped / other PT,Gait / balance / motor control abnormality,42,2784,33.050643
CONFUSIONAL STATE,221,20.8885,2,pheno_consciousness_cognition,prodrome,Consciousness / cognition change,Consciousness / cognition change,48,3173,13.827677
NAUSEA,128,12.0983,2,,,Unmapped / other PT,Consciousness / cognition change,48,3326,24.313251
PAIN,116,10.9641,2,,,Unmapped / other PT,Consciousness / cognition change,49,3112,25.006507
ANXIETY,115,10.8696,2,,,Unmapped / other PT,Consciousness / cognition change,47,3189,25.813073
MALAISE,108,10.2079,2,,,Unmapped / other PT,Consciousness / cognition change,47,3094,26.530618
HEADACHE,95,8.9792,2,,,Unmapped / other PT,Consciousness / cognition change,46,3099,29.970977
MUSCULAR WEAKNESS,94,8.8847,2,,,Unmapped / other PT,Consciousness / cognition change,48,3062,29.536569
VOMITING,86,8.1285,2,,,Unmapped / other PT,Consciousness / cognition change,47,3083,32.601102
PYREXIA,85,8.034,2,,,Unmapped / other PT,Consciousness / cognition change,47,3075,32.810338
DIZZINESS,123,11.6257,3,pheno_dizziness_vertigo_syncope,prodrome,Dizziness / vertigo / syncope,Dizziness / vertigo / syncope,21,360,1.934296
HYPOTENSION,90,8.5066,3,pheno_hypotension,prodrome,Hypotension / orthostatic hypotension,Dizziness / vertigo / syncope,18,259,1.663546
SYNCOPE,79,7.4669,3,pheno_dizziness_vertigo_syncope,prodrome,Dizziness / vertigo / syncope,Dizziness / vertigo / syncope,10,212,1.484713
HYPONATRAEMIA,72,6.8053,3,,,Unmapped / other PT,Dizziness / vertigo / syncope,19,317,2.262589
COGNITIVE DISORDER,70,6.6163,3,pheno_consciousness_cognition,prodrome,Consciousness / cognition change,Dizziness / vertigo / syncope,18,337,2.441411
DRUG INTERACTION,70,6.6163,3,,,Unmapped / other PT,Dizziness / vertigo / syncope,17,260,1.84298
HEAD INJURY,76,7.1834,4,pheno_fracture_injury,consequence,Fracture / injury consequence,Fracture / injury consequence,9,37,0.199519
