,DYSARTHRIA,MOTOR DYSFUNCTION,FATIGUE,GASTROINTESTINAL DISORDER,AFFECT LABILITY,PNEUMONIA,COORDINATION ABNORMAL,APHASIA,CEREBROVASCULAR ACCIDENT,DYSPHAGIA,EATING DISORDER,CYSTITIS,NASOPHARYNGITIS,MUSCLE SPASTICITY,PSORIASIS,SKIN EXFOLIATION,SNEEZING,ADJUSTMENT DISORDER,CAROTID ARTERY THROMBOSIS,HEMIPARESIS,HEMIPLEGIA,INFLUENZA,INFLUENZA LIKE ILLNESS,NEUROLOGIC NEGLECT SYNDROME,PALPITATIONS,PERSONALITY DISORDER,RESPIRATORY TRACT CONGESTION,RHINORRHOEA,SENSORY LOSS,SINUS CONGESTION,SINUS DISORDER,SKIN HAEMORRHAGE,BLOOD PRESSURE INCREASED,COUGH,CONFUSIONAL STATE,NAUSEA,PAIN,ANXIETY,MALAISE,HEADACHE,MUSCULAR WEAKNESS,VOMITING,PYREXIA,DIZZINESS,HYPOTENSION,SYNCOPE,HYPONATRAEMIA,COGNITIVE DISORDER,DRUG INTERACTION,HEAD INJURY
DYSARTHRIA,0.0,0.7340110400612122,0.8033319255024013,0.714877441162685,0.7992091008685959,0.8048322233018876,0.8729224764686863,0.8345158213314855,0.8665553781363599,0.8536727838149992,0.8536727838149992,0.8601486306071312,0.8601486306071312,0.8537069950850507,0.8537069950850507,0.8537069950850507,0.8537069950850507,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.7815885111781397,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.7878610703465195,0.8075623272487785,0.47298355887908167,0.6134329905611887,0.651665939516278,0.6763437715256753,0.7240468470862287,0.7571405148384981,0.7269455264193161,0.7776602969280242,0.7829114776708777,-0.082975004217053,0.0,0.06171222303654366,0.0,0.0,0.07600911997238488,0.0
MOTOR DYSFUNCTION,0.7340110400612122,0.0,0.7674145352848407,0.8616256624956538,0.7992091008685959,0.8048322233018876,0.8223155020253388,0.8345158213314855,0.8407901894936387,0.8407901894936387,0.8407901894936387,0.847185875619063,0.847185875619063,0.8537069950850507,0.8537069950850507,0.8537069950850507,0.8537069950850507,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.7947167363135063,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.8603578619903393,0.7878610703465195,0.7942613598437532,0.42418543715169443,0.7857837430017276,0.6728293799978369,0.6657217798936571,0.6912857606311382,0.7455757774498551,0.7501856414538128,0.7897587087468321,0.7950745933868846,0.11300238207964533,0.11754581737974644,0.13717922204174096,0.09892080413907615,0.1824168592125876,0.1159120221874609,0.0
FATIGUE,0.8033319255024013,0.7674145352848407,0.0,0.7471172214869827,0.8343306816005743,0.8401060438400935,0.8711641771310923,0.8706028184243448,0.9037245959726566,0.8903878133115637,0.8903878133115637,0.8970443633639709,0.8970443633639709,0.8903277629801514,0.8903277629801514,0.8903277629801514,0.903832275728646,0.8971649982661825,0.8971649982661825,0.8971649982661825,0.8971649982661825,0.8971649982661825,0.8971649982661825,0.8971649982661825,0.8428007045568112,0.8971649982661825,0.8971649982661825,0.8971649982661825,0.8971649982661825,0.8971649982661825,0.8971649982661825,0.8971649982661825,0.8357434014279157,0.8561809917452753,0.49355060390777283,0.6754359281717972,0.7049582767040107,0.741545254075631,0.7350413971199881,0.8153043889082547,0.8081752609501722,0.8372540445644265,0.842779133854594,-0.07721041216071353,0.0,0.0,-0.04061906822047063,0.0,0.0,-0.030770788079239452
GASTROINTESTINAL DISORDER,0.714877441162685,0.8616256624956538,0.7471172214869827,0.0,0.7778140470371757,0.8095409860987598,0.8001281624350305,0.8119118778379038,0.8179724394837778,0.8179724394837778,0.8179724394837778,0.8241504872454061,0.8241504872454061,0.8304500077016459,0.8304500077016459,0.8304500077016459,0.8304500077016459,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8368751799687153,0.8434303878403685,0.8501202328775619,0.4253107394608203,0.7379802331688496,0.6354556858335957,0.6387658470917174,0.6631264816015984,0.714877441162685,0.743847670955769,0.7570082337484522,0.7620779744647492,0.035277883571203796,0.11096060786348806,0.08948164731410416,0.1011125766202402,0.14687133816274636,0.06248147079696849,0.0
AFFECT LABILITY,0.7992091008685959,0.7992091008685959,0.8343306816005743,0.7778140470371757,0.0,0.8737266587797666,0.8921518715807183,0.9050156520957502,0.91163311772652,0.91163311772652,0.91163311772652,0.9183798235641797,0.9183798235641797,0.9252601587839483,0.9252601587839483,0.9252601587839483,0.9252601587839483,0.9322787246538932,0.9322787246538932,0.9322787246538932,0.9322787246538932,0.9322787246538932,0.9322787246538932,0.9322787246538932,0.848061606255343,0.9322787246538932,0.9322787246538932,0.9322787246538932,0.9322787246538932,0.9322787246538932,0.9322787246538932,0.9322787246538932,0.8546751984031546,0.8614248409977247,0.5640902711344847,0.7813012278286509,0.7128613812858461,0.8300207384333889,0.74291408435193,0.7992091008685959,0.7915713159614068,0.8451127783550442,0.8506404495734534,-0.0058788030091267394,0.0,0.0,0.062035167868875286,0.06505580187287772,0.05083492617421974,0.0
PNEUMONIA,0.8048322233018876,0.8048322233018876,0.8401060438400935,0.8095409860987598,0.8737266587797666,0.0,0.898185453821651,0.9111078219117824,0.9177555750379947,0.9177555750379947,0.9177555750379947,0.924533260916834,0.924533260916834,0.931445292635987,0.931445292635987,0.931445292635987,0.931445292635987,0.9384962965431443,0.9384962965431443,0.9384962965431443,0.9384962965431443,0.9384962965431443,0.9384962965431443,0.9384962965431443,0.8538042902532562,0.9384962965431443,0.9384962965431443,0.9384962965431443,0.9384962965431443,0.9384962965431443,0.9384962965431443,0.9384962965431443,0.8604479980304185,0.8672284836736615,0.49039682595105644,0.6889204769573595,0.7295058825070593,0.7217359029680267,0.7717847535661397,0.8048322233018876,0.8221324377394631,0.850935612823014,0.8564877479720099,0.0,0.0,0.0,0.0,0.0,-0.03373861864848435,0.0
COORDINATION ABNORMAL,0.8729224764686863,0.8223155020253388,0.8711641771310923,0.8001281624350305,0.8921518715807183,0.898185453821651,0.0,0.930060253282537,0.950896283888048,0.950896283888048,0.950896283888048,0.9578586341341415,0.9436774688307086,0.9506887060664776,0.9506887060664776,0.9506887060664776,0.9506887060664776,0.9578412301238324,0.9578412301238324,0.9578412301238324,0.9578412301238324,0.9578412301238324,0.9578412301238324,0.9578412301238324,0.8716680990463651,0.9578412301238324,0.9578412301238324,0.9578412301238324,0.9578412301238324,0.9578412301238324,0.9578412301238324,0.9578412301238324,0.8784060855306912,0.899834287944379,0.5134461684527896,0.6939029043712017,0.7344951338799063,0.7613879132317423,0.7650469714631833,0.8223155020253388,0.8144739985236733,0.869044666053029,0.8746734297797439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APHASIA,0.8345158213314855,0.8345158213314855,0.8706028184243448,0.8119118778379038,0.9050156520957502,0.9111078219117824,0.930060253282537,0.0,0.9501043713420733,0.9501043713420733,0.9501043713420733,0.9570472517481861,0.9570472517481861,0.9641282825330749,0.9641282825330749,0.9641282825330749,0.9641282825330749,0.9713522231683216,0.9713522231683216,0.9713522231683216,0.9713522231683216,0.9713522231683216,0.9713522231683216,0.9713522231683216,0.8841415432538541,0.9713522231683216,0.9713522231683216,0.9713522231683216,0.9713522231683216,0.9713522231683216,0.9713522231683216,0.9713522231683216,0.8909458752158882,0.897890848054326,0.5143854534394467,0.7049736988346305,0.7459077035274998,0.7613515265461555,0.7767267644078182,0.8345158213314855,0.826566583093517,0.8816858365677599,0.9008351395741403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEREBROVASCULAR ACCIDENT,0.8665553781363599,0.8407901894936387,0.9037245959726566,0.8179724394837778,0.91163311772652,0.9177555750379947,0.950896283888048,0.9501043713420733,0.0,0.9712987453374025,0.9712987453374025,0.9783661795493205,0.9783661795493205,0.9710433548992962,0.9710433548992962,0.9710433548992962,0.9710433548992962,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.8905587061990204,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.8973973290645076,0.9191940901166145,0.5194323454406146,0.7106632353716373,0.7517743311663354,0.7554741790053355,0.7948965540892846,0.8536727838149992,0.8327855018199688,0.8881882077811565,0.893898834358587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DYSPHAGIA,0.8536727838149992,0.8407901894936387,0.8903878133115637,0.8179724394837778,0.91163311772652,0.9177555750379947,0.950896283888048,0.9501043713420733,0.9712987453374025,0.0,0.9712987453374025,0.9783661795493205,0.963926256861368,0.9855744629385524,0.9710433548992962,0.9710433548992962,0.9710433548992962,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.8905587061990204,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.9783041998811366,0.8973973290645076,0.9191940901166145,0.5194323454406146,0.7219568201923414,0.7517743311663354,0.7554741790053355,0.7948965540892846,0.8407901894936387,0.8327855018199688,0.9016652912770183,0.893898834358587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
