pt1,pt2,co_count,pt1_case_count,pt2_case_count,jaccard,lift,phi,community_id_pt1,community_id_pt2,same_community
CONFUSIONAL STATE,COORDINATION ABNORMAL,74,221,78,0.3288888888888889,4.541826197934795,0.5134461684527896,2,2,True
COGNITIVE DISORDER,DIZZINESS,45,70,123,0.30405405405405406,5.529616724738676,0.43729927121649054,1,1,True
COGNITIVE DISORDER,MOBILITY DECREASED,42,70,48,0.5526315789473685,13.225,0.7093806653469916,1,1,True
DIZZINESS,MOBILITY DECREASED,40,123,48,0.3053435114503817,7.168021680216802,0.48769979567811933,1,1,True
DIZZINESS,SYNCOPE,34,123,79,0.20238095238095238,3.701965627251209,0.2783868839842121,1,1,True
COGNITIVE DISORDER,HYPOTENSION,32,70,90,0.25,5.373968253968254,0.35500114222064705,1,1,True
HYPOTENSION,MOBILITY DECREASED,31,90,48,0.2897196261682243,7.592129629629629,0.43819684540372333,1,1,True
HYPOTENSION,SYNCOPE,31,90,79,0.2246376811594203,4.612939521800281,0.3129438834766182,1,1,True
DIZZINESS,HYPOTENSION,29,123,90,0.15760869565217392,2.7716350496838302,0.19593164739353908,1,1,True
MOBILITY DECREASED,SYNCOPE,24,48,79,0.23300970873786409,6.69620253164557,0.35275043178429194,1,1,True
COGNITIVE DISORDER,SYNCOPE,24,70,79,0.192,4.591681735985533,0.27157550369829075,1,1,True
COGNITIVE DISORDER,CONFUSIONAL STATE,23,70,221,0.08582089552238806,1.5729799612152553,0.07836883472530579,1,2,False
CONFUSIONAL STATE,DIZZINESS,21,221,123,0.06501547987616099,0.8173490784681603,-0.0340409777593295,2,1,False
DIZZINESS,SEDATION,20,123,30,0.15037593984962405,5.734417344173441,0.2933441009577839,1,1,True
MOBILITY DECREASED,SEDATION,19,48,30,0.3220338983050847,13.959722222222222,0.48263597983470347,1,1,True
COGNITIVE DISORDER,SEDATION,19,70,30,0.2345679012345679,9.572380952380952,0.38979483517971913,1,1,True
COGNITIVE DISORDER,DELIRIUM,19,70,44,0.2,6.526623376623377,0.30643458416124825,1,4,False
HYPOTENSION,SEDATION,19,90,30,0.18811881188118812,7.445185185185185,0.33572450816283705,1,1,True
CONFUSIONAL STATE,DISORIENTATION,19,221,41,0.07818930041152264,2.2185189272707206,0.12571790616489928,2,8,False
CONFUSIONAL STATE,DELIRIUM,19,221,44,0.07723577235772358,2.067256273138626,0.11423770897178752,2,4,False
SEDATION,SYNCOPE,18,30,79,0.1978021978021978,8.035443037974684,0.34141116609804184,1,1,True
LOSS OF CONSCIOUSNESS,SYNCOPE,18,68,79,0.13953488372093023,3.545048399106478,0.189476391211716,7,1,False
CONFUSIONAL STATE,SOMNOLENCE,18,221,69,0.0661764705882353,1.248868778280543,0.03377771159461958,2,6,False
COGNITIVE DISORDER,VERTIGO,16,70,31,0.18823529411764706,7.800921658986175,0.3145096280473592,1,4,False
DELIRIUM,DIZZINESS,16,44,123,0.10596026490066225,3.1278640059127865,0.16076739670045553,4,1,False
CONFUSIONAL STATE,VERTIGO,16,221,31,0.06779661016949153,2.470880163479784,0.13131257687651254,2,4,False
DELIRIUM,VERTIGO,15,44,31,0.25,11.634897360703812,0.38488969958807623,4,4,True
CONTUSION,GAIT DISTURBANCE,15,64,41,0.16666666666666666,6.048018292682927,0.2571870912705212,3,3,True
CONTUSION,DIZZINESS,15,64,123,0.0872093023255814,2.0160060975609757,0.09350608188244226,3,1,False
BLOOD PRESSURE DECREASED,MOBILITY DECREASED,14,19,48,0.2641509433962264,16.24122807017544,0.4493129339697651,1,1,True
BLOOD PRESSURE DECREASED,COGNITIVE DISORDER,14,19,70,0.18666666666666668,11.136842105263158,0.3648734442455682,1,1,True
BLOOD PRESSURE DECREASED,SYNCOPE,14,19,79,0.16666666666666666,9.86808794137242,0.3406600592629647,1,1,True
BLOOD PRESSURE DECREASED,HYPOTENSION,14,19,90,0.14736842105263157,8.661988304093567,0.31593234240124407,1,1,True
BLOOD PRESSURE DECREASED,DIZZINESS,14,19,123,0.109375,6.338040222507488,0.261816865349103,1,1,True
BLOOD PRESSURE DECREASED,SEDATION,13,19,30,0.3611111111111111,24.12982456140351,0.5343249273841948,1,1,True
HEAD INJURY,LOSS OF CONSCIOUSNESS,13,76,68,0.09923664122137404,2.6613777089783284,0.12113127553773499,5,7,False
DIZZINESS,VERTIGO,13,123,31,0.09219858156028368,3.6071334906897454,0.16428792482317597,1,4,False
COGNITIVE DISORDER,FRACTURE,12,70,26,0.14285714285714285,6.975824175824176,0.2524731415110397,1,4,False
CONTUSION,DELIRIUM,12,64,44,0.125,4.5085227272727275,0.18545068834450512,3,4,False
CONFUSIONAL STATE,CONTUSION,12,221,64,0.04395604395604396,0.8976244343891403,-0.01334831715260728,2,3,False
MOBILITY DECREASED,VERTIGO,11,48,31,0.16176470588235295,7.821236559139785,0.25835606900741287,1,4,False
CONTUSION,VERTIGO,11,64,31,0.13095238095238096,5.865927419354839,0.21451518812857734,3,4,False
COGNITIVE DISORDER,CONTUSION,11,70,64,0.08943089430894309,2.5977678571428573,0.10791480307585578,1,3,False
DIZZINESS,FRACTURE,11,123,26,0.07971014492753623,3.639149468417761,0.1519349064693324,1,4,False
FRACTURE,VERTIGO,10,26,31,0.2127659574468085,13.126550868486353,0.33441037537685625,4,4,True
DELIRIUM,FRACTURE,10,44,26,0.16666666666666666,9.248251748251748,0.2727194383647916,4,4,True
CONTUSION,FRACTURE,10,64,26,0.125,6.358173076923077,0.21580443120160608,3,4,False
CONTUSION,MOBILITY DECREASED,10,64,48,0.09803921568627451,3.4440104166666665,0.13519473510354774,3,1,False
CONTUSION,HEAD INJURY,10,64,76,0.07692307692307693,2.1751644736842106,0.08295575129432328,3,5,False
CONFUSIONAL STATE,FRACTURE,10,221,26,0.04219409282700422,1.8412808910546468,0.06861534599124543,2,4,False
CONFUSIONAL STATE,MOBILITY DECREASED,10,221,48,0.03861003861003861,0.9973604826546003,-0.0002956772156864902,2,1,False
DELIRIUM,MOBILITY DECREASED,9,44,48,0.10843373493975904,4.5085227272727275,0.15932780998652907,4,1,False
CONFUSIONAL STATE,GAIT DISTURBANCE,9,221,41,0.03557312252964427,1.0508773866019203,0.005249158114484066,2,3,False
FEMUR FRACTURE,MOBILITY DECREASED,8,25,48,0.12307692307692308,7.053333333333334,0.2052931057050615,13,1,False
FRACTURE,MOBILITY DECREASED,8,26,48,0.12121212121212122,6.782051282051282,0.2000730977096273,4,1,False
COGNITIVE DISORDER,FEMUR FRACTURE,8,70,25,0.09195402298850575,4.836571428571428,0.15886699450950917,1,13,False
HEAD INJURY,SKIN LACERATION,8,76,27,0.08421052631578947,4.124756335282651,0.14067591833800608,5,12,False
FEMUR FRACTURE,HYPOTENSION,8,25,90,0.07476635514018691,3.7617777777777777,0.1310062907627393,13,1,False
DISORIENTATION,HEAD INJURY,8,41,76,0.07339449541284404,2.7163029525032094,0.09586861511207881,8,5,False
CONFUSIONAL STATE,MEMORY IMPAIRMENT,8,221,30,0.03292181069958848,1.2766214177978883,0.02428193436182445,2,9,False
CONFUSIONAL STATE,HEAD INJURY,8,221,76,0.02768166089965398,0.5039295070254822,-0.0709133260210045,2,5,False
COGNITIVE DISORDER,ORTHOSTATIC HYPOTENSION,7,70,30,0.07526881720430108,3.526666666666667,0.11489008973800631,1,10,False
DISTURBANCE IN ATTENTION,DIZZINESS,7,11,123,0.05511811023622047,5.473762010347376,0.16631929266899909,14,1,False
DIZZINESS,ORTHOSTATIC HYPOTENSION,7,123,30,0.04794520547945205,2.0070460704607047,0.06239648993469519,1,10,False
DISTURBANCE IN ATTENTION,MOBILITY DECREASED,6,11,48,0.11320754716981132,12.022727272727273,0.24630430102053427,14,1,False
MOBILITY DECREASED,ORTHOSTATIC HYPOTENSION,6,48,30,0.08333333333333333,4.408333333333333,0.12693052132829946,1,10,False
COGNITIVE DISORDER,DISTURBANCE IN ATTENTION,6,70,11,0.08,8.244155844155845,0.19764295305200924,1,14,False
DELIRIUM,GAIT DISTURBANCE,6,44,41,0.0759493670886076,3.518847006651885,0.10535147056160495,4,3,False
LOSS OF CONSCIOUSNESS,ORTHOSTATIC HYPOTENSION,6,68,30,0.06521739130434782,3.111764705882353,0.09454671767458118,7,10,False
COGNITIVE DISORDER,MEMORY IMPAIRMENT,6,70,30,0.06382978723404255,3.0228571428571427,0.09198136095119691,1,9,False
DIZZINESS,WOUND,6,123,16,0.045112781954887216,3.225609756097561,0.10002807211522488,1,17,False
DIZZINESS,SKIN LACERATION,6,123,27,0.041666666666666664,1.911472448057814,0.053498652713661936,1,12,False
HYPOTENSION,SOMNOLENCE,6,90,69,0.0392156862745098,1.0222222222222221,0.0017897709794503585,1,6,False
DISTURBANCE IN ATTENTION,VISUAL IMPAIRMENT,5,11,10,0.3125,48.09090909090909,0.47149754414686723,14,14,True
MEMORY IMPAIRMENT,VISUAL IMPAIRMENT,5,30,10,0.14285714285714285,17.633333333333333,0.2775637329073935,9,14,False
DISTURBANCE IN ATTENTION,MEMORY IMPAIRMENT,5,11,30,0.1388888888888889,16.03030303030303,0.26318116702324823,14,9,False
MOBILITY DECREASED,VISUAL IMPAIRMENT,5,48,10,0.09433962264150944,11.020833333333334,0.21339445463941606,1,14,False
MEMORY IMPAIRMENT,MOBILITY DECREASED,5,30,48,0.0684931506849315,3.673611111111111,0.09956856298165301,9,1,False
COGNITIVE DISORDER,VISUAL IMPAIRMENT,5,70,10,0.06666666666666667,7.557142857142857,0.17049221454708996,1,14,False
CONTUSION,SKIN LACERATION,5,64,27,0.05813953488372093,3.0613425925925926,0.0846446514938704,3,12,False
LOSS OF CONSCIOUSNESS,MEMORY IMPAIRMENT,5,68,30,0.053763440860215055,2.593137254901961,0.07132702702933817,7,9,False
HYPOTENSION,VISUAL IMPAIRMENT,5,90,10,0.05263157894736842,5.877777777777778,0.14528639427052867,1,14,False
DISTURBANCE IN ATTENTION,HYPOTENSION,5,11,90,0.052083333333333336,5.343434343434343,0.13575000016451153,14,1,False
FEMUR FRACTURE,SYNCOPE,5,25,79,0.050505050505050504,2.678481012658228,0.07417515732033715,13,1,False
HYPOTENSION,MEMORY IMPAIRMENT,5,90,30,0.043478260869565216,1.9592592592592593,0.04996704264692265,1,9,False
DIZZINESS,VISUAL IMPAIRMENT,5,123,10,0.0390625,4.300813008130081,0.11694644679483436,1,14,False
COGNITIVE DISORDER,SOMNOLENCE,5,70,69,0.03731343283582089,1.0952380952380953,0.006695879789595657,1,6,False
HEAD INJURY,SOMNOLENCE,5,76,69,0.03571428571428571,1.0087719298245614,0.0006445737283421912,5,6,False
DIZZINESS,FEMUR FRACTURE,5,123,25,0.03496503496503497,1.7203252032520324,0.04064388410433843,1,13,False
DIZZINESS,MEMORY IMPAIRMENT,5,123,30,0.033783783783783786,1.4336043360433603,0.02686608823883539,1,9,False
DIZZINESS,GAIT DISTURBANCE,5,123,41,0.031446540880503145,1.0489787824707515,0.003566861016430303,1,3,False
DIZZINESS,LOSS OF CONSCIOUSNESS,5,123,68,0.026881720430107527,0.6324725011956002,-0.03493602167480752,1,7,False
CONFUSIONAL STATE,MENTAL STATUS CHANGES,5,221,12,0.021929824561403508,1.9947209653092006,0.05474689085509689,2,16,False
CONFUSIONAL STATE,SKIN LACERATION,5,221,27,0.0205761316872428,0.8865426512485336,-0.009434493467880157,2,12,False
CONFUSIONAL STATE,ORTHOSTATIC HYPOTENSION,5,221,30,0.02032520325203252,0.7978883861236803,-0.017741435138955704,2,10,False
LETHARGY,MENTAL STATUS CHANGES,4,7,12,0.26666666666666666,50.38095238095238,0.4316501581900233,16,16,True
CRANIOCEREBRAL INJURY,ORTHOSTATIC HYPOTENSION,4,9,30,0.11428571428571428,15.674074074074074,0.2321925535285508,20,10,False
FEMUR FRACTURE,SEDATION,4,25,30,0.0784313725490196,5.642666666666667,0.12338188954168923,13,1,False
BALANCE DISORDER,VERTIGO,4,29,31,0.07142857142857142,4.7074527252502785,0.10813407227576313,11,4,False
ORTHOSTATIC HYPOTENSION,SEDATION,4,30,30,0.07142857142857142,4.702222222222222,0.10804150453955902,10,1,False
DISORIENTATION,ORTHOSTATIC HYPOTENSION,4,41,30,0.05970149253731343,3.440650406504065,0.08371457917010348,8,10,False
CRANIOCEREBRAL INJURY,LOSS OF CONSCIOUSNESS,4,9,68,0.0547945205479452,6.915032679738562,0.14359109853620017,20,7,False
INJURY,LOSS OF CONSCIOUSNESS,4,20,68,0.047619047619047616,3.111764705882353,0.07682431690136651,15,7,False
DEPRESSED LEVEL OF CONSCIOUSNESS,HYPOTENSION,4,13,90,0.04040404040404041,3.617094017094017,0.08900541543507572,19,1,False
CONTUSION,DISORIENTATION,4,64,41,0.039603960396039604,1.6128048780487805,0.031221262476445574,3,8,False
ORTHOSTATIC HYPOTENSION,SYNCOPE,4,30,79,0.0380952380952381,1.7856540084388186,0.03812568017719527,10,1,False
GAIT DISTURBANCE,SOMNOLENCE,4,41,69,0.03773584905660377,1.4959349593495934,0.02630162461207625,3,6,False
CONTUSION,SOMNOLENCE,4,64,69,0.031007751937984496,0.9583333333333334,-0.002792620698680059,3,6,False
BALANCE DISORDER,DIZZINESS,4,29,123,0.02702702702702703,1.186431174656574,0.011351587413829536,11,1,False
DIZZINESS,HEAD INJURY,4,123,76,0.020512820512820513,0.45271715875053486,-0.055221682497742744,1,5,False
CONFUSIONAL STATE,DISTURBANCE IN ATTENTION,4,221,11,0.017543859649122806,1.7408473879062114,0.03901981118755667,2,14,False
CONFUSIONAL STATE,HYPOTENSION,4,221,90,0.013029315960912053,0.21277023629964806,-0.12334413098227688,2,1,False
VERTIGO,VISUAL IMPAIRMENT,3,31,10,0.07894736842105263,10.238709677419354,0.15679286780092552,4,14,False
BLOOD PRESSURE DECREASED,ORTHOSTATIC HYPOTENSION,3,19,30,0.06521739130434782,5.568421052631579,0.10553565768419625,1,10,False
ORTHOSTATIC HYPOTENSION,VERTIGO,3,30,31,0.05172413793103448,3.412903225806452,0.07161427492667537,10,4,False
BALANCE DISORDER,GAIT DISTURBANCE,3,29,41,0.04477611940298507,2.669470142977292,0.056273175088962166,11,3,False
GAIT DISTURBANCE,MEMORY IMPAIRMENT,3,41,30,0.04411764705882353,2.580487804878049,0.054210906697761886,3,9,False
INJURY,SOMNOLENCE,3,20,69,0.03488372093023256,2.3,0.04766351568283949,15,6,False
HEAD INJURY,WOUND,3,76,16,0.033707865168539325,2.6101973684210527,0.055508091641945416,5,17,False
LOSS OF CONSCIOUSNESS,SKIN LACERATION,3,68,27,0.03260869565217391,1.7287581699346406,0.03090813817254343,7,12,False
BALANCE DISORDER,LOSS OF CONSCIOUSNESS,3,29,68,0.031914893617021274,1.6095334685598377,0.02681795932134082,11,7,False
HYPOTENSION,LETHARGY,3,90,7,0.031914893617021274,5.038095238095238,0.100486517540376,1,16,False
BALANCE DISORDER,SOMNOLENCE,3,29,69,0.031578947368421054,1.5862068965517242,0.02599373185913145,11,6,False
SOMNOLENCE,VERTIGO,3,69,31,0.030927835051546393,1.4838709677419355,0.02220504153717156,6,4,False
BALANCE DISORDER,HEAD INJURY,3,29,76,0.029411764705882353,1.44010889292196,0.02055429133540667,11,5,False
GAIT DISTURBANCE,LOSS OF CONSCIOUSNESS,3,41,68,0.02830188679245283,1.1384505021520803,0.0072855584404820685,3,7,False
COGNITIVE DISORDER,DISORIENTATION,3,70,41,0.027777777777777776,1.1059233449477353,0.005661006929401043,1,8,False
DELIRIUM,HEAD INJURY,3,44,76,0.02564102564102564,0.9491626794258373,-0.002946056459561222,4,5,False
HYPOTENSION,ORTHOSTATIC HYPOTENSION,3,90,30,0.02564102564102564,1.1755555555555555,0.009144547573220594,1,10,False
CONTUSION,LOSS OF CONSCIOUSNESS,3,64,68,0.023255813953488372,0.7293198529411765,-0.01800072750516756,3,7,False
COGNITIVE DISORDER,LOSS OF CONSCIOUSNESS,3,70,68,0.022222222222222223,0.6668067226890756,-0.023243613058332523,1,7,False
DISORIENTATION,DIZZINESS,3,41,123,0.018633540372670808,0.6293872694824509,-0.02698972971541796,8,1,False
HEAD INJURY,HYPOTENSION,3,76,90,0.018404907975460124,0.46403508771929824,-0.04546435008611161,5,1,False
CONFUSIONAL STATE,HIP FRACTURE,3,221,15,0.012875536480686695,0.9574660633484163,-0.0026210328438622445,2,18,False
BALANCE DISORDER,CONFUSIONAL STATE,3,29,221,0.012145748987854251,0.4952410672491808,-0.04354203603011455,11,2,False
CONFUSIONAL STATE,LOSS OF CONSCIOUSNESS,3,221,68,0.01048951048951049,0.211205749268033,-0.10622677664636561,2,7,False
