,DIZZINESS,HYPOTENSION,SYNCOPE,COGNITIVE DISORDER,MOBILITY DECREASED,SEDATION,BLOOD PRESSURE DECREASED,CONFUSIONAL STATE,COORDINATION ABNORMAL,CONTUSION,GAIT DISTURBANCE,DELIRIUM,VERTIGO,FRACTURE,HEAD INJURY,SOMNOLENCE,LOSS OF CONSCIOUSNESS,DISORIENTATION,MEMORY IMPAIRMENT,ORTHOSTATIC HYPOTENSION,BALANCE DISORDER,SKIN LACERATION,FEMUR FRACTURE,DISTURBANCE IN ATTENTION,VISUAL IMPAIRMENT,INJURY,MENTAL STATUS CHANGES,LETHARGY,WOUND,HIP FRACTURE,DEPRESSED LEVEL OF CONSCIOUSNESS,CRANIOCEREBRAL INJURY
DIZZINESS,0.0,0.15760869565217392,0.20238095238095238,0.30405405405405406,0.3053435114503817,0.15037593984962405,0.109375,0.06501547987616099,0.0,0.0872093023255814,0.031446540880503145,0.10596026490066225,0.09219858156028368,0.07971014492753623,0.020512820512820513,0.0,0.026881720430107527,0.018633540372670808,0.033783783783783786,0.04794520547945205,0.02702702702702703,0.041666666666666664,0.03496503496503497,0.05511811023622047,0.0390625,0.0,0.0,0.0,0.045112781954887216,0.0,0.0,0.0
HYPOTENSION,0.15760869565217392,0.0,0.2246376811594203,0.25,0.2897196261682243,0.18811881188118812,0.14736842105263157,0.013029315960912053,0.0,0.0,0.0,0.0,0.0,0.0,0.018404907975460124,0.0392156862745098,0.0,0.0,0.043478260869565216,0.02564102564102564,0.0,0.0,0.07476635514018691,0.052083333333333336,0.05263157894736842,0.0,0.0,0.031914893617021274,0.0,0.0,0.04040404040404041,0.0
SYNCOPE,0.20238095238095238,0.2246376811594203,0.0,0.192,0.23300970873786409,0.1978021978021978,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13953488372093023,0.0,0.0,0.0380952380952381,0.0,0.0,0.050505050505050504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COGNITIVE DISORDER,0.30405405405405406,0.25,0.192,0.0,0.5526315789473685,0.2345679012345679,0.18666666666666668,0.08582089552238806,0.0,0.08943089430894309,0.0,0.2,0.18823529411764706,0.14285714285714285,0.0,0.03731343283582089,0.022222222222222223,0.027777777777777776,0.06382978723404255,0.07526881720430108,0.0,0.0,0.09195402298850575,0.08,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOBILITY DECREASED,0.3053435114503817,0.2897196261682243,0.23300970873786409,0.5526315789473685,0.0,0.3220338983050847,0.2641509433962264,0.03861003861003861,0.0,0.09803921568627451,0.0,0.10843373493975904,0.16176470588235295,0.12121212121212122,0.0,0.0,0.0,0.0,0.0684931506849315,0.08333333333333333,0.0,0.0,0.12307692307692308,0.11320754716981132,0.09433962264150944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEDATION,0.15037593984962405,0.18811881188118812,0.1978021978021978,0.2345679012345679,0.3220338983050847,0.0,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLOOD PRESSURE DECREASED,0.109375,0.14736842105263157,0.16666666666666666,0.18666666666666668,0.2641509433962264,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONFUSIONAL STATE,0.06501547987616099,0.013029315960912053,0.0,0.08582089552238806,0.03861003861003861,0.0,0.0,0.0,0.3288888888888889,0.04395604395604396,0.03557312252964427,0.07723577235772358,0.06779661016949153,0.04219409282700422,0.02768166089965398,0.0661764705882353,0.01048951048951049,0.07818930041152264,0.03292181069958848,0.02032520325203252,0.012145748987854251,0.0205761316872428,0.0,0.017543859649122806,0.0,0.0,0.021929824561403508,0.0,0.0,0.012875536480686695,0.0,0.0
COORDINATION ABNORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3288888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONTUSION,0.0872093023255814,0.0,0.0,0.08943089430894309,0.09803921568627451,0.0,0.0,0.04395604395604396,0.0,0.0,0.16666666666666666,0.125,0.13095238095238096,0.125,0.07692307692307693,0.031007751937984496,0.023255813953488372,0.039603960396039604,0.0,0.0,0.0,0.05813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAIT DISTURBANCE,0.031446540880503145,0.0,0.0,0.0,0.0,0.0,0.0,0.03557312252964427,0.0,0.16666666666666666,0.0,0.0759493670886076,0.0,0.0,0.0,0.03773584905660377,0.02830188679245283,0.0,0.04411764705882353,0.0,0.04477611940298507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELIRIUM,0.10596026490066225,0.0,0.0,0.2,0.10843373493975904,0.0,0.0,0.07723577235772358,0.0,0.125,0.0759493670886076,0.0,0.25,0.16666666666666666,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VERTIGO,0.09219858156028368,0.0,0.0,0.18823529411764706,0.16176470588235295,0.0,0.0,0.06779661016949153,0.0,0.13095238095238096,0.0,0.25,0.0,0.2127659574468085,0.0,0.030927835051546393,0.0,0.0,0.0,0.05172413793103448,0.07142857142857142,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
