,DIZZINESS,HYPOTENSION,SYNCOPE,COGNITIVE DISORDER,MOBILITY DECREASED,SEDATION,BLOOD PRESSURE DECREASED,CONFUSIONAL STATE,COORDINATION ABNORMAL,CONTUSION,GAIT DISTURBANCE,DELIRIUM,VERTIGO,FRACTURE,HEAD INJURY,SOMNOLENCE,LOSS OF CONSCIOUSNESS,DISORIENTATION,MEMORY IMPAIRMENT,ORTHOSTATIC HYPOTENSION,BALANCE DISORDER,SKIN LACERATION,FEMUR FRACTURE,DISTURBANCE IN ATTENTION,VISUAL IMPAIRMENT,INJURY,MENTAL STATUS CHANGES,LETHARGY,WOUND,HIP FRACTURE,DEPRESSED LEVEL OF CONSCIOUSNESS,CRANIOCEREBRAL INJURY
DIZZINESS,0.0,2.7716350496838302,3.701965627251209,5.529616724738676,7.168021680216802,5.734417344173441,6.338040222507488,0.8173490784681603,0.0,2.0160060975609757,1.0489787824707515,3.1278640059127865,3.6071334906897454,3.639149468417761,0.45271715875053486,0.0,0.6324725011956002,0.6293872694824509,1.4336043360433603,2.0070460704607047,1.186431174656574,1.911472448057814,1.7203252032520324,5.473762010347376,4.300813008130081,0.0,0.0,0.0,3.225609756097561,0.0,0.0,0.0
HYPOTENSION,2.7716350496838302,0.0,4.612939521800281,5.373968253968254,7.592129629629629,7.445185185185185,8.661988304093567,0.21277023629964806,0.0,0.0,0.0,0.0,0.0,0.0,0.46403508771929824,1.0222222222222221,0.0,0.0,1.9592592592592593,1.1755555555555555,0.0,0.0,3.7617777777777777,5.343434343434343,5.877777777777778,0.0,0.0,5.038095238095238,0.0,0.0,3.617094017094017,0.0
SYNCOPE,3.701965627251209,4.612939521800281,0.0,4.591681735985533,6.69620253164557,8.035443037974684,9.86808794137242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.545048399106478,0.0,0.0,1.7856540084388186,0.0,0.0,2.678481012658228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COGNITIVE DISORDER,5.529616724738676,5.373968253968254,4.591681735985533,0.0,13.225,9.572380952380952,11.136842105263158,1.5729799612152553,0.0,2.5977678571428573,0.0,6.526623376623377,7.800921658986175,6.975824175824176,0.0,1.0952380952380953,0.6668067226890756,1.1059233449477353,3.0228571428571427,3.526666666666667,0.0,0.0,4.836571428571428,8.244155844155845,7.557142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOBILITY DECREASED,7.168021680216802,7.592129629629629,6.69620253164557,13.225,0.0,13.959722222222222,16.24122807017544,0.9973604826546003,0.0,3.4440104166666665,0.0,4.5085227272727275,7.821236559139785,6.782051282051282,0.0,0.0,0.0,0.0,3.673611111111111,4.408333333333333,0.0,0.0,7.053333333333334,12.022727272727273,11.020833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEDATION,5.734417344173441,7.445185185185185,8.035443037974684,9.572380952380952,13.959722222222222,0.0,24.12982456140351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.702222222222222,0.0,0.0,5.642666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLOOD PRESSURE DECREASED,6.338040222507488,8.661988304093567,9.86808794137242,11.136842105263158,16.24122807017544,24.12982456140351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.568421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONFUSIONAL STATE,0.8173490784681603,0.21277023629964806,0.0,1.5729799612152553,0.9973604826546003,0.0,0.0,0.0,4.541826197934795,0.8976244343891403,1.0508773866019203,2.067256273138626,2.470880163479784,1.8412808910546468,0.5039295070254822,1.248868778280543,0.211205749268033,2.2185189272707206,1.2766214177978883,0.7978883861236803,0.4952410672491808,0.8865426512485336,0.0,1.7408473879062114,0.0,0.0,1.9947209653092006,0.0,0.0,0.9574660633484163,0.0,0.0
COORDINATION ABNORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.541826197934795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONTUSION,2.0160060975609757,0.0,0.0,2.5977678571428573,3.4440104166666665,0.0,0.0,0.8976244343891403,0.0,0.0,6.048018292682927,4.5085227272727275,5.865927419354839,6.358173076923077,2.1751644736842106,0.9583333333333334,0.7293198529411765,1.6128048780487805,0.0,0.0,0.0,3.0613425925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
