,DIZZINESS,HYPOTENSION,SYNCOPE,COGNITIVE DISORDER,MOBILITY DECREASED,SEDATION,BLOOD PRESSURE DECREASED,CONFUSIONAL STATE,COORDINATION ABNORMAL,CONTUSION,GAIT DISTURBANCE,DELIRIUM,VERTIGO,FRACTURE,HEAD INJURY,SOMNOLENCE,LOSS OF CONSCIOUSNESS,DISORIENTATION,MEMORY IMPAIRMENT,ORTHOSTATIC HYPOTENSION,BALANCE DISORDER,SKIN LACERATION,FEMUR FRACTURE,DISTURBANCE IN ATTENTION,VISUAL IMPAIRMENT,INJURY,MENTAL STATUS CHANGES,LETHARGY,WOUND,HIP FRACTURE,DEPRESSED LEVEL OF CONSCIOUSNESS,CRANIOCEREBRAL INJURY
DIZZINESS,0.0,0.19593164739353908,0.2783868839842121,0.43729927121649054,0.48769979567811933,0.2933441009577839,0.261816865349103,-0.0340409777593295,0.0,0.09350608188244226,0.003566861016430303,0.16076739670045553,0.16428792482317597,0.1519349064693324,-0.055221682497742744,0.0,-0.03493602167480752,-0.02698972971541796,0.02686608823883539,0.06239648993469519,0.011351587413829536,0.053498652713661936,0.04064388410433843,0.16631929266899909,0.11694644679483436,0.0,0.0,0.0,0.10002807211522488,0.0,0.0,0.0
HYPOTENSION,0.19593164739353908,0.0,0.3129438834766182,0.35500114222064705,0.43819684540372333,0.33572450816283705,0.31593234240124407,-0.12334413098227688,0.0,0.0,0.0,0.0,0.0,0.0,-0.04546435008611161,0.0017897709794503585,0.0,0.0,0.04996704264692265,0.009144547573220594,0.0,0.0,0.1310062907627393,0.13575000016451153,0.14528639427052867,0.0,0.0,0.100486517540376,0.0,0.0,0.08900541543507572,0.0
SYNCOPE,0.2783868839842121,0.3129438834766182,0.0,0.27157550369829075,0.35275043178429194,0.34141116609804184,0.3406600592629647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189476391211716,0.0,0.0,0.03812568017719527,0.0,0.0,0.07417515732033715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COGNITIVE DISORDER,0.43729927121649054,0.35500114222064705,0.27157550369829075,0.0,0.7093806653469916,0.38979483517971913,0.3648734442455682,0.07836883472530579,0.0,0.10791480307585578,0.0,0.30643458416124825,0.3145096280473592,0.2524731415110397,0.0,0.006695879789595657,-0.023243613058332523,0.005661006929401043,0.09198136095119691,0.11489008973800631,0.0,0.0,0.15886699450950917,0.19764295305200924,0.17049221454708996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOBILITY DECREASED,0.48769979567811933,0.43819684540372333,0.35275043178429194,0.7093806653469916,0.0,0.48263597983470347,0.4493129339697651,-0.0002956772156864902,0.0,0.13519473510354774,0.0,0.15932780998652907,0.25835606900741287,0.2000730977096273,0.0,0.0,0.0,0.0,0.09956856298165301,0.12693052132829946,0.0,0.0,0.2052931057050615,0.24630430102053427,0.21339445463941606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEDATION,0.2933441009577839,0.33572450816283705,0.34141116609804184,0.38979483517971913,0.48263597983470347,0.0,0.5343249273841948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10804150453955902,0.0,0.0,0.12338188954168923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLOOD PRESSURE DECREASED,0.261816865349103,0.31593234240124407,0.3406600592629647,0.3648734442455682,0.4493129339697651,0.5343249273841948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10553565768419625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONFUSIONAL STATE,-0.0340409777593295,-0.12334413098227688,0.0,0.07836883472530579,-0.0002956772156864902,0.0,0.0,0.0,0.5134461684527896,-0.01334831715260728,0.005249158114484066,0.11423770897178752,0.13131257687651254,0.06861534599124543,-0.0709133260210045,0.03377771159461958,-0.10622677664636561,0.12571790616489928,0.02428193436182445,-0.017741435138955704,-0.04354203603011455,-0.009434493467880157,0.0,0.03901981118755667,0.0,0.0,0.05474689085509689,0.0,0.0,-0.0026210328438622445,0.0,0.0
COORDINATION ABNORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5134461684527896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONTUSION,0.09350608188244226,0.0,0.0,0.10791480307585578,0.13519473510354774,0.0,0.0,-0.01334831715260728,0.0,0.0,0.2571870912705212,0.18545068834450512,0.21451518812857734,0.21580443120160608,0.08295575129432328,-0.002792620698680059,-0.01800072750516756,0.031221262476445574,0.0,0.0,0.0,0.0846446514938704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAIT DISTURBANCE,0.003566861016430303,0.0,0.0,0.0,0.0,0.0,0.0,0.005249158114484066,0.0,0.2571870912705212,0.0,0.10535147056160495,0.0,0.0,0.0,0.02630162461207625,0.0072855584404820685,0.0,0.054210906697761886,0.0,0.056273175088962166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELIRIUM,0.16076739670045553,0.0,0.0,0.30643458416124825,0.15932780998652907,0.0,0.0,0.11423770897178752,0.0,0.18545068834450512,0.10535147056160495,0.0,0.38488969958807623,0.2727194383647916,-0.002946056459561222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VERTIGO,0.16428792482317597,0.0,0.0,0.3145096280473592,0.25835606900741287,0.0,0.0,0.13131257687651254,0.0,0.21451518812857734,0.0,0.38488969958807623,0.0,0.33441037537685625,0.0,0.02220504153717156,0.0,0.0,0.0,0.07161427492667537,0.10813407227576313,0.0,0.0,0.0,0.15679286780092552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRACTURE,0.1519349064693324,0.0,0.0,0.2524731415110397,0.2000730977096273,0.0,0.0,0.06861534599124543,0.0,0.21580443120160608,0.0,0.2727194383647916,0.33441037537685625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
