pt1,pt2,co_count,pt1_case_count,pt2_case_count,jaccard,lift,phi,community_id_pt1,community_id_pt2,same_community
CEREBROVASCULAR ACCIDENT,CYSTITIS,73,75,74,0.9605263157894736,13.916036036036036,0.9783661795493204,1,1,True
CYSTITIS,DYSPHAGIA,73,74,75,0.9605263157894736,13.916036036036036,0.9783661795493204,1,1,True
CYSTITIS,EATING DISORDER,73,74,75,0.9605263157894736,13.916036036036036,0.9783661795493204,1,1,True
CEREBROVASCULAR ACCIDENT,DYSPHAGIA,73,75,75,0.948051948051948,13.730488888888887,0.9712987453374023,1,1,True
CEREBROVASCULAR ACCIDENT,EATING DISORDER,73,75,75,0.948051948051948,13.730488888888887,0.9712987453374023,1,1,True
DYSPHAGIA,EATING DISORDER,73,75,75,0.948051948051948,13.730488888888887,0.9712987453374023,1,1,True
COORDINATION ABNORMAL,CYSTITIS,73,78,74,0.9240506329113924,13.380803880803882,0.9578586341341416,1,1,True
APHASIA,CYSTITIS,72,76,74,0.9230769230769232,13.544807965860596,0.957047251748186,1,1,True
CEREBROVASCULAR ACCIDENT,COORDINATION ABNORMAL,73,75,78,0.9125,13.202393162393165,0.950896283888048,1,1,True
COORDINATION ABNORMAL,DYSPHAGIA,73,78,75,0.9125,13.202393162393165,0.950896283888048,1,1,True
COORDINATION ABNORMAL,EATING DISORDER,73,78,75,0.9125,13.202393162393165,0.950896283888048,1,1,True
APHASIA,CEREBROVASCULAR ACCIDENT,72,76,75,0.9113924050632912,13.364210526315787,0.9501043713420732,1,1,True
APHASIA,DYSPHAGIA,72,76,75,0.9113924050632912,13.364210526315787,0.9501043713420732,1,1,True
APHASIA,EATING DISORDER,72,76,75,0.9113924050632912,13.364210526315787,0.9501043713420732,1,1,True
APHASIA,COORDINATION ABNORMAL,72,76,78,0.8780487804878049,12.850202429149798,0.930060253282537,1,1,True
CYSTITIS,PNEUMONIA,72,74,81,0.8674698795180723,12.70870870870871,0.924533260916834,1,1,True
AFFECT LABILITY,CYSTITIS,72,82,74,0.8571428571428571,12.55372445616348,0.9183798235641796,1,1,True
CEREBROVASCULAR ACCIDENT,PNEUMONIA,72,75,81,0.8571428571428571,12.53925925925926,0.9177555750379948,1,1,True
DYSPHAGIA,PNEUMONIA,72,75,81,0.8571428571428571,12.53925925925926,0.9177555750379948,1,1,True
EATING DISORDER,PNEUMONIA,72,75,81,0.8571428571428571,12.53925925925926,0.9177555750379948,1,1,True
