year,analysis,comparison,exposure_definition,outcome_name,outcome_definition,zolpidem_cases,zolpidem_fall_cases,zolpidem_fall_reporting_rate,a,b,c,d,n,exposed_n,unexposed_n,reporting_rate_exposed,reporting_rate_unexposed,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,chi_square_yates,p_value,expected_a,ic,ic025,ic975,ebgm,eb05,eb95,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm,stability_status
2004,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,123,19,0.15447154471544716,19,104,1526,47193,48842,123,48719,0.15447154471544716,0.03132248198854656,5.6499332089928425,3.455567015554208,9.237773460156873,4.931650843376062,3.251986033273505,7.478869771310088,56.789358982298396,4.8508415924220495e-14,3.8908111870930755,2.1509147215877804,1.4295445633103494,2.7264767833587937,3.9875053730443186,2.710113126698855,5.700330389571621,True,True,True,True,stable
2005,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,115,12,0.10434782608695652,12,103,1788,50101,52004,115,51889,0.10434782608695652,0.034458170325117075,3.2645468169674854,1.7921356066262115,5.9466849945777245,3.0282462795447915,1.7692930651945522,5.183016714400848,14.747162910392035,0.00012293236549603418,3.9804630413045152,1.4802083519397624,0.5500171901986693,2.181410290683214,2.5104754221262775,1.543948469822749,3.903767414529895,True,True,True,False,stable
2006,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,146,24,0.1643835616438356,24,122,1976,48660,50782,146,50636,0.1643835616438356,0.03902361955920689,4.8443618504015395,3.1200225179776604,7.521689860378714,4.212411957184848,2.914696379303745,6.087911805507723,57.2032759626043,3.930159890774749e-14,5.750068922058997,1.9708377450661678,1.3359207998960783,2.489987578791337,3.6298444544476762,2.575103460787885,5.000304984215626,True,True,True,True,stable
2007,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,162,39,0.24074074074074073,39,123,1488,47862,49512,162,49350,0.24074074074074073,0.030151975683890577,10.198760818253344,7.087992422053041,14.674778983159758,7.984244324970131,6.046346498017586,10.54325243545318,232.57965011309622,1.6322145552797947e-52,4.996243334949103,2.845334870230508,2.3568452575096925,3.2622806236370274,6.587633713578107,5.035776153103873,8.495275147660484,True,True,True,True,stable
2008,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,163,30,0.18404907975460122,30,133,1716,48169,50048,163,49885,0.18404907975460122,0.03439911797133407,6.331694621168305,4.2482154807168815,9.436987591073521,5.350401132609721,3.859752780450891,7.416742446516807,103.66679541675157,2.3936950241992765e-24,5.686500959079284,2.3016136755038654,1.7390558229007194,2.7713534271841938,4.561633368575971,3.3566901312784183,6.0854709875122115,True,True,True,True,stable
2009,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,186,26,0.13978494623655913,26,160,1739,43924,45849,186,45663,0.13978494623655913,0.03808334975800977,4.1044565842438185,2.7043670701893867,6.229392465854375,3.6705002875215635,2.5621560915439767,5.258294920110505,49.05391225164432,2.490230513200824e-12,7.1602434077079105,1.7905302193954897,1.182643493167117,2.2914643168558038,3.247644789260337,2.3354829113599735,4.421021075110911,True,True,True,True,stable
2010,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,191,28,0.14659685863874344,28,163,2888,81023,84102,191,83911,0.14659685863874344,0.03441741845526808,4.819273320530904,3.2218313934752967,7.20875567387417,4.259379849458311,3.0194425752336524,6.008498671503167,68.33760037843771,1.377688238140478e-16,6.6223871013769,2.000529165930754,1.4165815461851394,2.485091423818434,3.7391779414949964,2.7217165648917185,5.036335870569499,True,True,True,True,stable
2011,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,258,28,0.10852713178294573,28,230,4244,103966,108468,258,108210,0.10852713178294573,0.03922003511690232,2.98226447567922,2.0121015746221147,4.420204981236389,2.767134997698529,1.948077026659736,3.9305612615416714,30.87226663095503,2.7558195104424373e-08,10.161301028874876,1.4185784142596438,0.8346307945140298,1.903140672147324,2.5535967211411736,1.8587418423858955,3.4394647612062994,True,True,True,False,stable
2012,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,280,45,0.16071428571428573,45,235,4944,118629,123853,280,123573,0.16071428571428573,0.04000873977325144,4.594698925841768,3.335782060271936,6.328728267520718,4.016979455617199,3.069354806454611,5.257171283332137,102.18880603524728,5.047431871570286e-24,11.278854771382203,1.9496672689583572,1.4971700154546361,2.340103823111897,3.705631879349787,2.8863266427365866,4.698719540897285,True,True,True,True,stable
2013,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,382,62,0.16230366492146597,62,320,5325,144802,150509,382,150127,0.16230366492146597,0.03546996875978339,5.268617370892019,4.008547270365086,6.92478524728411,4.575805127448811,3.6380015104369763,5.75535565455878,173.95639879486663,1.0118267194475021e-39,13.672497990153413,2.1407621252104994,1.7591244690515617,2.4772832074238624,4.259715467829875,3.4443416124272086,5.220580123669671,True,True,True,True,stable
