window_label,window_years,start_year,end_year,center_year,analysis,comparison,exposure_definition,outcome_name,outcome_definition,zolpidem_cases,zolpidem_fall_cases,zolpidem_fall_reporting_rate,a,b,c,d,n,exposed_n,unexposed_n,reporting_rate_exposed,reporting_rate_unexposed,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,chi_square_yates,p_value,expected_a,ic,ic025,ic975,ebgm,eb05,eb95,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm,stability_status
2004-2006,3,2004,2006,2005.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,384,55,0.14322916666666666,55,329,5290,145954,151628,384,151244,0.14322916666666666,0.03497659411282431,4.612401675467275,3.4622202704349947,6.144683917866503,4.095000393824826,3.2017902280612596,5.23739128143302,128.82077859048775,7.422704927124969e-30,13.536286174057562,1.9833265044119002,1.5766699843677738,2.3391518897643087,3.8180832468909984,3.0465271954077338,4.736473340388758,True,True,True,True,stable
2005-2007,3,2005,2007,2006.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,423,75,0.1773049645390071,75,348,5252,146623,152298,423,151875,0.1773049645390071,0.034581069958847736,6.016714486435381,4.680979319135749,7.733606739789049,5.127226102315633,4.168568831147053,6.306348430147676,250.35491114653664,2.1730317162813044e-56,14.795473348303982,2.3033718898342546,1.9582253092830209,2.611194579332337,4.779885363141843,3.941071687749704,5.7538714327947895,True,True,True,True,stable
2006-2008,3,2006,2008,2007.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,471,93,0.19745222929936307,93,378,5180,144691,150342,471,149871,0.19745222929936307,0.034563057562837375,6.87231261874119,5.468163877330544,8.63702730737572,5.712811401027961,4.75254703383137,6.867099656540309,363.3069701760094,5.364258867849528e-81,16.519555413656864,2.4577730136926035,2.1495167356911065,2.735908882926466,5.336918855375459,4.488753249040622,6.306975730633008,True,True,True,True,stable
2007-2009,3,2007,2009,2008.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,511,95,0.18590998043052837,95,416,4943,139955,145409,511,144898,0.18590998043052837,0.03411365236235145,6.465886587870959,5.164813327575071,8.09471450671745,5.449723719284382,4.536106251601758,6.547352943076128,346.2778122289031,2.739750088797663e-77,17.704667524018458,2.3911923403928657,2.086354573354552,2.6665420520839485,5.10570081880198,4.302241451111125,6.023330259031106,True,True,True,True,stable
2008-2010,3,2008,2010,2009.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,540,84,0.15555555555555556,84,456,6343,173116,179999,540,179459,0.15555555555555556,0.035345120612507594,5.027556278367367,3.978363367087335,6.353447334966939,4.401047523954666,3.610491299538761,5.364704606982963,222.4789542885657,2.604197362702288e-50,19.28110711726176,2.0948281676797444,1.7696579729089743,2.386660898723703,4.166463526741137,3.47242457535991,4.965788447889834,True,True,True,True,stable
2009-2011,3,2009,2011,2010.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,635,82,0.12913385826771653,82,553,8871,228913,238419,635,237784,0.12913385826771653,0.037306967668135786,3.8263667928269838,3.031353471199354,4.829883077758107,3.4613871439894837,2.8254069082047852,4.240522285757532,145.22782963110345,1.914926014852348e-33,23.845226261329845,1.7607552104712063,1.431440726088728,2.0559217377854457,3.3205777307600313,2.76126813710463,3.965830374531127,True,True,True,True,stable
2010-2012,3,2010,2012,2011.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,729,101,0.13854595336076816,101,628,12076,303618,316423,729,315694,0.13854595336076816,0.03825223159135112,4.043580940666648,3.274677155610122,4.993025585960768,3.6219051176113237,3.019657235319433,4.344266802053576,195.01591009633756,2.55587201348761e-44,28.054322852637135,1.8296986498809564,1.534482093296385,2.097174342378859,3.493470180588832,2.9591265905550936,4.1013175594452935,True,True,True,True,stable
2011-2013,3,2011,2013,2012.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,920,135,0.14673913043478262,135,785,14513,367397,382830,920,381910,0.14673913043478262,0.038001099735539785,4.353539830970783,3.624141687887885,5.229737325997021,3.8614443122957236,3.3015889525803725,4.516235179823771,291.9538563475905,1.8656644884560345e-65,35.20142099626466,1.9242394485856629,1.6705004038345999,2.1572105671700674,3.742955491014407,3.2430489300739818,4.301864171235311,True,True,True,True,stable
2012-2014,3,2012,2014,2013.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,1069,155,0.1449953227315248,155,914,16034,431321,448424,1069,447355,0.1449953227315248,0.03584178113578702,4.561883882417259,3.844909499632853,5.412555109202329,4.045427379353952,3.494621405101115,4.683048829763881,362.00593763115603,1.0299120401153699e-80,38.59303025707812,1.9919312572208092,1.7557710611995079,2.209998701394968,3.927465691346846,3.4359533362172074,4.472929409292122,True,True,True,True,stable
2013-2015,3,2013,2015,2014.0,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,is_zolpidem_suspect,strict_fall,OCMQ-compatible narrow fall event,1252,168,0.134185303514377,168,1084,19021,557637,577910,1252,576658,0.134185303514377,0.03298488879023615,4.5435805948407,3.859589181239981,5.348788084015868,4.068084157194344,3.5316791470553137,4.685960423050971,395.41960171030763,5.470713615316317e-88,41.571573428388504,2.0018309120459947,1.7753331340776444,2.211633775753096,3.9580460318672466,3.481203776630081,4.485066600505966,True,True,True,True,stable
