analysis_tier,analysis,comparison,outcome_name,outcome_definition,model,model_label,term,coefficient,std_error,p_value,adjusted_reporting_odds_ratio,ci_low,ci_high,exposure_term,is_exposure_term,n_cases,n_outcome,used_covariates,optimization_success,optimization_message
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,const,-3.749144043035658,0.007467057800364163,0.0,0.023537884652101992,0.023195912355775027,0.02388489857169695,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,is_zolpidem_suspect,1.1892820284822605,0.034196247256043914,5.205816582001161e-265,3.2847220237144032,3.0717843536870784,3.512420642459447,is_zolpidem_suspect,True,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,age_group_75-84,0.46148640651568673,0.006198987970829678,0.0,1.5864303136844262,1.5672721331433945,1.605822681941733,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,age_group_>=85,0.8181920966894386,0.00797835462005512,0.0,2.2663987017050733,2.231234029734513,2.302117575582882,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,sex_clean_M,-0.312645936421418,0.005865797449686231,0.0,0.7315088673702905,0.7231470504933769,0.7399673727166314,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,year_standardized,-0.0790794379530371,0.0027892217849234523,7.95470708416956e-177,0.9239665235204125,0.918929188659472,0.9290314717631178,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,quarter_Q2,0.021570023192177407,0.008067751943665382,0.007503963647753705,1.0218043378338766,1.0057741263195679,1.0380900417837817,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,quarter_Q3,-0.005393655618776168,0.007995355401909515,0.4999308180826776,0.9946208640253085,0.9791560378189935,1.010329942261284,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,quarter_Q4,0.03496418779397062,0.007934913151539243,1.0511584758072206e-05,1.035582621637334,1.0196016826234884,1.051814041222286,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,polypharmacy_5,0.1510863826739147,0.008182469197336532,3.9763438831846683e-76,1.1630971251821451,1.1445929112276143,1.181900489979492,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,distinct_drug_n_standardized,0.08889963142018148,0.003063575401961447,3.8713296608852664e-185,1.0929709508788097,1.0864278731947021,1.0995534346446614,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,is_benzo,0.2272309797542978,0.01257332034432837,5.2507450647446475e-73,1.2551197417110591,1.2245675052434963,1.286434238445347,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,is_antidepressant,0.5269188435732362,0.009925584908332147,0.0,1.6937056885691117,1.6610751187563486,1.726977261352952,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,is_antipsychotic,0.461611502630925,0.016140868317903068,6.928518172255562e-180,1.586628782367336,1.5372206022152288,1.6376250028192056,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,is_opioid,0.08705174829691341,0.011273596437905903,1.1475486260864969e-14,1.0909531332242355,1.0671119693671447,1.1153269507394028,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,is_antiepileptic,0.3539408574806354,0.01170649910446587,8.326190846237493e-201,1.4246709253604142,1.3923549759363074,1.4577369138228626,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,const,-5.051442630894139,0.17823784871909712,1.0799288751973484e-176,0.006400093810110697,0.004513048574004458,0.009076171041933217,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,is_zolpidem_suspect,1.007716141405736,0.03496635121389561,1.2187935726600476e-182,2.739337605635523,2.557891668945194,2.9336545439953667,is_zolpidem_suspect,True,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,age_group_75-84,0.4597471378948615,0.006245414606410807,0.0,1.5836734833499193,1.5644062361778874,1.6031780261840392,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
primary,primary_ps_ss,zolpidem_suspect_vs_all_other_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,extended_report_indication_adjusted,Extended report-indication adjustment model,age_group_>=85,0.801816936739489,0.008067608441223716,0.0,2.2295882713401967,2.1946107912670323,2.2651232188773585,is_zolpidem_suspect,False,4154673,132456,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged
