analysis_tier,analysis,comparison,outcome_name,outcome_definition,model,model_label,term,coefficient,std_error,p_value,adjusted_reporting_odds_ratio,ci_low,ci_high,exposure_term,is_exposure_term,n_cases,n_outcome,used_covariates,optimization_success,optimization_message
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,const,-3.7473608900390714,0.00746437297332584,0.0,0.02357989374484137,0.02323743339446339,0.023927401085116644,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,is_zolpidem_suspect_ps,1.153013368730167,0.049634488107114204,2.261710873531339e-119,3.1677240626746297,2.874076943735858,3.4913733813279846,is_zolpidem_suspect_ps,True,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,age_group_75-84,0.4614455833823009,0.006197875492342859,0.0,1.5863655519500206,1.5672115706622143,1.6057536273486936,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,age_group_>=85,0.8193101844549324,0.007975321032357225,0.0,2.26893415152876,2.2337434215597956,2.3046792815527155,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,sex_clean_M,-0.31313343241990726,0.005864862260528971,0.0,0.7311523466328652,0.7227959299530157,0.7396053738452779,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,year_standardized,-0.07946516044759505,0.002788428875536976,1.233713261463015e-178,0.9236101975739566,0.9185762328858855,0.9286717493033352,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,quarter_Q2,0.020337034925929726,0.008065548895679519,0.011686583158745878,1.0205452414599667,1.0045391203131098,1.0368064008716233,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,quarter_Q3,-0.006527309237259479,0.007992793917799244,0.41412889571707634,0.9934939473710486,0.978051553201137,1.009180160526696,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,quarter_Q4,0.03367515722372262,0.007932616840844923,2.1844615300304017e-05,1.0342485839724118,1.0182928146124006,1.0504543664644184,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
sensitivity,sensitivity_ps_only,zolpidem_primary_suspect_vs_all_other_primary_suspect_drugs_excluding_mixed_zdrug_cases,strict_fall,OCMQ-compatible narrow fall event,core_clinical_adjusted,Core clinical adjustment model,polypharmacy_5,0.15183084706879302,0.008181531731240388,7.059593075868942e-77,1.1639633319696783,1.1454474418006106,1.1827785271755742,is_zolpidem_suspect_ps,False,4154233,132465,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged
