section,analysis_tier,analysis,outcome_name,n_cases,n_outcome,n_exposed,n_zolpidem_exposed_cases,model,model_label,n_terms,requested_covariates,used_covariates,optimization_success,optimization_message,comparison,exposure,n_exposed_outcome,status,skip_reason,outcome_definition,adjusted_ror,ci_low,ci_high,p_value,period_token,signal_file,feature_file,n_rows,n_columns
signal,primary,primary_ps_ss,strict_fall,4154673.0,132456.0,7798.0,,,,,,,,,,,,,,,,,,,,,,,
signal,sensitivity,sensitivity_ps_only,strict_fall,4154233.0,132465.0,4314.0,,,,,,,,,,,,,,,,,,,,,,,
signal,sensitivity,comparative_ps_ss,strict_fall,14597.0,1686.0,7798.0,,,,,,,,,,,,,,,,,,,,,,,
signal,sensitivity,comparative_ps_only,strict_fall,7239.0,515.0,4314.0,,,,,,,,,,,,,,,,,,,,,,,
exploratory,exploratory,primary_ps_ss,strict_fall,,1070.0,,8011.0,,,,,,,,,,,,,,,,,,,,,,
exploratory,exploratory,sensitivity_ps_only,strict_fall,,474.0,,4314.0,,,,,,,,,,,,,,,,,,,,,,
adjusted,primary,primary_ps_ss,strict_fall,4154673.0,132456.0,7798.0,,core_clinical_adjusted,Core clinical adjustment model,16.0,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged,,,,,,,,,,,,,,,
adjusted,primary,primary_ps_ss,strict_fall,4154673.0,132456.0,7798.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,51.0,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,,,,,,,,,,,,,,,
adjusted,sensitivity,sensitivity_ps_only,strict_fall,4154233.0,132465.0,4314.0,,core_clinical_adjusted,Core clinical adjustment model,16.0,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,True,converged,,,,,,,,,,,,,,,
adjusted,sensitivity,sensitivity_ps_only,strict_fall,4154233.0,132465.0,4314.0,,extended_report_indication_adjusted,Extended report-indication adjustment model,51.0,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,True,converged,,,,,,,,,,,,,,,
