section,analysis,comparison,outcome_name,exposure,model,model_label,n_cases,n_outcome,n_exposed,n_exposed_outcome,optimization_success,optimization_message,status,skip_reason,used_covariates,outcome_definition,adjusted_ror,ci_low,ci_high,p_value
sensitivity_adjusted_qc,exposure_ps_ss,Zolpidem primary or secondary suspect,fall_event,is_zolpidem_suspect,core_clinical_adjusted,Core clinical adjustment model,4154673,132456,7798,1058,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,,,,,
sensitivity_adjusted_qc,exposure_ps_ss,Zolpidem primary or secondary suspect,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,4154673,132456,7798,1058,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,exposure_ps_only,Zolpidem primary suspect only,fall_event,is_zolpidem_suspect_ps,core_clinical_adjusted,Core clinical adjustment model,4154233,132465,4314,474,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic,,,,,
sensitivity_adjusted_qc,exposure_ps_only,Zolpidem primary suspect only,fall_event,is_zolpidem_suspect_ps,extended_report_indication_adjusted,Extended report-indication adjustment model,4154233,132465,4314,474,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,indication_any_indi,Cases with at least one indication record,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3822216,123703,6676,959,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,indication_insomnia,Cases with insomnia indication,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,62608,5212,2922,478,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,indication_exclude_dizziness_vertigo,Excluding dizziness or vertigo indication,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,4150110,132062,7765,1042,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy,,,,,
sensitivity_adjusted_qc,reporting_e_sub_y,Electronic submission reports,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3663908,116678,6615,888,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,reporting_e_sub_n,Non-electronic submission reports,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,490765,15778,1183,170,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
sensitivity_adjusted_qc,country_us,Reporter country US,fall_event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,2475281,71929,3184,270,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo,,,,,
