section,analysis,comparison,outcome_name,outcome_definition,exposure,model,model_label,n_cases,n_outcome,n_exposed,n_exposed_outcome,adjusted_ror,ci_low,ci_high,p_value,optimization_success,optimization_message,status,skip_reason,used_covariates
exposure,exposure_ps_ss,Zolpidem primary or secondary suspect,fall_event,Fall event,is_zolpidem_suspect,core_clinical_adjusted,Core clinical adjustment model,4154673,132456,7798,1058,3.2847220237144032,3.0717843536870784,3.512420642459447,5.205816582001161e-265,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic
exposure,exposure_ps_ss,Zolpidem primary or secondary suspect,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,4154673,132456,7798,1058,2.739337605635523,2.557891668945194,2.9336545439953667,1.2187935726600476e-182,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
exposure,exposure_ps_only,Zolpidem primary suspect only,fall_event,Fall event,is_zolpidem_suspect_ps,core_clinical_adjusted,Core clinical adjustment model,4154233,132465,4314,474,3.1677240626746297,2.874076943735858,3.4913733813279846,2.261710873531339e-119,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic
exposure,exposure_ps_only,Zolpidem primary suspect only,fall_event,Fall event,is_zolpidem_suspect_ps,extended_report_indication_adjusted,Extended report-indication adjustment model,4154233,132465,4314,474,2.5327125374872743,2.2917994246268614,2.7989503481918465,3.4389728909102162e-74,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
indication,indication_any_indi,Cases with at least one indication record,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3822216,123703,6676,959,2.837390873659769,2.6388755419629377,3.0508399664575077,1.0029229125151054e-174,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
indication,indication_insomnia,Cases with insomnia indication,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,62608,5212,2922,478,2.6203259124030276,2.336825715953697,2.9382199281423893,4.4310567563452124e-61,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
indication,indication_exclude_dizziness_vertigo,Excluding dizziness or vertigo indication,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,4150110,132062,7765,1042,2.7148768226997433,2.5339913626819044,2.9086745404812526,2.69704250442458e-177,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy
reporting_country_time,reporting_e_sub_y,Electronic submission reports,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3663908,116678,6615,888,2.7206947337196046,2.525065231594565,2.9314806372012634,2.5546558114008405e-152,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,reporting_e_sub_n,Non-electronic submission reports,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,490765,15778,1183,170,2.5465055172141304,2.1208660441417053,3.0575671514540654,1.2878671377519166e-23,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,country_us,Reporter country US,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,2475281,71929,3184,270,1.7041202635519677,1.4979398408051279,1.9386799079244348,5.428095680582606e-16,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
