section,analysis,comparison,outcome_name,outcome_definition,exposure,model,model_label,n_cases,n_outcome,n_exposed,n_exposed_outcome,adjusted_ror,ci_low,ci_high,p_value,optimization_success,optimization_message,status,skip_reason,used_covariates
reporting_country_time,reporting_e_sub_y,Electronic submission reports,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3663908,116678,6615,888,2.7206947337196046,2.525065231594565,2.9314806372012634,2.5546558114008405e-152,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,reporting_e_sub_n,Non-electronic submission reports,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,490765,15778,1183,170,2.5465055172141304,2.1208660441417053,3.0575671514540654,1.2878671377519166e-23,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,country_us,Reporter country US,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,2475281,71929,3184,270,1.7041202635519677,1.4979398408051279,1.9386799079244348,5.428095680582606e-16,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,country_non_us,Reporter country non-US,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,1679392,60527,4614,788,3.4593805892588136,3.1846250814349015,3.7578407992530556,6.573719910851156e-190,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,time_2004_2012,Report years 2004-2012,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,613460,22560,1624,251,2.96775303641401,2.5674897398220393,3.4304160786072138,5.059294418249436e-49,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,time_2013_2019,Report years 2013-2019,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,1674552,55252,3555,456,2.5852502887322966,2.329812727510858,2.868693683603921,1.3076032543434885e-71,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,time_2020_2025,Report years 2020-2025,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,1866661,54644,2619,351,2.914880291381493,2.587245104683218,3.284005484329468,3.173720370580555e-69,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,time_exclude_2025,Report years 2004-2024,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,3825160,122082,7316,967,2.6523102923574524,2.4692572719032095,2.8489335505826645,1.9213401909915045e-157,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;rept_cod;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,reporting_rept_cod_EXP,Report type EXP,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,2470022,104758,6191,927,2.7514220115744434,2.5560787759062493,2.961693965434349,8.162890564521469e-160,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,reporting_rept_cod_PER,Report type PER,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,1393441,19433,1019,42,1.8592885653027365,1.3557302555942616,2.549883322881372,0.00011885118126308743,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
reporting_country_time,reporting_rept_cod_DIR,Report type DIR,fall_event,Fall event,is_zolpidem_suspect,extended_report_indication_adjusted,Extended report-indication adjustment model,282333,8228,588,89,2.825487758187124,2.1033046358494887,3.7956370825194083,5.3136038746509396e-12,True,converged,fit,,age_group;sex_clean;year;quarter;polypharmacy_5;distinct_drug_n;is_benzo;is_antidepressant;is_antipsychotic;is_opioid;is_antiepileptic;reporter_country;e_sub;indi_insomnia;indi_anxiety;indi_depression;indi_pain;indi_epilepsy;indi_dizziness_vertigo
