analysis_tier,analysis,comparison,outcome_name,feature_domain,feature_name,feature_label,a,exposed_n,reporting_rate_exposed,reporting_rate_unexposed,ror,ror_ci_low,ror_ci_high,p_value,fdr_q_value,fdr_significant,stability_status,is_stable_signal,conclusion
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,demographic,age_group=65-74,Age 65-74,318,3986,0.0797792272955343,0.1868322981366459,0.3773340158704378,0.3282615714296195,0.4337423930337786,7.700476990694664e-45,1.6941049379528261e-43,True,stable,False,no_stable_signal
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,demographic,age_group=>=85,Age >=85,326,1320,0.2469696969696969,0.1111941413839485,2.621538370004976,2.264321050872983,3.0351099826408223,7.875232212601615e-40,5.775170289241183e-39,True,stable,True,signal_detected
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,medication_burden,polypharmacy_5=True,Polypharmacy >=5,727,3934,0.184799186578546,0.084130488103998,2.4678323019706347,2.152333161643172,2.829578793461602,7.868096589484349e-40,5.775170289241183e-39,True,stable,True,signal_detected
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,co_medication,is_antidepressant=True,Antidepressant co-report,410,1892,0.2167019027484144,0.1078607615623468,2.288257064572854,1.9973598988383767,2.62152073675495,7.866409661774003e-34,4.326525313975701e-33,True,stable,True,signal_detected
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,co_medication,is_opioid=True,Opioid co-report,298,1458,0.2043895747599451,0.1178086372653746,1.9237292299446127,1.6594222683408275,2.2301340778338905,2.193172045831578e-18,8.041630834715787e-18,True,stable,True,signal_detected
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,demographic,sex_clean=F,Female,776,5059,0.1533899980233247,0.0995934959349593,1.638027893856585,1.4202125911144046,1.8892491151249775,1.0919885751901507e-11,2.402374865418332e-11,True,stable,True,signal_detected
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,demographic,sex_clean=M,Male,294,2952,0.0995934959349593,0.1533899980233247,0.610490214330595,0.5293108208939655,0.704119936871793,1.0919885751901507e-11,2.402374865418332e-11,True,stable,False,no_stable_signal
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,co_medication,is_antiepileptic=True,Antiepileptic co-report,151,803,0.1880448318804483,0.1274972253052164,1.584876532907869,1.310544936236086,1.91663296321308,2.2513396781829905e-06,4.502679356365981e-06,True,stable,True,signal_detected
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,demographic,age_group=75-84,Age 75-84,426,2705,0.1574861367837338,0.1213720316622691,1.3531678653871837,1.1855280806604878,1.5445127802425187,8.242971283577984e-06,1.5112114019892967e-05,True,stable,True,signal_detected
exploratory,primary_ps_ss,feature_positive_vs_feature_negative_among_zolpidem_suspect_cases,strict_fall,co_medication,is_antipsychotic=True,Antipsychotic co-report,115,735,0.1564625850340136,0.1312534359538207,1.2276895794629286,0.9948340260028964,1.515048404182221,0.0632030320601308,0.0772481502957154,False,stable,False,no_stable_signal
