year,analysis,outcome_name,outcome_definition,conclusion,a,b,c,d,n,ror,ror_ci_low,ror_ci_high,prr,prr_ci_low,prr_ci_high,ic,ic025,ic975,ebgm,eb05,eb95,chi_square_yates,expected_a,signal_flag_mhra,signal_flag_ror,signal_flag_ic,signal_flag_ebgm
2004,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,21,120,1947,55198,57286,4.961299435028248,3.1138083672480823,7.9049476335518305,4.371318668109148,2.9390425250905348,6.5015823129578285,2.0083701196939217,1.3254789091192445,2.559164414006234,3.6793776768732425,2.548593098708768,5.174697062429766,52.531937840612464,4.843906015431345,True,True,True,True
2004,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,14,64,1954,55255,57287,6.185788766632548,3.463232274860987,11.048633077009924,5.255006167493373,3.263127436669899,8.46276780675635,2.1891534950513254,1.3354106500394691,2.845998125133277,3.941468077030076,2.512889709886021,5.948124533261128,45.31058222574864,2.679560807862168,True,True,True,True
2005,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,12,120,2173,58777,61082,2.704878048780488,1.491966016824028,4.903841760651496,2.5498891352549893,1.48438394651081,4.380224279152891,1.259295362209076,0.3291042004679834,1.960497300952528,2.185190375107416,1.3438973774381728,3.397951999730673,10.112765298971894,4.721849317311156,True,True,True,False
2005,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,9,52,2176,58847,61084,4.680633130656108,2.303717910764992,9.509986618335814,4.137588898264224,2.260281748738032,7.574118536592905,1.8246208123875816,0.7315545739179069,2.614616951075844,2.986924136043632,1.7050326008834984,4.93565043771641,18.991512103198104,2.181995285181062,True,True,True,False
2006,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,25,137,2369,57158,59689,4.402824808274765,2.869108722479299,6.756407012561229,3.877697523047178,2.698245998406576,5.5727083776371416,1.8655901728174136,1.2446146501925486,2.375380234650432,3.40136130681497,2.4299564688883803,4.65704299336695,52.105036037674175,6.497478597396505,True,True,True,True
2006,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,14,72,2380,57224,59690,4.675163398692811,2.6334591705866384,8.299787993146646,4.076880984952121,2.520397291447181,6.594578807819867,1.87641290039292,1.0226700553810637,2.533257530474871,3.2596428774942696,2.078190888439385,4.919172600251816,30.554971231912063,3.4492209750376945,True,True,True,True
2007,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,47,140,1875,55794,57856,9.989782857142858,7.1560309246576495,13.94568617485951,7.73031871657754,6.012276922980251,9.939300572044742,2.823066350136951,2.380944443135654,3.205753597991983,6.586169021042254,5.157952114404315,8.310270405322573,271.13068617072656,6.21221653761062,True,True,True,True
2007,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,32,95,1890,55841,57858,9.952169312169312,6.649668042586899,14.89482984470202,7.696504603591218,5.685023224790473,10.419690610021036,2.7839336803082566,2.2406344693846467,3.240167974725978,6.227675809738395,4.627974904225831,8.236007071876891,182.87659630684908,4.218846140551004,True,True,True,True
2008,primary_ps_ss,strict_fall,OCMQ-compatible narrow fall event,signal_detected,35,146,2166,56276,58623,6.228449638877295,4.29632264273437,9.029485941805516,5.217423465613729,3.8635948193156606,7.045642437308781,2.2827119152757924,1.765004874517211,2.7207603644766043,4.55397610945336,3.4289878702454613,5.952572881932022,117.71399343295484,6.795643348173925,True,True,True,True
2008,sensitivity_ps_only,strict_fall,OCMQ-compatible narrow fall event,signal_detected,18,94,2183,56330,58625,4.941179910527188,2.9788068893608317,8.196321485424086,4.307775996335319,2.815660034005517,6.590615987187888,1.9752906790207652,1.2321790740108245,2.5646129674156306,3.5547786040610565,2.390432649060997,5.128204821148498,43.76004650919672,4.20489552238806,True,True,True,True
