raw_name,clean_name,standard_name,drug_class,role_in_study,is_brand,country_or_source,include,exclude_reason,dosage_form,note
zolpidem,zolpidem,zolpidem,Z-drug,target,false,INN/RxNorm,true,,oral,generic name
zolpidem tartrate,zolpidem tartrate,zolpidem,Z-drug,target,false,RxNorm/DailyMed,true,,oral,salt form mapped to zolpidem
zolpidem hemitartrate,zolpidem hemitartrate,zolpidem,Z-drug,target,false,FAERS,true,,oral,salt form mapped to zolpidem
zolpidem hemi-tartrat,zolpidem hemi-tartrat,zolpidem,Z-drug,target,false,FAERS,true,,oral,FAERS spelling variant of hemitartrate
tartrate of zolpidem,tartrate of zolpidem,zolpidem,Z-drug,target,false,FAERS,true,,oral,salt phrase mapped to zolpidem
ambien,ambien,zolpidem,Z-drug,target,true,DailyMed/RxNorm,true,,oral,brand name
ambien cr,ambien cr,zolpidem,Z-drug,target,true,DailyMed/RxNorm,true,,extended release oral,brand name controlled release
ambien er,ambien er,zolpidem,Z-drug,target,true,FAERS,true,,extended release oral,FAERS variant likely Ambien CR/ER
ambien sr,ambien sr,zolpidem,Z-drug,target,true,FAERS,true,,extended release oral,FAERS variant likely sustained release
generic ambien,generic ambien,zolpidem,Z-drug,target,false,FAERS,true,,oral,generic Ambien phrase
ambien generic,ambien generic,zolpidem,Z-drug,target,false,FAERS,true,,oral,generic Ambien phrase
stilnox,stilnox,zolpidem,Z-drug,target,true,RxNorm/FAERS,true,,oral,brand name
stilnox cr,stilnox cr,zolpidem,Z-drug,target,true,FAERS,true,,extended release oral,controlled-release brand variant
stilnox mr,stilnox mr,zolpidem,Z-drug,target,true,FAERS,true,,modified release oral,modified-release brand variant
stilnox tc,stilnox tc,zolpidem,Z-drug,target,true,FAERS,true,,oral,FAERS brand variant
stilnoct,stilnoct,zolpidem,Z-drug,target,true,FAERS,true,,oral,brand/spelling variant appearing with zolpidem tartrate
stillnox,stillnox,zolpidem,Z-drug,target,true,FAERS,true,,oral,typo/variant of Stilnox
