序号,报告国家（65-74岁）,报告数（65-74岁）,百分比（65-74岁）,序号,报告国家（75-84岁）,报告数（75-84岁）,百分比（75-84岁）,序号,报告国家（>=85岁）,报告数（>=85岁）,百分比（>=85岁）
1,US,32941,60.76,1,US,28166,52.14,1,US,10817,45.01
2,CA,4772,8.8,2,CA,4559,8.44,2,FR,3213,13.37
3,UNKNOWN,3052,5.63,3,FR,3386,6.27,3,CA,1677,6.98
4,JP,1751,3.23,4,UNKNOWN,2800,5.18,4,GB,1447,6.02
5,FR,1679,3.1,5,JP,2650,4.91,5,JP,1442,6.0
6,GB,1675,3.09,6,DE,2545,4.71,6,DE,1091,4.54
7,DE,1588,2.93,7,GB,2336,4.32,7,UNKNOWN,1009,4.2
8,BR,806,1.49,8,BR,722,1.34,8,IT,375,1.56
9,AR,538,0.99,9,IT,716,1.33,9,AU,365,1.52
10,AU,479,0.88,10,AU,703,1.3,10,BR,345,1.44
11,Other,4936,9.1,11,Other,5435,10.06,11,Other,2250,9.36
