pt_code,pt_english,pt_chinese,module_key,module_label,analysis_role,use_in_main_outcome,use_in_phenotype_fingerprint,case_level_variable,hlt_english,hlgt_english,soc_english,primary_soc_flag,meddra_version,interpretation_note
10016173,Fall,跌倒,strict_fall,Narrow fall endpoint,main_outcome,1,0,strict_fall,Non-site specific injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications",Y,29.0,Strict fall endpoint for signal analyses.
10013643,Drop attacks,跌倒发作,strict_fall,Narrow fall endpoint,main_outcome,1,0,strict_fall,Muscle tone abnormal,Neuromuscular disorders,Nervous system disorders,Y,29.0,Strict fall endpoint for signal analyses.
10041349,Somnolence,嗜睡,sedation,Sedation phenotype,co_reported_phenotype,0,1,sedation,Disturbances in consciousness NEC,Neurological disorders NEC,Nervous system disorders,Y,29.0,Co-reported phenotype among strict fall reports only; do not interpret as causal.
10039897,Sedation,镇静,sedation,Sedation phenotype,co_reported_phenotype,0,1,sedation,Disturbances in consciousness NEC,Neurological disorders NEC,Nervous system disorders,Y,29.0,Co-reported phenotype among strict fall reports only; do not interpret as causal.
10010305,Confusional state,意识模糊状态,neurocognitive,Neurocognitive phenotype,co_reported_phenotype,0,1,neurocognitive,Confusion and disorientation,Deliria (incl confusion),Psychiatric disorders,Y,29.0,Co-reported phenotype among strict fall reports only; do not interpret as causal.
10012218,Delirium,谵妄,neurocognitive,Neurocognitive phenotype,co_reported_phenotype,0,1,neurocognitive,Deliria,Deliria (incl confusion),Psychiatric disorders,Y,29.0,Co-reported phenotype among strict fall reports only; do not interpret as causal.
10057668,Cognitive disorder,认知障碍,neurocognitive,Neurocognitive phenotype,co_reported_phenotype,0,1,neurocognitive,Mental impairment (excl dementia and memory loss),Mental impairment disorders,Nervous system disorders,Y,29.0,Co-reported phenotype among strict fall reports only; do not interpret as causal.
10013573,Dizziness,头晕,dizziness_syncope,Dizziness or syncope phenotype,co_reported_phenotype,0,1,dizziness_syncope,Neurological signs and symptoms NEC,Neurological disorders NEC,Nervous system disorders,Y,29.0,Co-reported phenotype among strict fall reports only; do not interpret as causal.
10042772,Syncope,晕厥,dizziness_syncope,Dizziness or syncope phenotype,co_reported_phenotype,0,1,dizziness_syncope,Disturbances in consciousness NEC,Neurological disorders NEC,Nervous system disorders,Y,29.0,Co-reported phenotype among strict fall reports only; do not interpret as causal.
10017577,Gait disturbance,步态障碍,gait_balance,Gait or balance phenotype,co_reported_phenotype,0,1,gait_balance,Gait disturbances,General system disorders NEC,General disorders and administration site conditions,Y,29.0,Co-reported phenotype among strict fall reports only; do not interpret as causal.
10003591,Ataxia,共济失调,gait_balance,Gait or balance phenotype,co_reported_phenotype,0,1,gait_balance,Coordination and balance disturbances,Neurological disorders NEC,Nervous system disorders,Y,29.0,Co-reported phenotype among strict fall reports only; do not interpret as causal.
10010947,Coordination abnormal,协调功能失常,gait_balance,Gait or balance phenotype,co_reported_phenotype,0,1,gait_balance,Coordination and balance disturbances,Neurological disorders NEC,Nervous system disorders,Y,29.0,Co-reported phenotype among strict fall reports only; do not interpret as causal.
10021097,Hypotension,低血压,hypotension,Hypotension phenotype,co_reported_phenotype,0,1,hypotension,Vascular hypotensive disorders,Decreased and nonspecific blood pressure disorders and shock,Vascular disorders,Y,29.0,Co-reported phenotype among strict fall reports only; do not interpret as causal.
10031127,Orthostatic hypotension,直立性低血压,hypotension,Hypotension phenotype,co_reported_phenotype,0,1,hypotension,Vascular hypotensive disorders,Decreased and nonspecific blood pressure disorders and shock,Vascular disorders,Y,29.0,Co-reported phenotype among strict fall reports only; do not interpret as causal.
