drug_group,drug_group_label,strict_fall_reports_n,phenotype_component,phenotype_label,phenotype_reports_n,proportion_percent,display_percent,denominator_definition,phenotype_overlap,source_table
zolpidem_only,Zolpidem only,745,phenotype_neurocognitive,Neurocognitive/ consciousness,284,38.12080536912752,38.1%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
zolpidem_only,Zolpidem only,745,phenotype_dizziness_syncope_hypotension,Dizziness/ syncope/ hypotension,164,22.01342281879195,22.0%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
zolpidem_only,Zolpidem only,745,phenotype_gait_balance,Gait/ balance,135,18.12080536912752,18.1%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
zolpidem_only,Zolpidem only,745,phenotype_sedation,Sedation/ somnolence,56,7.516778523489933,7.5%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
zolpidem_only,Zolpidem only,745,mixed_phenotype,Mixed phenotype,171,22.95302013422819,23.0%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
zolpidem_only,Zolpidem only,745,no_mechanistic_co_phenotype,No predefined mechanistic phenotype,307,41.20805369127517,41.2%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
other_z_drugs_without_zolpidem_only,Other Z-drugs only,438,phenotype_neurocognitive,Neurocognitive/ consciousness,68,15.52511415525114,15.5%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
other_z_drugs_without_zolpidem_only,Other Z-drugs only,438,phenotype_dizziness_syncope_hypotension,Dizziness/ syncope/ hypotension,108,24.65753424657534,24.7%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
other_z_drugs_without_zolpidem_only,Other Z-drugs only,438,phenotype_gait_balance,Gait/ balance,37,8.447488584474886,8.4%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
other_z_drugs_without_zolpidem_only,Other Z-drugs only,438,phenotype_sedation,Sedation/ somnolence,17,3.881278538812785,3.9%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
other_z_drugs_without_zolpidem_only,Other Z-drugs only,438,mixed_phenotype,Mixed phenotype,55,12.557077625570775,12.6%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
other_z_drugs_without_zolpidem_only,Other Z-drugs only,438,no_mechanistic_co_phenotype,No predefined mechanistic phenotype,266,60.73059360730594,60.7%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
benzodiazepines_only,Benzodiazepines only,1989,phenotype_neurocognitive,Neurocognitive/ consciousness,545,27.40070387129211,27.4%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
benzodiazepines_only,Benzodiazepines only,1989,phenotype_dizziness_syncope_hypotension,Dizziness/ syncope/ hypotension,557,28.00402212166918,28.0%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
benzodiazepines_only,Benzodiazepines only,1989,phenotype_gait_balance,Gait/ balance,343,17.24484665661136,17.2%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
benzodiazepines_only,Benzodiazepines only,1989,phenotype_sedation,Sedation/ somnolence,342,17.194570135746606,17.2%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
benzodiazepines_only,Benzodiazepines only,1989,mixed_phenotype,Mixed phenotype,466,23.42885872297637,23.4%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
benzodiazepines_only,Benzodiazepines only,1989,no_mechanistic_co_phenotype,No predefined mechanistic phenotype,894,44.94720965309201,44.9%,all strict-fall reports in the mutually exclusive exposure group,allowed,table_4_phenotype_fingerprint_by_drug_group.csv
